formulary_name,med_name_generic,med_action_dose_unit,volume_given,count
Alteplase 30mg/30mL NS for Chest Tube,alteplase in syringe,Not Recorded,,3
Alteplase 50 mg inj,alteplase,Not Recorded,none,2414
Alteplase 50 mg inj ADD,"alteplase, t-pa ADD",Not Recorded,none,354
Alteplase Intrathecal/Intravent syringe,alteplase intra-thecal syringe,Not Recorded,none,9
"Alteplase,Cathflo 2 mg inj",alteplase,Not Recorded,none,42229
"Alteplase,Cathflo 20mg/20mL syringe for i-arterial",alteplase in syringe,Not Recorded,,41
Amifostine 500 mg inj,amifostine,Not Recorded,none,1
Amikacin Nebulized Soln.,amikacin,Not Recorded,none,1
Amikacin Sulf. 1000mg/4mL inj,amikacin,Not Recorded,,591
Amikacin Sulfate 500 mg/ 2 mL inj,amikacin,Not Recorded,,1051
Amino Acid 3% UAC Line Fluid,amino acid 3% UAC,Not Recorded,none,27
Amino Acid Injection 50gm/1000ml for Lutathera,Amino Acid Injection 50gm/1000ml for Lutathera,Not Recorded,,701
Amino Acids 10% (Trophamine) 500mL,amino acid 10%,Not Recorded,,14
Amino Acids 15% (Clinisol) inv. protocol AAA-177Lu-03,Amino Acids 15% (Clinisol) inv. protocol AAA-177Lu-03,Not Recorded,none,38
Amino Acids 3% and Glycerin 3% / Lytes (ProcalAmine) 1000 mL,Amino acid Lytes 3% / Glycerin 3%,Not Recorded,,13791
Aminocaproic 500 mg tab,aminocaproic acid,Not Recorded,,2
Aminocaproic 5gm/20 mL inj,aminocaproic acid,Not Recorded,,26876
Aminocaproic acid 250mg/mL oral syrup,aminocaproic acid,Not Recorded,none,13
Aminophylline 250 mg/ 10 mL inj,aminophylline,Not Recorded,,4
Aminophylline 500 mg/ 20 mL inj,aminophylline,Not Recorded,,51
Aminophylline 5mg/mL for ped syringe,aminophylline/ns,Not Recorded,none,1
Aminosyn II 10% Solution 2000 mL (amino acid injection),amino acids 10%,Not Recorded,,46
Amiodarone 150 mg/100 mL Bolus,amiodarone,Not Recorded,,3165
Amiodarone 150 mg/100 mL Bolus,amiodarone in iso-dex,Not Recorded,,792
Amiodarone 150 mg/100 mL iso-dex Bolus,amiodarone in iso-dex,Not Recorded,,30110
Amiodarone 150 mg/3 mL inj,amiodarone,Milligrams/Minute,,639678
Amiodarone 200 mg tab,amiodarone,Not Recorded,,19
Amiodarone 450 mg/9 mL inj,amiodarone,Not Recorded,,46967
Amiodarone 900 mg Drip,amiodarone 900 mg drip,Not Recorded,none,24
Amobarbital 500 mg inj,amobarbital,Not Recorded,none,1
Amphotericin  liposomal  50 mg inj (Ambisome),amphotericin b liposome,Not Recorded,none,6039
Amphotericin-B 50 mg inj,amphotericin B,Not Recorded,none,19
Amphotericin-B 5mg/mL/D5W neonate syringe,amphotericin B in D5W syringe,Not Recorded,none,1
Ampicillin 0.01mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded,none,3
Ampicillin 0.1mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded,none,3
Ampicillin 10 gm inj,ampicillin,Not Recorded,none,580
Ampicillin 10mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded,none,3
Ampicillin 1gm IVPB,ampicillin in ns,Not Recorded,none,4442
Ampicillin 1gm inj,ampicillin,Not Recorded,none,2635
Ampicillin 2 gm inj,ampicillin,Not Recorded,none,11900
Ampicillin 250 mg inj,ampicillin,Not Recorded,none,87
Ampicillin 2gm IVPB,ampicillin in ns,Not Recorded,none,36652
Ampicillin 500 mg inj,ampicillin,Not Recorded,none,975
Ampicillin 500mg IVPB,ampicillin in ns,Not Recorded,none,197
Ampicillin 50mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded,none,3
Ampicillin-Sulbactam  1.5gm inj,ampicillin-sulbactam,Not Recorded,none,3210
Ampicillin-Sulbactam 3gm inj,ampicillin-sulbactam,Not Recorded,none,14266
Ampicillin/Sulbactam 1.5gm IVPB,ampicil/sulbact in ns,Not Recorded,none,8173
Ampicillin/Sulbactam 3gm  IVPB,Ampicil/sulbact in ns,Not Recorded,none,103154
Angiotensin II 2.5mg/ml,angiotensin II,ng/kg/min,none,17322
Anti-Thymocyte Globulin (Rabbit) 25 mg/5 mL,anti-thymocyt globulin(rabbit),Not Recorded,,4136
Anti-Thymocyte Globulin for study,thymocyt glob/PBO p# ITN028A1,Not Recorded,none,5
Anti-Thymocyte Globulin for study2,thymocyt glob p#thymo102700103,Not Recorded,none,3
Anticoagulant Citrate B 500 mL,Anticoagulant citrate B,Not Recorded,,1
Anticoagulant Citrate Dextrose A 1000mL,Anticoagulant citrate dext-A,Not Recorded,,68
Anticoagulant Citrate Soln-A 500mL,anticoagulant citrate dext-A,Not Recorded,,89
Antihemophilic factor-von Willebrand factor Bolus,antihemophilic factor-von Willebrand in syringe,Not Recorded,none,126
Antihemophilic factor-von Willebrand factor inj,antihemophilic factor-von Willebrand,Not Recorded,none,119
Antithrombin III 500 units bolus,antithrombin III in syringe,Not Recorded,none,426
Antithrombin III 500 units-bolus,antithrombin III,Not Recorded,none,433
Antithrombin III 500 units-bolus,antithrombin III in syringe,Not Recorded,none,15
Antithrombin III 500 units-bolus (OR CHARGE),antithrombin III,Not Recorded,none,13
Antivenin (Crotalidae) polyvalent inj,"crotalidae, antivenin",Not Recorded,none,69
Aprepitant 125 mg cap,aprepitant,Not Recorded,,1
Aprepitant 125 mg-80 mg kit,aprepitant,Not Recorded,none,1
Aprepitant 40 mg caps,aprepitant,Not Recorded,none,327
Aprepitant 80 mg cap,aprepitant,Not Recorded,,45
Argatroban 250 mg vial,argatroban,Not Recorded,none,128662
Arginine 10% 300 mL,arginine 10%,Not Recorded,,498
Arsenic 10mg/10mL inj,arsenic trioxide,Not Recorded,,1009
Ascorbic 500 mg/mL 50 mL inj,ascorbic acid,Not Recorded,,15274
Ascorbic Acid 500 mg tab,ascorbic acid,Not Recorded,,2
Ascorbic Acid 500mg inj,ascorbic acid,Not Recorded,none,9
Ascorbic acid 500 mg/mL 1mL inj,ascorbic acid,Not Recorded,,311
Aspirin 300 mg supp,aspirin,Not Recorded,none,4
Aspirin 325 mg tab,aspirin,Not Recorded,,33
Aspirin 600 mg supp,aspirin,Not Recorded,none,1
Aspirin 81 mg chew tab,aspirin chewable,Not Recorded,,78
Aspirin Buffered 325 mg tab,"aspirin, buffered",Not Recorded,,43
Aspirin EC 325 mg tab,aspirin ec,Not Recorded,,100
Atorvastatin 80 mg tab,atorvastatin,Not Recorded,,1
Atracurium 50 mg/5 mL inj,atracurium,Microgram/Kilogram/Minute,,42
Atropine 0.4mg/mL 20mL,atropine,Not Recorded,,8
Atropine 0.5mg/5mL inj,atropine,Not Recorded,,47
Atropine 1 mg/1 mL inj,atropine,Not Recorded,,241
Atropine Sulfate 0.4 mg/ 1mL inj,atropine,Not Recorded,,2066
Atropine Sulfate 1 mg/10 mL inj,atropine sulfate,Not Recorded,,1924
Avibactam-CefTAZidime 2.5 gm inj,avibactam-cefTAZidime,Not Recorded,none,6161
Azacitidine 100 mg/10mL inj (IV),azacitidine,Not Recorded,,452
