formulary_name,med_name_generic,med_action_dose_unit,volume_given,count
"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",factor 8 porcine,Not Recorded,none,42
"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",factor 8 porcine (Obizur),Not Recorded,none,1
"Factor VIII (Antihemophilic Factor, Recomb Porcine) (Obizur)",factor 8 porcine,Not Recorded,none,24
Factor7a (VIIa) 2000 mcg (OR CHARGE),coagulation factor VIIa,Not Recorded,none,3
Famotidine 20 mg for Hyperal only,famotidine,Not Recorded,none,486069
Famotidine 20 mg tab,fAMOTIDine,Not Recorded,,42
Famotidine 20 mg/2 mL inj,fAMOTIDine,Not Recorded,,322358
Famotidine 20mg/NS IV syringe,famotidine/ns in syringe,Not Recorded,none,12
Famotidine 2mg/mL/NS neonate syringe,fAMOTIDine in NS syringe,Not Recorded,none,4
Famotidine 40 mg tab,fAMOTIDine,Not Recorded,,4
Famotidine 40 mg/4 mL inj,fAMOTIDine,Not Recorded,,66
Fat Emulsion 20% 250 mL (Intralipid),fat emulsion 20%,Not Recorded,,15416
Fat Emulsion 20% 250 mL (Intralipid),fat emulsion 20% (Intralipid),Not Recorded,,5486
Fat Emulsion 20% 500mL,fat emulsion 20%,Not Recorded,,3
Fat Emulsion 20% NEONATE syringe,fat emulsion 20% in syr (Intralipid),Not Recorded,none,5
Fat Emulsion 20% NEONATE syringe,fat emulsion 20% in syringe,Not Recorded,none,66
"Fat emulsion, 20% 100mL (Neonate)",fat emulsion 20% (Intralipid),Not Recorded,,138
"Fat emulsion, 20% 100mL (Neonate)","fat emulsion 20%, intravenous",Not Recorded,,436
"Fat emulsion, intravenous (fish oil) 20% 250mL (Smoflipid)",fat emulsion 20%(Smoflipid),Not Recorded,,5112
"Fat emulsion, intravenous (fish oil) 20% 250mL (Smoflipid)","fat emulsion, intravenous 20%",Not Recorded,,2174
"Fat emulsion, intravenous (fish oil) 20% 500mL (for TPN) (Smoflipid)",fat emulsion 20%(Smoflipid),Not Recorded,,359
"Fat emulsion, intravenous (fish oil) 20% 500mL (for TPN) (Smoflipid)","fat emulsion, intravenous 20%",Not Recorded,,49
"Fat emulsion,intravenous (fish oil) 20% 1000mL (for TPN) (Smoflipid)",fat emulsion 20%(Smoflipid),Not Recorded,,1806
FentaNYL 50 mcg/mL 10mL inj,fentaNYL,Not Recorded,,33
FentaNYL PCA/NCA 10mcg/mL 50mL syringe,fentaNYL pca/nca,Not Recorded,,1669
Fentanyl  2.5 mg / 50 mL Drip,fentanyl citrate,Not Recorded,,4
Fentanyl 100 mcg buccal tab,fentaNYL,Not Recorded,,1
Fentanyl 100 mcg/hr patch,fentanyl,Not Recorded,none,3
Fentanyl 1000 mcg/20 mL inj,fentanyl,Not Recorded,,3731
Fentanyl 100mcg/2 mL inj,fentanyl,Not Recorded,,493768
Fentanyl 10mcg/ml 60mL Syringe,fentanyl syringe,Micrograms/Hour,,46654
Fentanyl 12 mcg/hr patch,fentanyl,Not Recorded,none,2
Fentanyl 200 mcg lozenge,fentanyl,Not Recorded,none,2
Fentanyl 25 mcg/hr patch,fentanyl,Not Recorded,none,4
Fentanyl 250 mcg/5 mL inj,fentanyl,Not Recorded,,3700
Fentanyl 50 mcg/hr patch,fentanyl,Not Recorded,none,2
Fentanyl 75 mcg/hr patch,fentanyl,Not Recorded,none,4
Fentanyl Patch Removal,fentanyl patch removal,Not Recorded,none,2
Ferrlecit 62.5 mg/5 mL inj,ferric gluconate sodium complex,Not Recorded,,31
Ferumoxytol 510mg/17mL inj,ferumoxytol,Not Recorded,,915
Fibrinogen concentrate (Human),fibrinogen,Not Recorded,none,8
Filgrastim 480 mcg/0.8 mL syr,filgrastim,Not Recorded,,3
Fluconazole 100 mg tab,fluconazole,Not Recorded,,1
Fluconazole 100mg/50mL NS,fluconazole in ns,Not Recorded,,3441
Fluconazole 200 mg tab,fluconazole,Not Recorded,,7
Fluconazole 200 mg/5 mL liq 35 mL,fluconazole,Not Recorded,,78
Fluconazole 200mg/100mL NS premix,fluconazole in ns,Not Recorded,,17825
Fluconazole 400mg/200mL D5W ivpb,fluconazole,Not Recorded,,306
Fluconazole 400mg/200mL D5W ivpb,fluconazole in d5w,Not Recorded,,21
Fluconazole 400mg/200mL NS premix,fluconazole in ns,Not Recorded,,19250
Fluconzole 2mg/mL/NS neonate syringe,fluconazole in NS syringe,Not Recorded,none,65
Fludarabine 50  mg inj,fludarabine,Not Recorded,none,4111
Flumazenil 0.5 mg/5 mL inj,flumazenil,Not Recorded,,1368
Flumazenil 0.5 mg/5 mL syringe,flumazenil,Not Recorded,,7
Fluorescein 10% 5mL inj,fluorescein 10%,Not Recorded,,500
Fluorescein 1mg ophth strip,fluorescein,Not Recorded,none,2
Fluorouracil 50 mg/mL inj,fluorouracil,Not Recorded,none,602
Folic Acid 1mg/mL Ped oral syringe,folic acid ped liq,Not Recorded,none,1
Folic Acid 50 mg/10 mL inj,folic acid,Not Recorded,,141441
Fomepizole 1500mg/1.5mL,fomepizole,Not Recorded,,131
Fosaprepitant 150 mg inj.,fosaprepitant,Not Recorded,none,2680
Foscarnet 6 gm/250 mL IVPB (Central Line),foscarnet,Not Recorded,,3252
Fosphenytoin 100 mgpe/2 mL inj,fosphenytoin,Not Recorded,,20113
Fosphenytoin 10mgPE/mL/NS neonate syringe,fosphenytoin in NS syringe,Not Recorded,none,33
Fosphenytoin 500 mgpe/10 mL inj,fosphenytoin,Not Recorded,,4159
Furosemide 100 mg/10 mL inj,fUROSEMide,Not Recorded,,236562
Furosemide 100 mg/10 mL inj ADD,fUROSEMide add,Grams/Hour,,257943
Furosemide 10mg/mL Ped oral syringe,fUROSEMide ped liq,Not Recorded,none,9
Furosemide 20 mg tab,fUROSEMide,Not Recorded,,3
Furosemide 20 mg/2 mL inj,fUROSEMide,Not Recorded,,73166
Furosemide 2mg/mL/NS neonate syringe,furosemide in NS syringe,Not Recorded,none,171
Furosemide 40 mg/4 mL inj,fUROSEMide,Not Recorded,,359402
Furosemide 40 mg/5 mL liq,fUROSEMide,Not Recorded,,4
Furosemide 80 mg tablet,fUROSEMide,Not Recorded,none,18
Gabapentin 100 mg cap,gabapentin,Not Recorded,,17
Gabapentin 300 mg cap,gabapentin,Not Recorded,,444
Gabapentin 300 mg/6 mL liq (60 mL),gabapentin,Not Recorded,,1
Gabapentin 400 mg cap,gabapentin,Not Recorded,,13
Ganciclovir 500 mg inj,ganciclovir sodium,Not Recorded,none,12218
Ganciclovir 5mg/mL/NS neonate syringe,ganciclovir in NS syringe,Not Recorded,none,33
Gemcitabine 200 mg inj,gemcitabine,Not Recorded,none,56
Gemcitabine 38 mg/mL inj,gemcitabine,Not Recorded,none,263
Gentamcin 120 mg/100mL NS premix,gentamicin in ns,Not Recorded,,1066
Gentamicin 100 mg/100 mL NS premix,gentamicin in ns,Not Recorded,,326
Gentamicin 100 mg/50 mL NS premix,gentamicin in ns,Not Recorded,,1293
Gentamicin 2mg/mL/NS neonate syringe,gentamicin in NS syringe,Not Recorded,none,408
Gentamicin 4mg/mL/NS neonate syringe,gentamicin in NS syringe,Not Recorded,none,90
Gentamicin 60 mg/50 mL NS premix,gentamicin in ns,Not Recorded,,2045
Gentamicin 80 mg/100mL NS premix,gentamicin in ns,Not Recorded,,928
Gentamicin 80 mg/2 mL inj,gentamicin,Not Recorded,,1717
Gentamicin 80 mg/50 mL NS premix,gentamicin in ns,Not Recorded,,8514
Gentamicin 800 mg/20 mL inj,gentamicin,Not Recorded,,6052
Gentamicin 8mg Intrathecal syringe,gentamicin intrathecal syringe,Not Recorded,none,1
Glucagon 1 mg w/diluent inj,glucagon,Not Recorded,none,4174
Glucose 25% 10mL inj,glucose,Not Recorded,,1
Glycopyrolate Inj for PO (Peds),glycopyrolate,Not Recorded,none,11
Glycopyrrolate 0.2 mg/1 mL 5mL OR syringe,glycopyrrolate,Not Recorded,,27
Glycopyrrolate 0.2 mg/1 mL inj,glycopyrrolate,Not Recorded,,84111
Glycopyrrolate 0.2 mg/mL 20 mL inj,glycopyrrolate,Not Recorded,,30
Glycopyrrolate 0.2 mg/mL 5mL inj,glycopyrrolate,Not Recorded,,160
Glycopyrrolate 0.2 mg/mL syringe,glycopyrrolate,Not Recorded,none,153
Glycopyrrolate 1 mg tab,glycopyrrolate,Not Recorded,,8
Glycopyrrolate 10 mcg/mL neonate syringe,glycopyrrolate,Not Recorded,none,1
Glycopyrrolate 200mcg/mL oral neonate,glycopyrrolate,Not Recorded,none,9
Granisetron 1 mg/1 mL inj,granisetron,Not Recorded,,6827
HYDROmorphone 0.5 mg/ 0.5mL,HYDROmorphone,Not Recorded,,267367
HYDROmorphone 0.5 mg/1ml,HYDROmorphone,Not Recorded,,141
HYDROmorphone 10mg/mL 50 mL inj for PCA,HYDROmorphone,Not Recorded,,2104
HYDROmorphone 2 mg/mL INJ,HYDROmorphone,Not Recorded,none,39635
HYDROmorphone 4 mg/mL inj,HYDROmorphone,Not Recorded,none,13995
HYDROmorphone PCA/NCA 1 mg/mL /NS syr,HYDROmorphone PCA/NCA 1 mg/ml NS syr,Not Recorded,none,513
HYDROmorphone PF 10 mg/mL inj,HYDROmorphone PF,Not Recorded,none,4782
HYDROmorphone PF 10 mg/mL inj ADD,HYDROmorphone,Milligram/Hour,none,24953
Haloperidol 0.5 mg tab,haloperidol,Not Recorded,,5
Haloperidol 5 mg/1 mL inj,haloperidol,Not Recorded,,63653
Haloperidol decanoate 50 mg/ 1 mL inj,haloperidol,Not Recorded,,3
"HePARIN (1000unit/mL)10,000 units/10 mL inj",hePARIN,Not Recorded,,71072
"HePARIN 1,000 units/500 mL NS bag",hePARIN/ns,Not Recorded,,78
"HePARIN 1,000 units/mL 30 mL inj",hePARIN,Not Recorded,,213
"HePARIN 10,000 units/1 mL inj",hePARIN,Not Recorded,,1332
HePARIN 100 units /1 mL Flush PF,hePARIN flush pf,Not Recorded,,1241
HePARIN 100 units/mL 10mL syr.,hePARIN flush,Not Recorded,,17
HePARIN 1000 units/1 mL inj,hePARIN,Not Recorded,,11435
HePARIN 10000 units/1mL injection,hePARIN,Not Recorded,,90
"HePARIN 2,000 units/1,000 mL NS bag",hePARIN/ns,Not Recorded,,469
"HePARIN 30,000 unit(s)/NS 1000mL (EUOSH)",hePARIN in NS,Not Recorded,,1
"HePARIN 40,000 units/4 mL inj",hePARIN,Not Recorded,,1
"HePARIN 5,000 unit inj",hePARIN,Not Recorded,none,20313
"HePARIN 5,000 units/ mL 10 mL inj",hePARIN,Not Recorded,,9
HePARIN 500 unit/5 mL Flush inj,hePARIN sodium-sodium chloride,Not Recorded,,4599
HePARIN Beef 10000 units/10mL inj,hePARIN beef,Not Recorded,,6
HePARIN Flush 100 Units/ mL 3 mL,hePARIN,Not Recorded,,12
HePARIN Flush neonate 1unit/mL in 1/2NS (Art-line),hePARIN flush in 1/2 NS neonate,Not Recorded,none,172
HePARIN IR 1000 unit/mL/4 mL ADD,heparin,Not Recorded,,5928
Hemin 313 mg inj,hemin,Not Recorded,none,90
Heparin 2000 unit/2mL inj,heparin,Not Recorded,,4
Heparin 4units/mL 1000mL (Neuro-Intervent Radiology),heparin in ns,Not Recorded,,11
Hepatitis B Immune Glob 5 mL inj (Hepagam B),hepatitis b im.glob,Not Recorded,,49
Hepatitis B immune globulin 1mL inj,hepatitis B immune globulin,Not Recorded,,1
Hetastarch 6%/ LR 500 mL bag,hetastarch 6% / lr,Hour,,1519
Hetastarch 6%/ NaCl 0.9% 500 mL bag,hetastarch 6% / ns,Not Recorded,,88
Hexaminolevulinate 100mg kit inj,hexaminolevulinate,Not Recorded,none,1
Hyaluronidase 15 units/mL/NS neonate syringe,hyaluronidase in NS syringe,Not Recorded,none,2
Hyaluronidase 150 units/mL inj,hyaluronidase,Not Recorded,none,1
HydrALAZINE 10 mg tab,hydrALAZINE,Not Recorded,,14
HydrALAZINE 1mg/mL/NS neonate syringe,hydrALAZINE in NS syringe,Not Recorded,none,4
HydrALAZINE 20 mg/1 mL inj,hydrALAZINE,Not Recorded,,285599
HydrALAZINE 25 mg tab,hydrALAZINE,Not Recorded,,1
HydrALAZINE 4 mg/mL Ped oral syringe,hydrALAZINE ped liq,Not Recorded,none,25
HydrALAZINE 50 mg tab,hydrALAZINE,Not Recorded,,20
HydrOXYzine HCL 10 mg tab,hydrOXYzine,Not Recorded,,1
HydrOXYzine HCl 25 mg/mL inj,hydrOXYzine,Not Recorded,none,43
Hydrocortisone  250 mg inj,hydrocortisone,Not Recorded,none,27
Hydrocortisone  250 mg inj,hydrocortisone ss,Not Recorded,none,7
Hydrocortisone 10 mg tab,hydrocortisone,Not Recorded,,2
Hydrocortisone 100 mg/2 mL for study,hydrocortisone/PBO,Not Recorded,,21
Hydrocortisone 100 mg/2 mL inj,hydrocortisone,Not Recorded,,190042
Hydrocortisone 100mg/60mL enema,hydrocortisone,Not Recorded,,1
Hydrocortisone 5 mg tab,hydrocortisone,Not Recorded,,2
Hydrocortisone 500 mg inj,hydrocortisone,Not Recorded,none,233
Hydrocortisone PF 100mg/2mL inj,hydrocortisone,Not Recorded,,280
Hydrocortisone pf 1mg/mL/NS neonate syringe,hydrocortisone in NS syringe,Not Recorded,none,542
Hydrocortisone pf 2mg/mL/NS neonate subq syr.,hydrocortisone in NS syringe,Not Recorded,none,23
Hydrocortisone pf 2mg/mL/NS neonate syringe,hydrocortisone in NS syringe,Not Recorded,none,1
Hydromorphone 0.4mg/mL+Ketamine 1mg/mL PCA (ortho OR),hydromorphone  0.4mg+ ketamine 1mg pca,Not Recorded,none,49
Hydromorphone 1 mg/mL inj,hydromorphone,Not Recorded,none,928746
Hydromorphone 10 mg/mL 5 mL inj,hydromorphone,Milligram/Hour,,1809
Hydromorphone 10 mg/mL 5 mL inj,hydromorphone-HP,Not Recorded,,482
Hydromorphone 2 mg tab,hydromorphone,Not Recorded,,11
Hydromorphone 2 mg/1 mL inj,hydromorphone,Not Recorded,,262327
Hydromorphone 2 mg/mL inj.,hydromorphone,Not Recorded,none,131529
Hydromorphone 4 mg tab,hydromorphone,Not Recorded,,3
Hydromorphone 40 mg/20 mL inj,hydromorphone,Not Recorded,,11927
Hydromorphone PCA 0.2mg/ml Syr.,hydromorphone PCA 0.2mg Syr.,Not Recorded,none,20544
Hydromorphone PCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr,Not Recorded,none,15434
Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml in NS syr.,Not Recorded,none,8218
Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr,Not Recorded,none,53939
Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr.,Not Recorded,none,21378
Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA/NCA 0.2mg/ml/ NS syr,Not Recorded,none,166499
Hydromorphone PCA/NCA 1mg/1 mL High Dose Syr.,hydromorphone PCA in NS syringe,Not Recorded,,22996
Hydromorphone PCA/NCA 1mg/1 mL High Dose Syr.,hydromorphone PCA/NCA in NS syringe,Not Recorded,,7508
Hydromorphone-PF 2 mg/1 mL,hydromorphone-pf,Not Recorded,,5778
Hydroxocobalamin 5 gm Kit,hydroxocobalamin,Not Recorded,none,368
"Hydroxyethyl Starch 6%/ NaCl 0.9% 500 mL bag
",hydroxyethyl starch,Not Recorded,,5
Hyperalimentation for charging,hyperalimentation,Not Recorded,none,6
Hypertonic NACL 16.4% 50mL (NaCl/NaAcetate),hypertonic saline 16.4%,Not Recorded,,9132
Hypertonic NACL 3% 500 mL IV bag,nacl 3%,Not Recorded,,105507
Hypertonic NaCl 23.4% 120meq IVPB for Neuro (30mL),"na chloride 23.4% in Bag, sterile",Not Recorded,,11503
Hypertonic NaCl 23.4% 240meq IVPB for Neuro,"na chloride 23.4% in Bag, sterile",Not Recorded,none,1506
Hypertonic Saline 7.5% 100mL (NaCl/NaAcetate),hypertonic saline 7.5%,Not Recorded,,299
IDArubicin 10 mg Inj,IDArubicin hcl,Not Recorded,none,19
IDArubicin 5 mg inj,IDArubicin,Not Recorded,none,1409
IRINOtecan 20 mg/mL inj,IRINOtecan,Not Recorded,none,138
IV Stabilizer Solution inj,IV stabilizer solution,Not Recorded,none,319
Ibutilide 1 mg/10 mL inj,ibutilide,Not Recorded,,365
Idarucizumab 2.5gm/50ml inj,idarucizumab,Not Recorded,,87
Ifosfamide 1gm inj,ifosfamide,Not Recorded,none,5276
Ifosfamide 3 gm,ifosfamide,Not Recorded,none,196
Imipenem-Cilastatin  500 mg inj,imipenem-cilastatin,Not Recorded,none,628
Immune Glob 6gm (Carimune) sucr.contng.,immune globulin human (sucrose contng.),Not Recorded,none,40
Immune Glob. Lymphocyte (Atgam),"lymphocyte, immune globulin",Not Recorded,none,367
Immune Glob.12gm (Carimune) sucrose contng.,immune glob. (hum) sucrose contng.,Not Recorded,none,282
Immune Globulin 10gm/100mL (Privigen),immune globulin intraven. SF,Not Recorded,,3748
Immune Globulin 10gm/100mL (Privigen),immune globulin intravenous SF,Not Recorded,,125
Immune Globulin 20gm/200mL (Gammagard),immune globulin (hum) sf,Not Recorded,,334
Immune Globulin sf 10gm/100mL (Gammagard),immune globulin human SF,Not Recorded,,1071
Immune Globulin sf 30gm/300mL (Gammagard),immune globulin human SF,Not Recorded,,3
Immune Globuln 20gm/200mL SF (Privigen),immune globulin intravenous,Not Recorded,,1030
Immune globulin 1gm neonate syringe.,immune globulin human SF syringe,Not Recorded,none,2
Immune globulin 5 gm inj (Gammagard),immune globulin human SF,Not Recorded,none,368
Immune globulin 5 gm inj (Privigen) 10%,immune globulin human SF,Not Recorded,none,1279
InFLIXimab (Remicade) 100 mg inj,inFLIXimab,Not Recorded,none,422
InFLIXimab (Remicade) 100 mg inj,inFLIXimab (Remicade),Not Recorded,none,29
Indigo 0.8% 5 mL inj,indigo carmine 0.8%,Not Recorded,,1117
Indomethacin 1 mg ped inj,indomethacin,Not Recorded,none,28
Insulin Bolus Neonate 0.1 unit(s)/mL/NS syringe,insulin regular in NS syringe,Not Recorded,none,2
Insulin Bolus Neonate 1 unit(s)/mL/NS syringe,insulin regular in NS syringe,Not Recorded,none,8
Insulin Detemir 100 units/mL inj for pregnancy,insulin detemir,Not Recorded,none,1
Insulin Glargine (Human),"insulin, glargine",Not Recorded,none,5
Insulin Glargine 100 units/mL inj,insulin glargine,Not Recorded,none,3
Insulin Isophane Human recomb. 100 units/mL inj,insulin isophane (NPH),Not Recorded,none,5
Insulin NPH (Human),"insulin, nph human",Not Recorded,none,3
Insulin Reg Hum.,insulin regular,Not Recorded,none,62
Insulin Reg Hum. (WW),insulin reg human,Not Recorded,none,6
Insulin Reg Hum.-BG-formula,insulin reg human,Not Recorded,none,18
Insulin Regular Human recomb. 100 units/mL inj,insulin regular,U/Hr,none,2432
Insulin aspart  (NovoLOG),insulin aspart,Not Recorded,none,46
Insulin aspart (NovoLOG).,insulin aspart,Not Recorded,none,87
Insulin regular COMPOUNDING USE,insulin reg human,Not Recorded,none,203074
Insulin regular COMPOUNDING USE,insulin regular CMPD,Not Recorded,none,51140
Insulin regular COMPOUNDING USE,insulin regular COMPOUNDING,Not Recorded,none,1681
Insulin/PBO for Shine Study,insulin/PBO-P# Shine study,U/Hr,none,451
Invest NS 500mL bag for study,invest NS bag,Not Recorded,,606
Invest ganciclovir 500 mg for study,ganciclovir p#val038,Not Recorded,none,1
Iodixanol 270 mg 100 mL btl,iodixanol,Not Recorded,,1
Iodixanol 320 mg/ mL 50 mL,iodixanol,Not Recorded,,1
Iohexol 180 mg 20mL,iohexol,Not Recorded,,1
Iohexol 300 100 mL btl,iohexol,Not Recorded,,5
Iohexol 300 10mL,iohexol,Not Recorded,,1
Iohexol 300 150 mL,iohexol,Not Recorded,,2
Iohexol 300 50mL inj,iohexol,Not Recorded,,6
Iohexol 350 100 mL,iohexol,Not Recorded,,1
Iohexol 350 150 mL,iohexol,Not Recorded,,2
Iohexol 350 50 mL inj,iohexol,Not Recorded,,51
Iohexol-350 100 mL,iohexol,Not Recorded,,3
Iopamidol 61% (Isovue 300) 50mL inj,iopamidol,Not Recorded,,2
Iopamidol 76% (Isovue 370) 50mL inj,iopamidol,Not Recorded,,1
Ipratropium 0.02% Inh Sol 2.5mL.,ipratropium 0.02%,Not Recorded,,1
Iron Dextran 100 mg/2 mL inj,iron dextran,Not Recorded,,1137
Iron Sucrose 100 mg/5mL inj,iron sucrose,Not Recorded,,35608
Isavuconazonium 372 mg inj,isavuconazonium,Not Recorded,none,5883
Isoproterenol 0.2 mg/ 1 mL inj,isoproterenol,Not Recorded,,7
Isoproterenol 1 mg/5 mL inj,isoproterenol,Not Recorded,,11656
Isosulfan Blue 1% 5 mL inj,isosulfan blue 1%,Not Recorded,,2
KCl 10mEq/100 mL St. Water  premix,potassium chloride in sterile water,Not Recorded,,108756
KCl 2 mEq/ml  20 mL inj.,potassium chloride,Not Recorded,,101034
KCl 20 mEq SA tab,potassium chloride tab SA,Not Recorded,,31
KCl 20 mEq packet,potassium chloride,Not Recorded,none,23
KCl 20 mEq/15 mL oral liq,potassium chloride,Not Recorded,,15
KCl 20 mEq/50 mL St. Water premix,potassium chloride in sterile water,Not Recorded,,120958
KCl 40 mEq/ 100 mL St.Water premix,potassium chloride in sterile water,Not Recorded,,89939
KCl 40 mEq/ NS 100 mL,potassium chloride in NS,Not Recorded,,104
KCl 40 mEq/30 mL oral liq,potassium chloride elixir,Not Recorded,,28
KCl 40 mEq/30 mL oral liq,potassium chloride liquid,Not Recorded,,746
Ketamine 200 mg/20mL inj ADD,ketamine,Not Recorded,,178570
Ketamine 50 mg/5mL syringe,ketamine,Not Recorded,,31110
Ketamine 500 mg/10 mL inj ADD,ketamine,Milligram/Hour,,30917
Ketamine 500 mg/10 mL inj CMPD,ketamine,Not Recorded,,2201
Ketamine 500 mg/5 mL inj,ketamine,Not Recorded,,7399
Ketamine 500 mg/5mL inj ADD,ketamine,Not Recorded,,20957
Ketamine HCl 10 mg/ mL inj (WW),ketamine,Not Recorded,none,21
Ketamine HCl 200 mg/20 mL inj,ketamine,Milligram/Hour,,40917
Ketorolac 15 mg inj,ketorolac,Not Recorded,none,216406
Ketorolac 30 mg inj,ketorolac,Not Recorded,none,307294
Ketorolac 60 mg/2 mL inj,ketorolac,Not Recorded,,40
L&D-Mag Sulf 4gm/100mL St.Water premix,magnesium sulfate in sterile water,Not Recorded,,1576
L&D-Mag Sulf 6gm/NS 100mL ivpb,magnesium sulfate in ns,Not Recorded,,300
LACOSamide 100 mg tab,LACOSamide,Not Recorded,,1
LACOSamide 100 mg/10 mL liquid UD,LACOSamide,Not Recorded,,2
LACOSamide 200 mg/20 mL inj,LACOSamide,Not Recorded,,26448
LACOSamide 50 mg tab,LACOSamide,Not Recorded,,4
LEVOleucovorin 50 mg,levoleucovorin,Not Recorded,none,3
LR 1000 mL IV bag,lactated ringers,Not Recorded,,3452776
LR 250 mL IV bag,lactated ringers,Not Recorded,,70
LR 500 mL IV bag,lactated ringers,Not Recorded,,31691
LR 500 mL IV bag for study,lactated ringers,Not Recorded,,9
Labetalol 10 mg/2 mL syringe,labetalol,Not Recorded,,15
Labetalol 100 mg/20 mL inj,labetalol,Not Recorded,,60396
Labetalol 100 mg/20 mL inj ADD,labetalol,Milligrams/Minute,,38942
Labetalol 20 mg/4 mL inj,labetalol,Not Recorded,,79375
Labetalol 20 mg/4 mL syringe,labetalol,Not Recorded,,6
Labetalol 200 mg tab,labetalol,Not Recorded,,1
Labetalol 300 mg tab,labetalol,Not Recorded,,3
Leucovorin 100 mg inj,leucovorin,Not Recorded,none,15241
Leucovorin 200  mg/10  mL inj,leucovorin,Not Recorded,,22
Leucovorin 350 mg/17.5mL inj,leucovorin,Not Recorded,,34
Leucovorin 5 mg tablet,leucovorin,Not Recorded,none,5
Leucovorin 50  mg inj,leucovorin,Not Recorded,none,4
LevETIRAcetam 1000 mg/100 mL NACL IVPB,levETIRAcetam in NACL,Not Recorded,,26101
LevETIRAcetam 1500 mg/100 mL NACL IVPB,levETIRAcetam in NACL,Not Recorded,,12478
LevETIRAcetam 500 mg/100 mL NACL IVPB,levETIRAcetam in NACL,Not Recorded,,29611
Levalbuterol 1.25 mg/0.5 mL solu UD,levalbuterol,Not Recorded,,1
LeveTIRACETAM 1000mg tab,leveTIRACETAM,Not Recorded,,4
LeveTIRACETAM 500mg inj.,leveTIRACETAM,Not Recorded,none,60800
LeveTIRACETAM 500mg/5mL soln.,leveTIRACETAM,Not Recorded,,132
LeveTIRACETAM XR 500mg tablet,levETIRAcetam XR,Not Recorded,none,1
LevoFLOXACIN 250 mg tab,levoFLOXACIN,Not Recorded,,1
LevoFLOXACIN 250 mg/50 mL D5W,LevoFLOXACIN in d5w,Not Recorded,,4113
LevoFLOXACIN 500 mg tab,levoFLOXACIN,Not Recorded,,11
LevoFLOXACIN 500 mg/100 mL D5W,LevoFLOXACIN in d5w,Not Recorded,,30625
LevoFLOXACIN 500mg inj,LevoFLOXACIN,Not Recorded,none,96
LevoFLOXACIN 750 mg tab,LevoFLOXACIN,Not Recorded,,1
LevoFLOXACIN 750 mg/D5W 150 mL,LevoFLOXACIN in d5w,Not Recorded,,38533
Levocarnitine 1000mg/5mL inj.,levocarnitine,Not Recorded,,16471
Levocarnitine 1gm inj  TPN Charging,levocarnitine,Not Recorded,none,169
Levofloxacin 500mg/20mL oral soln,levofloxacin,Not Recorded,,1
Levothyroxine 100 mcg tab,levothyroxine,Not Recorded,,2
Levothyroxine 25 mcg tab,levothyroxine,Not Recorded,,1
Levothyroxine 25mcg/mL 100 mL liq BULK,levothyroxine,Not Recorded,,2
Levothyroxine 300 mcg tab,levothyroxine,Not Recorded,,1
Levothyroxine 50 mcg tab,levothyroxine,Not Recorded,,1
Levothyroxine 88 mcg tab,levothyroxine,Not Recorded,,8
Lidocaine 0.5% PF 50 mL MDV inj,lidocaine 0.5%,Not Recorded,,3
Lidocaine 0.5%/Epi inj 50 mL,lidocaine 0.5%/epi,Not Recorded,,2
Lidocaine 1% 10 mL inj,lidocaine 1%,Not Recorded,,2
Lidocaine 1% 20 mL inj.,lidocaine 1%,Not Recorded,,46
Lidocaine 1% 50 mg/5 mL syringe (cardiac),lidocaine 1%,Not Recorded,,15
Lidocaine 1% 5mL inj,lidocaine 1%,Not Recorded,,44
Lidocaine 1% PF 30 mL,lidocaine 1% PF,Not Recorded,,62
Lidocaine 1% PF 5 mL inj,lidocaine 1% PF,Not Recorded,,35
"Lidocaine 1% w/Epi 1:100,000 50mL inj",lidocaine-epinephrine,Not Recorded,,1
"Lidocaine 1% w/Epi 1:100,000 inj 20 mL",lidocaine 1% w/ epi,Not Recorded,,20
"Lidocaine 1% w/Epi 1:200,000 inj 30mL PF inj",lidocaine 1% w/epi,Not Recorded,,3
Lidocaine 1% w/Epi for local anesthesia,lidocaine 1% w/epi,Not Recorded,none,1
Lidocaine 1.5% 20mL inj,lidocaine 1.5%,Not Recorded,,6
Lidocaine 1.5% w/epi 30 mL,lidocaine 1.5%/epi,Not Recorded,,35
Lidocaine 100mg/5mL syringe (cardiac),lidocaine,Not Recorded,,2179
Lidocaine 2% 10 mL inj,lidocaine 2%,Not Recorded,,212317
Lidocaine 2% Epi 1.8mL Cart,lidocaine 2% w/-epi,Not Recorded,,6
Lidocaine 2% Jelly  30 mL,lidocaine 2%,Not Recorded,,30
Lidocaine 2% Nebulized soln,lidocaine 2%,Not Recorded,none,1
Lidocaine 2% PF 10 mL inj,lidocaine 2%,Not Recorded,,1
Lidocaine 2% PF 2 mL inj,lidocaine 2%,Not Recorded,,4
