formulary_name,med_name_generic,med_action_dose_unit
Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA/NCA 0.2mg/ml/ NS syr,166499
Hydromorphone PCA/NCA 1mg/1 mL High Dose Syr.,hydromorphone PCA in NS syringe,22996
Hydromorphone PCA/NCA 1mg/1 mL High Dose Syr.,hydromorphone PCA/NCA in NS syringe,7508
Hydromorphone-PF 2 mg/1 mL,hydromorphone-pf,5778
Hydroxocobalamin 5 gm Kit,hydroxocobalamin,368
"Hydroxyethyl Starch 6%/ NaCl 0.9% 500 mL bag
",hydroxyethyl starch,5
Hyperalimentation for charging,hyperalimentation,6
Hypertonic NACL 16.4% 50mL (NaCl/NaAcetate),hypertonic saline 16.4%,9132
Hypertonic NACL 3% 500 mL IV bag,nacl 3%,105507
Hypertonic NaCl 23.4% 120meq IVPB for Neuro (30mL),"na chloride 23.4% in Bag, sterile",11503
Hypertonic NaCl 23.4% 240meq IVPB for Neuro,"na chloride 23.4% in Bag, sterile",1506
Hypertonic Saline 7.5% 100mL (NaCl/NaAcetate),hypertonic saline 7.5%,299
IDArubicin 10 mg Inj,IDArubicin hcl,19
IDArubicin 5 mg inj,IDArubicin,1409
IRINOtecan 20 mg/mL inj,IRINOtecan,138
IV Stabilizer Solution inj,IV stabilizer solution,319
Ibutilide 1 mg/10 mL inj,ibutilide,365
Idarucizumab 2.5gm/50ml inj,idarucizumab,87
Ifosfamide 1gm inj,ifosfamide,5276
Ifosfamide 3 gm,ifosfamide,196
Imipenem-Cilastatin  500 mg inj,imipenem-cilastatin,628
Immune Glob 6gm (Carimune) sucr.contng.,immune globulin human (sucrose contng.),40
Immune Glob. Lymphocyte (Atgam),"lymphocyte, immune globulin",367
Immune Glob.12gm (Carimune) sucrose contng.,immune glob. (hum) sucrose contng.,282
Immune Globulin 10gm/100mL (Privigen),immune globulin intraven. SF,3748
Immune Globulin 10gm/100mL (Privigen),immune globulin intravenous SF,125
Immune Globulin 20gm/200mL (Gammagard),immune globulin (hum) sf,334
Immune Globulin sf 10gm/100mL (Gammagard),immune globulin human SF,1071
Immune Globulin sf 30gm/300mL (Gammagard),immune globulin human SF,3
Immune Globuln 20gm/200mL SF (Privigen),immune globulin intravenous,1030
Immune globulin 1gm neonate syringe.,immune globulin human SF syringe,2
Immune globulin 5 gm inj (Gammagard),immune globulin human SF,368
Immune globulin 5 gm inj (Privigen) 10%,immune globulin human SF,1279
InFLIXimab (Remicade) 100 mg inj,inFLIXimab,422
InFLIXimab (Remicade) 100 mg inj,inFLIXimab (Remicade),29
Indigo 0.8% 5 mL inj,indigo carmine 0.8%,1117
Indomethacin 1 mg ped inj,indomethacin,28
Insulin Bolus Neonate 0.1 unit(s)/mL/NS syringe,insulin regular in NS syringe,2
Insulin Bolus Neonate 1 unit(s)/mL/NS syringe,insulin regular in NS syringe,8
Insulin Detemir 100 units/mL inj for pregnancy,insulin detemir,1
Insulin Glargine (Human),"insulin, glargine",5
Insulin Glargine 100 units/mL inj,insulin glargine,3
Insulin Isophane Human recomb. 100 units/mL inj,insulin isophane (NPH),5
Insulin NPH (Human),"insulin, nph human",3
Insulin Reg Hum.,insulin regular,62
Insulin Reg Hum. (WW),insulin reg human,6
Insulin Reg Hum.-BG-formula,insulin reg human,18
Insulin Regular Human recomb. 100 units/mL inj,insulin regular,2432
Insulin aspart  (NovoLOG),insulin aspart,46
Insulin aspart (NovoLOG).,insulin aspart,87
Insulin regular COMPOUNDING USE,insulin reg human,203074
Insulin regular COMPOUNDING USE,insulin regular CMPD,51140
Insulin regular COMPOUNDING USE,insulin regular COMPOUNDING,1681
Insulin/PBO for Shine Study,insulin/PBO-P# Shine study,451
Invest NS 500mL bag for study,invest NS bag,606
Invest ganciclovir 500 mg for study,ganciclovir p#val038,1
Iodixanol 270 mg 100 mL btl,iodixanol,1
Iodixanol 320 mg/ mL 50 mL,iodixanol,1
Iohexol 180 mg 20mL,iohexol,1
Iohexol 300 100 mL btl,iohexol,5
Iohexol 300 10mL,iohexol,1
Iohexol 300 150 mL,iohexol,2
Iohexol 300 50mL inj,iohexol,6
Iohexol 350 100 mL,iohexol,1
Iohexol 350 150 mL,iohexol,2
Iohexol 350 50 mL inj,iohexol,51
Iohexol-350 100 mL,iohexol,3
Iopamidol 61% (Isovue 300) 50mL inj,iopamidol,2
Iopamidol 76% (Isovue 370) 50mL inj,iopamidol,1
Ipratropium 0.02% Inh Sol 2.5mL.,ipratropium 0.02%,1
Iron Dextran 100 mg/2 mL inj,iron dextran,1137
Iron Sucrose 100 mg/5mL inj,iron sucrose,35608
Isavuconazonium 372 mg inj,isavuconazonium,5883
Isoproterenol 0.2 mg/ 1 mL inj,isoproterenol,7
Isoproterenol 1 mg/5 mL inj,isoproterenol,11656
Isosulfan Blue 1% 5 mL inj,isosulfan blue 1%,2
KCl 10mEq/100 mL St. Water  premix,potassium chloride in sterile water,108756
KCl 2 mEq/ml  20 mL inj.,potassium chloride,101034
KCl 20 mEq SA tab,potassium chloride tab SA,31
KCl 20 mEq packet,potassium chloride,23
KCl 20 mEq/15 mL oral liq,potassium chloride,15
KCl 20 mEq/50 mL St. Water premix,potassium chloride in sterile water,120958
KCl 40 mEq/ 100 mL St.Water premix,potassium chloride in sterile water,89939
KCl 40 mEq/ NS 100 mL,potassium chloride in NS,104
KCl 40 mEq/30 mL oral liq,potassium chloride elixir,28
KCl 40 mEq/30 mL oral liq,potassium chloride liquid,746
Ketamine 200 mg/20mL inj ADD,ketamine,178570
Ketamine 50 mg/5mL syringe,ketamine,31110
Ketamine 500 mg/10 mL inj ADD,ketamine,30917
Ketamine 500 mg/10 mL inj CMPD,ketamine,2201
Ketamine 500 mg/5 mL inj,ketamine,7399
Ketamine 500 mg/5mL inj ADD,ketamine,20957
Ketamine HCl 10 mg/ mL inj (WW),ketamine,21
Ketamine HCl 200 mg/20 mL inj,ketamine,40917
Ketorolac 15 mg inj,ketorolac,216406
Ketorolac 30 mg inj,ketorolac,307294
Ketorolac 60 mg/2 mL inj,ketorolac,40
L&D-Mag Sulf 4gm/100mL St.Water premix,magnesium sulfate in sterile water,1576
L&D-Mag Sulf 6gm/NS 100mL ivpb,magnesium sulfate in ns,300
LACOSamide 100 mg tab,LACOSamide,1
LACOSamide 100 mg/10 mL liquid UD,LACOSamide,2
LACOSamide 200 mg/20 mL inj,LACOSamide,26448
LACOSamide 50 mg tab,LACOSamide,4
LEVOleucovorin 50 mg,levoleucovorin,3
LR 1000 mL IV bag,lactated ringers,3452776
LR 250 mL IV bag,lactated ringers,70
LR 500 mL IV bag,lactated ringers,31691
LR 500 mL IV bag for study,lactated ringers,9
Labetalol 10 mg/2 mL syringe,labetalol,15
Labetalol 100 mg/20 mL inj,labetalol,60396
Labetalol 100 mg/20 mL inj ADD,labetalol,38942
Labetalol 20 mg/4 mL inj,labetalol,79375
Labetalol 20 mg/4 mL syringe,labetalol,6
Labetalol 200 mg tab,labetalol,1
Labetalol 300 mg tab,labetalol,3
Leucovorin 100 mg inj,leucovorin,15241
Leucovorin 200  mg/10  mL inj,leucovorin,22
Leucovorin 350 mg/17.5mL inj,leucovorin,34
Leucovorin 5 mg tablet,leucovorin,5
Leucovorin 50  mg inj,leucovorin,4
LevETIRAcetam 1000 mg/100 mL NACL IVPB,levETIRAcetam in NACL,26101
LevETIRAcetam 1500 mg/100 mL NACL IVPB,levETIRAcetam in NACL,12478
LevETIRAcetam 500 mg/100 mL NACL IVPB,levETIRAcetam in NACL,29611
Levalbuterol 1.25 mg/0.5 mL solu UD,levalbuterol,1
LeveTIRACETAM 1000mg tab,leveTIRACETAM,4
LeveTIRACETAM 500mg inj.,leveTIRACETAM,60800
LeveTIRACETAM 500mg/5mL soln.,leveTIRACETAM,132
LeveTIRACETAM XR 500mg tablet,levETIRAcetam XR,1
LevoFLOXACIN 250 mg tab,levoFLOXACIN,1
LevoFLOXACIN 250 mg/50 mL D5W,LevoFLOXACIN in d5w,4113
LevoFLOXACIN 500 mg tab,levoFLOXACIN,11
LevoFLOXACIN 500 mg/100 mL D5W,LevoFLOXACIN in d5w,30625
LevoFLOXACIN 500mg inj,LevoFLOXACIN,96
LevoFLOXACIN 750 mg tab,LevoFLOXACIN,1
LevoFLOXACIN 750 mg/D5W 150 mL,LevoFLOXACIN in d5w,38533
Levocarnitine 1000mg/5mL inj.,levocarnitine,16471
Levocarnitine 1gm inj  TPN Charging,levocarnitine,169
Levofloxacin 500mg/20mL oral soln,levofloxacin,1
Levothyroxine 100 mcg tab,levothyroxine,2
Levothyroxine 25 mcg tab,levothyroxine,1
Levothyroxine 25mcg/mL 100 mL liq BULK,levothyroxine,2
Levothyroxine 300 mcg tab,levothyroxine,1
Levothyroxine 50 mcg tab,levothyroxine,1
Levothyroxine 88 mcg tab,levothyroxine,8
Lidocaine 0.5% PF 50 mL MDV inj,lidocaine 0.5%,3
Lidocaine 0.5%/Epi inj 50 mL,lidocaine 0.5%/epi,2
Lidocaine 1% 10 mL inj,lidocaine 1%,2
Lidocaine 1% 20 mL inj.,lidocaine 1%,46
Lidocaine 1% 50 mg/5 mL syringe (cardiac),lidocaine 1%,15
Lidocaine 1% 5mL inj,lidocaine 1%,44
Lidocaine 1% PF 30 mL,lidocaine 1% PF,62
Lidocaine 1% PF 5 mL inj,lidocaine 1% PF,35
"Lidocaine 1% w/Epi 1:100,000 50mL inj",lidocaine-epinephrine,1
"Lidocaine 1% w/Epi 1:100,000 inj 20 mL",lidocaine 1% w/ epi,20
"Lidocaine 1% w/Epi 1:200,000 inj 30mL PF inj",lidocaine 1% w/epi,3
Lidocaine 1% w/Epi for local anesthesia,lidocaine 1% w/epi,1
Lidocaine 1.5% 20mL inj,lidocaine 1.5%,6
Lidocaine 1.5% w/epi 30 mL,lidocaine 1.5%/epi,35
Lidocaine 100mg/5mL syringe (cardiac),lidocaine,2179
Lidocaine 2% 10 mL inj,lidocaine 2%,212317
Lidocaine 2% Epi 1.8mL Cart,lidocaine 2% w/-epi,6
Lidocaine 2% Jelly  30 mL,lidocaine 2%,30
Lidocaine 2% Nebulized soln,lidocaine 2%,1
Lidocaine 2% PF 10 mL inj,lidocaine 2%,1
Lidocaine 2% PF 2 mL inj,lidocaine 2%,4
Lidocaine 2% PF 5 mL inj,lidocaine 2%,589
Lidocaine 2% Visc 100 mL btl,lidocaine 2%,7
Lidocaine 2% inj 20mL,lidocaine 2%,160
Lidocaine 2% inj. 50mL inj,lidocaine,19
Lidocaine 2% topical Gel 5 mL,lidocaine 2%,4
Lidocaine 2% topical soln,lidocaine 2%,4
Lidocaine 2% viscous liq 20 mL,lidocaine viscous 2%,15
"Lidocaine 2% w/Epi 1:100,000 20mL inj",lidocaine 2% w/epi,7
Lidocaine 20mg/mL OR syringe,lidocaine 2%,5
Lidocaine 4% 5 mL inj,lidocaine 4%,96
Lidocaine 4% Nebulized soln,lidocaine 4%,16
Lidocaine 4% cream,lidocaine 4% cream,1
Lidocaine 4% topical sol 50 mL,lidocaine 4%,14
Lidocaine 5% oint 35 gm,lidocaine 5%,1
Lidocaine 5%-Gluc 7.5% 2 mL inj,lidocaine 5% glucose 7.5%,2
Lidocaine 8mg/ml Drip NEONATE,lidocaine in syringe,16
Lidocaine Gel 2% 20mL (Uro-Jet Gel),lidocaine gel 2%,1
Lidocaine Viscous 2%  UD,lidocaine viscous 2%,101
Lidocaine topical 4% kit,lidocaine topical 4%,46
Lidocaine w/ Epi 1.5% 10 mL inj,lidocaiine1.5%w/epi,3
"Lidocaine w/Epi 2% 1:200,000 20 mL inj",lidocaine 2% w/ epi,4
Linezolid 200 mg/100 mL premix,linezolid premix,18
Linezolid 600 mg tab,linezolid,2
Linezolid 600 mg/300 mL premix,linezolid premix,13164
Linezolid 600 mg/300 mL premix.,linezolid premix,825
Loratadine 10 mg tab,loratadine,1
Lorazepam 0.5 mg tab,lorazepam,2
Lorazepam 1 mg tab,lorazepam,33
Lorazepam 2 mg/1 mL inj,lorazepam,241692
Lorazepam 2 mg/mL 10 mL Extemp,lorazepam,1673
Lorazepam 2 mg/mL 10 mL inj,lorazepam,64203
Lorazepam 2 mg/mL conc. liq. (Palliative Care)BULK,lorazepam,9
Lorazepam 4 mg/mL 10 mL inj,LORazepam,1
Lorazepam IV Therapy,Lorazepam IV Therapy,2
MORPHINE PF 0.5mg/ml in NS 2ml inj syr,morphine,6
MVI Pediatric 10mL inj,multivit ped inj,92
MVI-12   2X5 mL inj,multiple vitamins,56027
MVI-12 (2X5mL) inj,multiple vitamins,62323
Mag Sulf 1gm/100 mL D5W premix,magnesium sulfate in d5w,329
Mag Sulf 6gm/NS 100mL ivpb,magnesium sulfate in ns,38
Mag Sulfate 20gm/ 500ml Water inj,magnesium sulfate/water,111679
Mag Sulfate 20mg/mL/NS neonate syringe,magnesium sulf. in NS syringe,502
Mag Sulfate 40gm/ 1000ml Water inj,magnesium sulfate/water,5743
Mag Sulfate 50%  5 gm/10mL inj ***,magnesium sulfate 50%,57261
Mag Sulfate 50%(4 mEq/mL)2 mL inj,magnesium sulfate 50%,6673
Magnesium Citrate oral soln Bulk,magnesium citrate,1
Magnesium Sulf 2gm/50mL IVPB,magnesium sulfate,608868
Magnesium Sulf 4gm/100mL IVPB,magnesium sulfate,119486
Magnesium Sulf 5 gm/10mL OR syringe,magnesium sulfate,139
Magnesium Sulf 5 gm/10mL inj ..,magnesium sulfate,4033
Mannitol 20% 250 mL IV bag,mannitol 20%,6165
Mannitol 20% 500mL bag,mannitol 20%,712
Mannitol 25% 12.5gm/50 mL inj,mannitol 25%,648
Melphalan 50 mg inj,melphalan,2606
Meperidine 100 mg/1 mL inj.,meperidine,1922
Meperidine 25 mg/1 mL inj,meperidine,3291
Meperidine 25mg/0.5mL inj,meperidine,301
Meperidine 50 mg/1 mL inj,meperidine,2032
Mepivacaine 1% 30 mL inj,mepivacaine 1%,10
Mepivacaine 2% 20 mL inj,mepivacaine 2%,11
Meropenem 0.04mg/mL for Desensitization,meropenem/ns,3
Meropenem 1000 mg inj,meropenem,147597
Meropenem 1000mg/NS IVPB,meropenem in NS,71792
Meropenem 10mg/mL for Desensitization,meropenem/ns,4
Meropenem 1mg/mL for Desensitization,meropenem/ns,1199
Meropenem 20mg/mL for Desensitization,meropenem/ns,9
Meropenem 2gm Desensitization Rx Protocol- initiate,Meropenem 2gm Desensitization Rx Protocol- initiate,29
Meropenem 500 mg inj,meropenem,17599
Meropenem 500 mg/100 mL NS IVPB,meropenem in NS,44413
Meropenem 500mg/NS 50mL IVPB,meropenem in ns,48829
Mesna 1000 mg/10 mL inj,mesna,15427
MethaDONE 1 mg/ 1 mL oral Liq,methaDONE,8
MethaDONE 10 mg tab,methaDONE,8
MethaDONE 10 mg/mL 20 mL inj,methaDONE,146
MethaDONE 10 mg/ml 1mL IV syringe,methaDONE,12357
MethaDONE 10 mg/ml neonate IV syringe,methaDONE,21
MethaDONE 5 mg tab,methaDONE,6
MethaDONE 5 mg/ 5 mL oral Liq,methaDONE,78
Methocarbamol 1gm inj,methocarbamol,33679
Methocarbamol 500 mg tab,methocarbamol,8
Methocarbamol 750 mg tab,methocarbamol,4
Methohexital 500 mg inj,methohexital,4
Methotrexate 1gm inj,methotrexate,1334
Methotrexate 50 mg/2 mL inj,methotrexate,5
Methotrexate 50 mg/2 mL inj PF,methotrexate PF,3665
Methotrexate Int Dose,methotrexate sodium,4
MethylPREDNISolone  40 mg DEPO inj,methylPREDNISolone acetate (depo),154
MethylPREDNISolone 1000mg inj,methylPREDNISolone,21950
MethylPREDNISolone 125 mg/2 mL  inj,methylPREDNISolone,82174
MethylPREDNISolone 2.5mg/mL/NS neonate syringe,methylPREDNISolone in NS syringe,1
MethylPREDNISolone 2000mg inj,methylPREDNISolone,5
MethylPREDNISolone 4 mg tab,methylPREDNISolone,2
MethylPREDNISolone 40 mg inj,methylPREDNISolone,161910
MethylPREDNISolone 40 mg/mL susp inj 5mL,methylPREDNISolone,1
MethylPREDNISolone 500mg inj,methylPREDNISolone,2788
Methylene Blue 1% 10mg/mL inj,methylene blue 1%,443
Methylene Blue 100 mg / 10mL inj,methylene blue,531
Methylene Blue 5mg/mL 10mL inj,methylene blue,929
Methylergonovine 0.2 mg/1 mL inj,methylergonovine,81
Methylnaltrexone 12mg inj.,methylnaltrexone,6
Methylnaltrexone 8 mg inj,methylnaltrexone,1
MetoCLOPRAMIDE 1 mg/1 mL Ped oral syringe,metoCLOPRAMIDE ped liq,2
MetoCLOPRAMIDE 10 mg tab,metoCLOPRAMIDE,10
MetoCLOPRAMIDE 10 mg/10 mL liq,metoCLOPRAMIDE,1
MetoCLOPRAMIDE 10 mg/2 mL inj,metoCLOPRAMIDE,263442
MetoCLOPRAMIDE 5 mg tab,metoCLOPRAMIDE,1
MetoCLOPRAMIDE 5 mg/mL 10 mL inj,metoCLOPRAMIDE,21
MetoPROLOL 5 mg/5 mL inj,metoPROLOL,162845
MetoPROLOL Succinate XL 50 mg tab,metoPROLOL Succinate  XL,1
MetoPROLOL Succinate XL 50 mg tab,metoPROLOL XL,3
MetoPROLOL Tartrate 50 mg tab,metoPROLOL,2
MetoPROLOL tartrate 25 mg tab,metoPROLOL,1
MetoPROLOL tartrate 25 mg tab,metoPROLOL Tartrate,1
MetroNIDAZOLE tab(s) for wound care,metroNIDAZOLE,1
Metronidazole 500 mg tab,metronidazole,4
Metronidazole 500 mg/NS 100 mL,metronidazole / NS,334932
Metronidazole 5mg/mL/NS neonate syringe,metronidazole in NS syringe,102
Micafungin 100 mg inj,micafungin,43380
Micafungin 50 mg inj,micafungin,25813
Micafungin 5mg/mL 2mL lock soln.,micafungin lock soln.,9
Midazolam 10 mg/5mL syrup,midazolam,1
Midazolam 1mg/mL inj 5 mL,midazolam,5006
Midazolam 2mg/2mL inj,midazolam,241946
Midazolam 5 mg/mL inj 10 mL,midazolam,108520
Milrinone 10 mg/10 mL inj,milrinone,8
Milrinone 20 mg/20 mL inj,milrinone,27327
Minocycline 100 mg inj,minocycline,849
Misoprostol 100 mcg tab,misoprostol,1
Misoprostol 200 mcg tab,misoprostol,2
Misoprostol 25 mcg tab,misoprostol,1
MitoMYCIN 20 mg inj,mitoMYCIN,6
MitoXANTRONE 20mg/10 mL inj,mitoXANTRONE,168
MitoXANTRONE 25mg/12.5mL inj,mitoXANTRONE,78
Morphine 1 mg/mL neonate syringe,morphine in syringe,15
Morphine 10 mg/ 1 mL PF inj,morphine,12901
Morphine 10 mg/1 mL inj vial,morphine,10282
Morphine 10 mg/5 mL liq,morphine,12
Morphine 10 mg/mL inj 10 mL vial,morphine,1180
Morphine 15 mg/ 1 ml inj,morphine,6615
Morphine 15mg/mL 20 mL inj,morphine,4873
Morphine 2 mg/ 1 mL inj,morphine,628429
Morphine 2 mg/mL inj for Neonate study only,morphine,32
Morphine 2mg/mL oral liq,morphine,2
Morphine 4 mg/ 1 mL inj,morphine,276887
Morphine 5 mg/1 mL inj,morphine,26111
Morphine 8 mg/1 mL inj,morphine sulfate,8337
Morphine PCA 1mg/ml 50 mLSyr.,morphine PCA 1mg/ml 50mL Syr.,4293
Morphine PCA 50 mg/50 mL,morphine PCA,3316
Morphine PCA/NCA 50 mg/50 mL,morphine PCA,24842
Morphine PCA/NCA 50 mg/50 mL,morphine PCA/NCA,13966
Morphine-PF 10 mg/10 mL inj,morphine pf,185
Morphine-PF 200 mg/20 mL inj,morphine,1
Morphine-PF 5 mg/10 mL inj,morphine,8
Moxifloxacin 400 mg/250 mL NS IVPB,moxifloxacin in ns,1016
Multivitamin Pediatric 5 mL inj,multiple vitamins,126
Mycophenolate 250 mg cap,mycophenolate,1
Mycophenolate 500 mg inj,mycophenolate,28188
Mycophenolate 500 mg tab,mycophenolate,6
Mycophenolate 500 mg/2.5mL oral susp (UD cup),mycophenolate,11
NACL  0.45% 100 ml bag,nacl 0.45%,591
NACL  0.45% 50 mL IV bag,nacl 0.45%,18
NACL 0.45% +20 mEq KCl 1000 mL,nacl 0.45% + kcl,38575
NACL 0.45% 1000 mL IV bag,nacl 0.45%,706959
NACL 0.45% 250 mL IV bag,nacl 0.45%,1542
NACL 0.45% 500 mL IV bag,nacl 0.45%,21316
NACL 2.5 mEq/ mL 40mL inj,NACL 2.5 mEq/mL,220
NACL 800mEq/200mL 23.4% inj,nacl 23.4%,1
NICU 10% Starter TPN,NICU 10% Starter TPN,13
NICU Starter TPN,NICU Starter TPN,78
NOREPInephrine 16mcg/mL OR syringe,NOREPInephrine,45955
NOREPInephrine 4mcg/mL OR syringe (40mcg),NOREPInephrine,18
NOREPInephrine 4mg/4mL inj,NOREPInephrine,882302
NS 100 mL IV bag,nacl 0.9%,2011148
NS 100 mL IV bag for chemo,nacl 0.9%,16226
NS 1000 mL (Polyolefin) for chemo,ns (polyolefin),5181
NS 1000 mL IV bag,NS,7255566
NS 1000 mL IV bag for chemo,ns,6608
NS 1000 mL btl for manufacturing,ns,4
NS 1000 mL irrigation  btl,ns irrigation btl,12
NS 100mL (polyolefin),nacl 0.9% (polyolefin),19458
NS 10mL flush syr,saline flush,1349
NS 10ml PF vial,ns pf,184
NS 150 mL IV bag,nacl 0.9%,1929
NS 150 mL IV bag for chemo,nacl 0.9%,585
NS 2000 mL Irrigation bag,nacl 0.9%,2
NS 250 mL IV bag,nacl 0.9%,779191
NS 250 mL IV bag for IV Set,nacl 0.9%,14611
NS 250 mL IV bag for chemo,nacl 0.9%,18498
NS 250 mL IV btl,nacl 0.9% bottle,5463
NS 250 mL IV btl for chemo,nacl 0.9%,59
NS 250 mL Prime bag for Chemo,nacl 0.9%,15
NS 250mL (Polyolefin),nacl 0.9% (polyolefin),461957
NS 250mL (Polyolefin) for chemo,nacl 0.9% (polyolefin),495
NS 250mL bag for narc drip,nacl 0.9%,83347
NS 30 mL Bacteriostatic inj,sodium chloride bacteriostatic,1
NS 3000 mL Irrigation bag,ns irrigation,12
NS 3mL flush,saline flush,6
NS 50 mL IV bag,nacl 0.9%,1555074
NS 50 mL IV bag for chemo,nacl 0.9%,11616
NS 500 mL IV bag,nacl 0.9%,395487
NS 500 mL IVPB,nacl 0.9%,187
NS 500 mL irrigation btl,nacl 0.9%,3
NS 500mL (Polyolefin),nacl 0.9% (polyolefin),7316
NS 500mL (Polyolefin) for chemo,nacl 0.9% (polyolefin),9861
NS 500mL IV bag for chemo,nacl 0.9%,10335
NS Continuous Bladder Irrigation 3000mL,NS Bladder Irrigation,1
NS PCA,nacl 0.9%,59082
NS inj (Preservative Free),ns pf,147
NS inj (Preservative Free),ns pf.,56
NS+20 mEq KCl 1000 mL IV bag,ns + kcl,77705
NS+40 mEq KCl 1000 mL,ns + kcl,17456
NTG 0.3 mg=1/200Gr SL tab,nitroglycerin,1
NTG 0.4 mg=1/150Gr SL tab,nitroglycerin,149
NTG Aerosol Spray,nitroglycerin,45
NaCl conc 23.4% (4meq/mL) for compounding,na chloride conc(23.4%),11938
NaCl conc 23.4% 5mL syr,na chloride conc(23.4%),5
NaCl conc 23.4% 5mL syr (Dialysis),na chloride conc(23.4%),5
Nafcillin 0.01mg/mL for Desensitization,nafcillin/ns for desensitization,7
Nafcillin 0.1mg/mL for Desensitization,nafcillin/ns for desensitization,7
Nafcillin 10 gm inj,nafcillin,6300
Nafcillin 10mg/mL for Desensitization,nafcillin/ns for desensitization,8
Nafcillin 1gm inj,nafcillin,72
Nafcillin 1gm/50 mL Iso-Dex,nafcillin in Iso-Dex,5
Nafcillin 1gm/50mL NS,nafcillin/ns,265
Nafcillin 20mg/mL neonate syringe,nafcillin/ns in syringe,32
Nafcillin 2gm Desensitization Rx Protocol- initiate,Nafcillin 2gm Desensitization Rx Protocol- initiate,1
Nafcillin 2gm inj,nafcillin,1714
Nafcillin 2gm/100 mL Iso-Dex,nafcillin in Iso-Dex,853
Nafcillin 2gm/100mL NS IVPB,nafcillin/ns,15681
Nafcillin 50mg/mL for Desensitization,nafcillin/ns for desensitization,8
Nalbuphine 10 mg/1 mL inj,nalbuphine,11403
Nalbuphine 20 mg/1 mL inj,nalbuphine,2168
Naloxone (HIGH CONCENTRATION)  2 mg/2 mL syringe,naloxone,769
Naloxone 0.4 mg/ 1 mL inj,naloxone,23004
Nelarabine 250 mg/ 50mL inj,nelarabine,81
Neonatal TPN,Neonatal TPN,1633
Neonate Hyperalimentation,Hyperalimentation neonate,938
Neonate Starter Hyperal 250mL,neonate starter hyperal,50
Neostigmine 1 mg/mL 10 mL inj,neostigmine,317
Neostigmine 1 mg/mL inj,neostigmine,12
Neostigmine 3mg/3mL inj,neostigmine,1
Neostigmine 3mg/3mL inj,neostimine,18
Neostigmine 5mg/5mL Syr for Pyxis,neostigmine,1
NiCARdipine 100mcg/mL 10 mL-OR syringe,niCARdipine,13424
NiCARdipine 25mg/10mL inj,niCARdipine,13873
NiCARdipine 30 mg cap,niCARdipine,6
Nicardipine 1.25mg/6.25mL ECT syringe,nicardipine syringe,2
Nitroglycerin 100mcg/mL for Cath Lab,nitroglycerin,1348
Nitroglycerin 2% Oint 1 gm,nitroglycerin 2% 1 gm,19
Nitroglycerin 200mcg/mL 10mL OR syringe,nitroglycerin,8
Nitroglycerin 25 mg/5 mL inj,nitroglycerin,4
Nitroglycerin 50 mg/ 10 mL inj,nitroglycerin,3558
Nitroglycerin 50mcg/mL 10mL OR syringe,nitroglycerin,11540
Nitroprusside 50 mg/ 2 mL inj,nitroprusside,6338
Normosol-R Ph 7.4 1000mL bag,electrolytes,4
Not Recorded,Not Recorded,993111
OXALIplatin 100mg inj,OXALIplatin,202
OXALIplatin 50 mg inj,OXALIplatin,34
Octreotide  100 mcg/1mL inj,octreotide,3473
Octreotide  500  mcg/1 mL  inj,octreotide,549
Octreotide  500  mcg/1 mL  inj ADD,octreotide add,124691
Octreotide 1 mg/mL 5 mL inj,octreotide,111
Octreotide 10 mcg/mL neonate syringe,octreotide,3
Octreotide 100 mcg/0.2 mL syringe,octreotide,4
Octreotide 20 mg/5 mL LAR inj,octreotide,1
Octreotide 30 mg LAR Kit,octreotide,6
Olanzapine 10 mg IM,olanzapine,191
Ondansetron 4 mg ODT,ondansetron ODT,112
Ondansetron 4 mg tab,ondansetron,85
Ondansetron 4 mg/2 mL inj,ondansetron,1337705
Ondansetron 40 mg/20 mL inj (MDV),ondansetron,1423
Ondansetron 8 mg tab,ondansetron,33
Ondansetron 8mg/NS IVPB,ondansetron/ns,29
Ophth. Lubricant (Refresh P.M.) 3.5 gm,ophthalmic lubricant,2
Oxacillin 1000mg inj,oxacillin,323
Oxacillin 40mg/mL/NS neonate syringe,oxacillin in NS syringe,42
Oxymetazoline 0.05% nasal spray 15 mL,oxymetazoline 0.05%,229
Oxytocin 10 units/ 1 mL inj,oxytocin,2422
Oxytocin 10 units/mL inj 10mL,oxytocin,45
Oxytocin 15 unit(s)/NS 250mL (Induction),oxytocin/ns,65537
Oxytocin 20 unit(s)/LR 1000mL (Infusion),oxytocin/LR,21097
Oxytocin 20 units/1000 mL NS for infusion,oxytocin in NS,8722
Oxytocin 20 units/500mL (Infusion),oxytocin infusion,22608
Oxytocin 20 units/500mL (Infusion),oxytocin/LR,6933
Oxytocin 30 units/NS 500 mL,oxytocin/NS,5110
P.D. 1.5% 1000mL bag,p.d.soln 1.5%,1
PACLItaxel 30 mg/5 mL inj,PACLItaxel,149
PACLItaxel 300 mg/50 mL inj,PACLItaxel,384
PACLItaxel 6 mg/mL inj,PACLItaxel,3
PACLItaxel Protein-Bound 100mg inj,PACLItaxel protein-bound,36
PCA IV Syringe,PCA IV Syringe,65
PCA Reservoir & Syringe Volume Confirm,PCA Reservoir & Syringe Volume Confirm,3
"PCN G Ben 300,000 unit(s)/1 mL inj",penicillin g benzathine,1
PCN G Benzathine  1.2 mu/2 mL inj,penicillin g benzathine,2
