formulary_name,med_name_generic,med_action_dose_unit
Aminocaproic 5gm/20 mL inj,aminocaproic acid,Not Recorded
Aminocaproic acid 250mg/mL oral syrup,aminocaproic acid,Not Recorded
Aminophylline 250 mg/ 10 mL inj,aminophylline,Not Recorded
Aminophylline 500 mg/ 20 mL inj,aminophylline,Not Recorded
Aminophylline 5mg/mL for ped syringe,aminophylline/ns,Not Recorded
Aminosyn II 10% Solution 2000 mL (amino acid injection),amino acids 10%,Not Recorded
Amiodarone 150 mg/100 mL Bolus,amiodarone,Not Recorded
Amiodarone 150 mg/100 mL Bolus,amiodarone in iso-dex,Not Recorded
Amiodarone 150 mg/100 mL iso-dex Bolus,amiodarone in iso-dex,Not Recorded
Amiodarone 150 mg/3 mL inj,amiodarone,Milligrams/Minute
Amiodarone 200 mg tab,amiodarone,Not Recorded
Amiodarone 450 mg/9 mL inj,amiodarone,Not Recorded
Amiodarone 900 mg Drip,amiodarone 900 mg drip,Not Recorded
Amobarbital 500 mg inj,amobarbital,Not Recorded
Amphotericin  liposomal  50 mg inj (Ambisome),amphotericin b liposome,Not Recorded
Amphotericin-B 50 mg inj,amphotericin B,Not Recorded
Amphotericin-B 5mg/mL/D5W neonate syringe,amphotericin B in D5W syringe,Not Recorded
Ampicillin 0.01mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded
Ampicillin 0.1mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded
Ampicillin 10 gm inj,ampicillin,Not Recorded
Ampicillin 10mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded
Ampicillin 1gm IVPB,ampicillin in ns,Not Recorded
Ampicillin 1gm inj,ampicillin,Not Recorded
Ampicillin 2 gm inj,ampicillin,Not Recorded
Ampicillin 250 mg inj,ampicillin,Not Recorded
Ampicillin 2gm IVPB,ampicillin in ns,Not Recorded
Ampicillin 500 mg inj,ampicillin,Not Recorded
Ampicillin 500mg IVPB,ampicillin in ns,Not Recorded
Ampicillin 50mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded
Ampicillin-Sulbactam  1.5gm inj,ampicillin-sulbactam,Not Recorded
Ampicillin-Sulbactam 3gm inj,ampicillin-sulbactam,Not Recorded
Ampicillin/Sulbactam 1.5gm IVPB,ampicil/sulbact in ns,Not Recorded
Ampicillin/Sulbactam 3gm  IVPB,Ampicil/sulbact in ns,Not Recorded
Angiotensin II 2.5mg/ml,angiotensin II,ng/kg/min
Anti-Thymocyte Globulin (Rabbit) 25 mg/5 mL,anti-thymocyt globulin(rabbit),Not Recorded
Anti-Thymocyte Globulin for study,thymocyt glob/PBO p# ITN028A1,Not Recorded
Anti-Thymocyte Globulin for study2,thymocyt glob p#thymo102700103,Not Recorded
Anticoagulant Citrate B 500 mL,Anticoagulant citrate B,Not Recorded
Anticoagulant Citrate Dextrose A 1000mL,Anticoagulant citrate dext-A,Not Recorded
Anticoagulant Citrate Soln-A 500mL,anticoagulant citrate dext-A,Not Recorded
Antihemophilic factor-von Willebrand factor Bolus,antihemophilic factor-von Willebrand in syringe,Not Recorded
Antihemophilic factor-von Willebrand factor inj,antihemophilic factor-von Willebrand,Not Recorded
Antithrombin III 500 units bolus,antithrombin III in syringe,Not Recorded
Antithrombin III 500 units-bolus,antithrombin III,Not Recorded
Antithrombin III 500 units-bolus,antithrombin III in syringe,Not Recorded
Antithrombin III 500 units-bolus (OR CHARGE),antithrombin III,Not Recorded
Antivenin (Crotalidae) polyvalent inj,"crotalidae, antivenin",Not Recorded
Aprepitant 125 mg cap,aprepitant,Not Recorded
Aprepitant 125 mg-80 mg kit,aprepitant,Not Recorded
Aprepitant 40 mg caps,aprepitant,Not Recorded
Aprepitant 80 mg cap,aprepitant,Not Recorded
Argatroban 250 mg vial,argatroban,Not Recorded
Arginine 10% 300 mL,arginine 10%,Not Recorded
Arsenic 10mg/10mL inj,arsenic trioxide,Not Recorded
Ascorbic 500 mg/mL 50 mL inj,ascorbic acid,Not Recorded
Ascorbic Acid 500 mg tab,ascorbic acid,Not Recorded
Ascorbic Acid 500mg inj,ascorbic acid,Not Recorded
Ascorbic acid 500 mg/mL 1mL inj,ascorbic acid,Not Recorded
Aspirin 300 mg supp,aspirin,Not Recorded
Aspirin 325 mg tab,aspirin,Not Recorded
Aspirin 600 mg supp,aspirin,Not Recorded
Aspirin 81 mg chew tab,aspirin chewable,Not Recorded
Aspirin Buffered 325 mg tab,"aspirin, buffered",Not Recorded
Aspirin EC 325 mg tab,aspirin ec,Not Recorded
Atorvastatin 80 mg tab,atorvastatin,Not Recorded
Atracurium 50 mg/5 mL inj,atracurium,Microgram/Kilogram/Minute
Atropine 0.4mg/mL 20mL,atropine,Not Recorded
