"icd10cm","icd9cm","flags","approximate","no_map","combination","scenario","choice_list"
"00914ZX","0111","10000",1,0,0,0,0
"00914ZZ","0109","10000",1,0,0,0,0
"009200Z","0131","10000",1,0,0,0,0
"00920ZX","0112","10000",1,0,0,0,0
"00920ZZ","0131","10000",1,0,0,0,0
"009230Z","0109","10000",1,0,0,0,0
"00923ZX","0111","10000",1,0,0,0,0
"00923ZZ","0109","10000",1,0,0,0,0
"009240Z","0109","10000",1,0,0,0,0
"00924ZX","0111","10000",1,0,0,0,0
"00924ZZ","0109","10000",1,0,0,0,0
"009300Z","0139","10000",1,0,0,0,0
"00930ZX","0112","10000",1,0,0,0,0
"00930ZZ","0139","10000",1,0,0,0,0
"009330Z","0139","10000",1,0,0,0,0
"00933ZX","0111","10000",1,0,0,0,0
"00933ZZ","0139","10000",1,0,0,0,0
"009340Z","0139","10000",1,0,0,0,0
"00934ZX","0111","10000",1,0,0,0,0
"00934ZZ","0139","10000",1,0,0,0,0
"009400Z","0131","10000",1,0,0,0,0
"00940ZX","0112","10000",1,0,0,0,0
"00940ZZ","0131","10000",1,0,0,0,0
"009430Z","0109","10000",1,0,0,0,0
"00943ZX","0111","10000",1,0,0,0,0
"00943ZZ","0109","10000",1,0,0,0,0
"009440Z","0109","10000",1,0,0,0,0
"00944ZX","0111","10000",1,0,0,0,0
"00944ZZ","0109","10000",1,0,0,0,0
"009500Z","0131","10000",1,0,0,0,0
"00950ZX","0112","10000",1,0,0,0,0
"00950ZZ","0131","10000",1,0,0,0,0
"009530Z","0101","10000",1,0,0,0,0
"00953ZX","0111","10000",1,0,0,0,0
"00953ZZ","0101","10000",1,0,0,0,0
"009540Z","0101","10000",1,0,0,0,0
"00954ZX","0111","10000",1,0,0,0,0
"00954ZZ","0101","10000",1,0,0,0,0
"009600Z","0221","10000",1,0,0,0,0
"00960ZX","0114","10000",1,0,0,0,0
"00960ZZ","0139","10000",1,0,0,0,0
"009630Z","0221","10000",1,0,0,0,0
"00963ZX","0113","10000",1,0,0,0,0
"00963ZZ","0109","10000",1,0,0,0,0
"009640Z","0221","10000",1,0,0,0,0
"00964ZX","0113","10000",1,0,0,0,0
"00964ZZ","0109","10000",1,0,0,0,0
"009700Z","0139","10000",1,0,0,0,0
"00970ZX","0114","10000",1,0,0,0,0
"00970ZZ","0139","10000",1,0,0,0,0
"009730Z","0139","10000",1,0,0,0,0
"00973ZX","0113","10000",1,0,0,0,0
"00973ZZ","0139","10000",1,0,0,0,0
"009740Z","0139","10000",1,0,0,0,0
"00974ZX","0113","10000",1,0,0,0,0
"00974ZZ","0139","10000",1,0,0,0,0
"009800Z","0142","10000",1,0,0,0,0
"00980ZX","0114","10000",1,0,0,0,0
"00980ZZ","0142","10000",1,0,0,0,0
"009830Z","0142","10000",1,0,0,0,0
"00983ZX","0113","10000",1,0,0,0,0
"00983ZZ","0142","10000",1,0,0,0,0
"009840Z","0142","10000",1,0,0,0,0
"00984ZX","0113","10000",1,0,0,0,0
"00984ZZ","0142","10000",1,0,0,0,0
"009900Z","0141","10000",1,0,0,0,0
"00990ZX","0114","10000",1,0,0,0,0
"00990ZZ","0141","10000",1,0,0,0,0
"009930Z","0141","10000",1,0,0,0,0
"00993ZX","0113","10000",1,0,0,0,0
"00993ZZ","0141","10000",1,0,0,0,0
"009940Z","0141","10000",1,0,0,0,0
"00994ZX","0113","10000",1,0,0,0,0
"00994ZZ","0141","10000",1,0,0,0,0
"009A00Z","0141","10000",1,0,0,0,0
"009A0ZX","0114","10000",1,0,0,0,0
"009A0ZZ","0141","10000",1,0,0,0,0
"009A30Z","0141","10000",1,0,0,0,0
"009A3ZX","0113","10000",1,0,0,0,0
"009A3ZZ","0141","10000",1,0,0,0,0
"009A40Z","0141","10000",1,0,0,0,0
"009A4ZX","0113","10000",1,0,0,0,0
"009A4ZZ","0141","10000",1,0,0,0,0
"009B00Z","0139","10000",1,0,0,0,0
"009B0ZX","0114","10000",1,0,0,0,0
"009B0ZZ","0139","10000",1,0,0,0,0
"009B30Z","0139","10000",1,0,0,0,0
"009B3ZX","0113","10000",1,0,0,0,0
"009B3ZZ","0139","10000",1,0,0,0,0
"009B40Z","0139","10000",1,0,0,0,0
"009B4ZX","0113","10000",1,0,0,0,0
"009B4ZZ","0139","10000",1,0,0,0,0
"009C00Z","0139","10000",1,0,0,0,0
"009C0ZX","0114","10000",1,0,0,0,0
"009C0ZZ","0139","10000",1,0,0,0,0
"009C30Z","0139","10000",1,0,0,0,0
"009C3ZX","0113","10000",1,0,0,0,0
"009C3ZZ","0139","10000",1,0,0,0,0
"009C40Z","0139","10000",1,0,0,0,0
"009C4ZX","0113","10000",1,0,0,0,0
"009C4ZZ","0139","10000",1,0,0,0,0
"009D00Z","0139","10000",1,0,0,0,0
"009D0ZX","0114","10000",1,0,0,0,0
"009D0ZZ","0139","10000",1,0,0,0,0
"009D30Z","0139","10000",1,0,0,0,0
"009D3ZX","0113","10000",1,0,0,0,0
"009D3ZZ","0139","10000",1,0,0,0,0
"009D40Z","0139","10000",1,0,0,0,0
"009D4ZX","0113","10000",1,0,0,0,0
"009D4ZZ","0139","10000",1,0,0,0,0
"009F00Z","0404","10000",1,0,0,0,0
"009F0ZX","0412","10000",1,0,0,0,0
"009F0ZZ","0404","10000",1,0,0,0,0
"009F30Z","0404","10000",1,0,0,0,0
"009F3ZX","0411","10000",1,0,0,0,0
"009F3ZZ","0404","10000",1,0,0,0,0
"009F40Z","0404","10000",1,0,0,0,0
"009F4ZX","0411","10000",1,0,0,0,0
"009F4ZZ","0404","10000",1,0,0,0,0
"009G00Z","0404","10000",1,0,0,0,0
"009G0ZX","0412","10000",1,0,0,0,0
"009G0ZZ","0404","10000",1,0,0,0,0
"009G30Z","0404","10000",1,0,0,0,0
"009G3ZX","0411","10000",1,0,0,0,0
"009G3ZZ","0404","10000",1,0,0,0,0
"009G40Z","0404","10000",1,0,0,0,0
"009G4ZX","0411","10000",1,0,0,0,0
"009G4ZZ","0404","10000",1,0,0,0,0
"009H00Z","0404","10000",1,0,0,0,0
"009H0ZX","0412","10000",1,0,0,0,0
"009H0ZZ","0404","10000",1,0,0,0,0
"009H30Z","0404","10000",1,0,0,0,0
"009H3ZX","0411","10000",1,0,0,0,0
"009H3ZZ","0404","10000",1,0,0,0,0
"009H40Z","0404","10000",1,0,0,0,0
"009H4ZX","0411","10000",1,0,0,0,0
"009H4ZZ","0404","10000",1,0,0,0,0
"009J00Z","0404","10000",1,0,0,0,0
"009J0ZX","0412","10000",1,0,0,0,0
"009J0ZZ","0404","10000",1,0,0,0,0
"009J30Z","0404","10000",1,0,0,0,0
"009J3ZX","0411","10000",1,0,0,0,0
"009J3ZZ","0404","10000",1,0,0,0,0
"009J40Z","0404","10000",1,0,0,0,0
"009J4ZX","0411","10000",1,0,0,0,0
"009J4ZZ","0404","10000",1,0,0,0,0
"009K00Z","0404","10000",1,0,0,0,0
"009K0ZX","0412","10000",1,0,0,0,0
"009K0ZZ","0404","10000",1,0,0,0,0
"009K30Z","0404","10000",1,0,0,0,0
"009K3ZX","0411","10000",1,0,0,0,0
"009K3ZZ","0404","10000",1,0,0,0,0
"009K40Z","0404","10000",1,0,0,0,0
"009K4ZX","0411","10000",1,0,0,0,0
"009K4ZZ","0404","10000",1,0,0,0,0
"009L00Z","0404","10000",1,0,0,0,0
"009L0ZX","0412","10000",1,0,0,0,0
"009L0ZZ","0404","10000",1,0,0,0,0
"009L30Z","0404","10000",1,0,0,0,0
"009L3ZX","0411","10000",1,0,0,0,0
"009L3ZZ","0404","10000",1,0,0,0,0
"009L40Z","0404","10000",1,0,0,0,0
"009L4ZX","0411","10000",1,0,0,0,0
"009L4ZZ","0404","10000",1,0,0,0,0
"009M00Z","0404","10000",1,0,0,0,0
"009M0ZX","0412","10000",1,0,0,0,0
"009M0ZZ","0404","10000",1,0,0,0,0
"009M30Z","0404","10000",1,0,0,0,0
"009M3ZX","0411","10000",1,0,0,0,0
"009M3ZZ","0404","10000",1,0,0,0,0
"009M40Z","0404","10000",1,0,0,0,0
"009M4ZX","0411","10000",1,0,0,0,0
"009M4ZZ","0404","10000",1,0,0,0,0
"009N00Z","0404","10000",1,0,0,0,0
"009N0ZX","0412","10000",1,0,0,0,0
"009N0ZZ","0404","10000",1,0,0,0,0
"009N30Z","0404","10000",1,0,0,0,0
"009N3ZX","0411","10000",1,0,0,0,0
"009N3ZZ","0404","10000",1,0,0,0,0
"009N40Z","0404","10000",1,0,0,0,0
"009N4ZX","0411","10000",1,0,0,0,0
"009N4ZZ","0404","10000",1,0,0,0,0
"009P00Z","0404","10000",1,0,0,0,0
"009P0ZX","0412","10000",1,0,0,0,0
"009P0ZZ","0404","10000",1,0,0,0,0
"009P30Z","0404","10000",1,0,0,0,0
"009P3ZX","0411","10000",1,0,0,0,0
"009P3ZZ","0404","10000",1,0,0,0,0
"009P40Z","0404","10000",1,0,0,0,0
"009P4ZX","0411","10000",1,0,0,0,0
"009P4ZZ","0404","10000",1,0,0,0,0
"009Q00Z","0404","10000",1,0,0,0,0
"009Q0ZX","0412","10000",1,0,0,0,0
"009Q0ZZ","0404","10000",1,0,0,0,0
"009Q30Z","0404","10000",1,0,0,0,0
"009Q3ZX","0411","10000",1,0,0,0,0
"009Q3ZZ","0404","10000",1,0,0,0,0
"009Q40Z","0404","10000",1,0,0,0,0
"009Q4ZX","0411","10000",1,0,0,0,0
"009Q4ZZ","0404","10000",1,0,0,0,0
"009R00Z","0404","10000",1,0,0,0,0
"009R0ZX","0412","10000",1,0,0,0,0
"009R0ZZ","0404","10000",1,0,0,0,0
"009R30Z","0404","10000",1,0,0,0,0
"009R3ZX","0411","10000",1,0,0,0,0
"009R3ZZ","0404","10000",1,0,0,0,0
"009R40Z","0404","10000",1,0,0,0,0
"009R4ZX","0411","10000",1,0,0,0,0
"009R4ZZ","0404","10000",1,0,0,0,0
"009S00Z","0404","10000",1,0,0,0,0
"009S0ZX","0412","10000",1,0,0,0,0
"009S0ZZ","0404","10000",1,0,0,0,0
"009S30Z","0404","10000",1,0,0,0,0
"009S3ZX","0411","10000",1,0,0,0,0
"009S3ZZ","0404","10000",1,0,0,0,0
"009S40Z","0404","10000",1,0,0,0,0
"009S4ZX","0411","10000",1,0,0,0,0
"009S4ZZ","0404","10000",1,0,0,0,0
"009T00Z","0309","10000",1,0,0,0,0
"009T0ZX","0332","10000",1,0,0,0,0
"009T0ZZ","0309","10000",1,0,0,0,0
"009T30Z","0309","10000",1,0,0,0,0
"009T3ZX","0332","10000",1,0,0,0,0
"009T3ZZ","0309","10000",1,0,0,0,0
