Unnamed: 0,med_name,is_fluids,fluid_type,med_class,med_subclass
390,carboplatin,False,Medication,,antineoplastics
394,aminocaproic acid,False,Medication,,anticoagulants
402,argatroban,False,Medication,,anticoagulants
403,ertapenem,False,Medication,anti-infective,carbapenems
405,imipenem-cilastatin,False,Medication,anti-infective,carbapenems
409,bivalirudin,False,Medication,,anticoagulants
418,inFLIXimab,False,Medication,,not_reviewed
423,pamidronate,False,Medication,,not_reviewed
424,adenosine,False,Medication,antiarrhythmics,other
429,vinCRIStine,False,Medication,,antineoplastics
431,insulin aspart,False,Medication,,not_reviewed
432,butorphanol,False,Medication,,not_reviewed
442,tirofiban,False,Medication,,anticoagulants
447,ceftaroline,False,Medication,anti-infective,cephalosporins
450,decitabine,False,Medication,,antineoplastics
454,cisplatin,False,Medication,,antineoplastics
455,paricalcitol,False,Medication,,not_reviewed
464,acetaZOLAMIDE,False,Medication,diuretic,other
466,melphalan,False,Medication,,antineoplastics
470,fosaprepitant,False,Medication,,not_reviewed
471,aldesleukin,False,Medication,,antineoplastics
481,immune globulin intravenous,False,Medication,,not_reviewed
483,isavuconazonium,False,Medication,anti-infective,antifungals
484,fluorescein ophthalmic,False,Medication,,other
491,foscarnet,False,Medication,anti-infective,antiviral
494,methotrexate,False,Medication,,antineoplastics
497,physostigmine,False,Medication,,not_reviewed
501,enoxaparin,False,Medication,,anticoagulants
503,coagulation factor VIIa,False,Medication,,anticoagulants
505,hetastarch,True,Synthetic Colloid,,not_reviewed
507,Dextrose 5% with 0.2% NaCl intravenous solution,True,Hypotonic Crystalloid,,not_reviewed
514,arginine,False,Medication,,other
518,glucagon,False,Medication,,not_reviewed
524,ANES amiodarone 750 mg/500 mL D5W Premix,False,Medication,,
525,enalapril,False,Medication,bp_lowering,other
527,epoetin alfa,False,Medication,,other
528,methadone,False,Medication,,not_reviewed
535,ifosfamide,False,Medication,,antineoplastics
538,ibutilide,False,Medication,antiarrhythmics,other
541,Factor VIII injection,False,Medication,,
545,conjugated estrogens,False,Medication,,not_reviewed
546,posaconazole,False,Medication,anti-infective,antifungals
549,avibactam-cefTAZidime,False,Medication,anti-infective,cephalosporins
552,ferumoxytol,False,Medication,,not_reviewed
555,ceftolozane-tazobactam,False,Medication,anti-infective,penicillins
556,meperidine,False,Medication,,not_reviewed
563,potassium acetate,True,Electrolyte Solution (Potassium),,not_reviewed
565,amphotericin B liposomal,False,Medication,anti-infective,antifungals
568,IDArubicin,False,Medication,,antineoplastics
574,isoproterenol,False,Medication,vasopressor,other
575,anti-inhibitor coagulant complex,False,Medication,,anticoagulants
576,granisetron,False,Medication,,not_reviewed
580,ethacrynic acid,False,Medication,diuretic,other
581,copper chloride,False,Medication,,not_reviewed
587,telavancin,False,Medication,anti-infective,glycopeptide
592,amikacin,False,Medication,anti-infective,aminoglycosides
598,hyperal neonate,True,Parenteral Nutrition,,not_reviewed
608,procainamide,False,Medication,antiarrhythmics,other
610,PACLitaxel,False,Medication,,antineoplastics
614,antihemophilic factor,False,Medication,,anticoagulants
615,indocyanine green,False,Medication,,not_reviewed
621,zoledronic acid,False,Medication,,not_reviewed
622,voriconazole,False,Medication,anti-infective,antifungals
623,pentamidine,False,Medication,,antiparasitic
624,verapamil,False,Medication,bp_lowering,other
633,indigo carmine,False,Medication,,not_reviewed
634,coagulation factor IX,False,Medication,,anticoagulants
647,gabapentin,False,Medication,,not_reviewed
649,ascorbic acid,False,Medication,,not_reviewed
650,iron dextran,False,Medication,,not_reviewed
651,prothrombin complex conc human,False,Medication,,anticoagulants
656,PENTobarbital,False,Medication,,not_reviewed
674,arsenic trioxide,False,Medication,,antineoplastics
681,cyanocobalamin,False,Medication,,not_reviewed
689,azaCITIDine,False,Medication,,antineoplastics
691,bevacizumab,False,Medication,,antineoplastics
692,fluorouracil,False,Medication,,antineoplastics
704,terbutaline,False,Medication,,not_reviewed
706,DOXOrubicin liposomal,False,Medication,,antineoplastics
708,prasugrel,False,Medication,,anticoagulants
717,chlorproMAZINE,False,Medication,,not_reviewed
721,oxacillin,False,Medication,anti-infective,penicillins
726,alemtuzumab,False,Medication,,antineoplastics
728,sodium acetate,True,Electrolyte Solution (Other),,not_reviewed
730,vinorelbine,False,Medication,,antineoplastics
731,moxifloxacin,False,Medication,anti-infective,fluoroquinolones
737,antihemophilic factor-von Willebrand factor inj,False,Medication,,anticoagulants
741,albuterol,False,Medication,,not_reviewed
742,cytomegalovirus immune globulin,False,Medication,,not_reviewed
744,oxaliplatin,False,Medication,,antineoplastics
746,oxymetazoline nasal,False,Medication,,other
748,irinotecan,False,Medication,,antineoplastics
750,clevidipine,False,Medication,bp_lowering,other
751,aprepitant,False,Medication,,not_reviewed
762,caffeine,False,Medication,,not_reviewed
765,Standard PAL Line IV fluid,True,IV Line Fluid,,
773,cefotaxime,False,Medication,anti-infective,cephalosporins
775,allopurinol,False,Medication,,not_reviewed
779,antithrombin III,False,Medication,,anticoagulants
782,minocycline,False,Medication,anti-infective,tetracyclines
789,abciximab,False,Medication,,anticoagulants
792,DOCEtaxel,False,Medication,,antineoplastics
802,mitoXANTRONE,False,Medication,,antineoplastics
804,Dextrose 70% in Water intravenous solution,True,Hypertonic Crystalloid,,not_reviewed
810,calcitriol,False,Medication,,not_reviewed
814,propranolol,False,Medication,bp_lowering,other
816,bupivacaine-epinephrine,False,Medication,,not_reviewed
817,raNITIdine,False,Medication,,not_reviewed
818,Dextrose 5% in Lactated Ringers with KCl 20 mEq/l intravenous solution,True,Isotonic Crystalloid,,not_reviewed
819,"Bag, PCA  Infusion",False,Medication,,
821,phenytoin,False,Medication,,other
826,vedolizumab,False,Medication,,not_reviewed
835,bupivacaine,False,Medication,,not_reviewed
836,heparin flush,False,Medication,,anticoagulants
840,fomepizole,False,Medication,,not_reviewed
841,phenylephrine nasal,False,Medication,,other
842,dalfopristin-quinupristin,False,Medication,anti-infective,antiviral
845,penicillin G sodium,False,Medication,anti-infective,penicillins
