med_name,med_class,med_subclass
tetanus-diphth toxoids (Td) adult/adol,,not_reviewed
perflutren,,not_reviewed
papaverine,,other
sodium benzoate-sodium phenylacetate,,not_reviewed
streptozocin,,antineoplastics
aspirin,,analgesics
ticagrelor,,not_reviewed
pregabalin,,not_reviewed
trimethobenzamide,,not_reviewed
insulin glargine,,not_reviewed
bleomycin,,antineoplastics
Vancomycin Trough Reminder,,
quinidine,antiarrhythmics,other
cidofovir,anti-infective,antiviral
RHo (D) immune globulin,,not_reviewed
digoxin immune FAB,,not_reviewed
selenium,,not_reviewed
ziprasidone,,not_reviewed
traMADol,,opiods
Standard UVC Line IV fluid,,
Al hydroxide/ASA/Ca carbonate/Mg hydroxide,,not_reviewed
methylergonovine,,not_reviewed
lidocaine topical,,other
celecoxib,,not_reviewed
Flolan Cassette,,
cladribine,,antineoplastics
cocaine topical,,other
ticarcillin-clavulanate,anti-infective,penicillins
benzocaine topical,,other
PACLitaxel protein-bound,,antineoplastics
isosulfan blue,,not_reviewed
mepivacaine,,not_reviewed
insulin isophane (NPH),,not_reviewed
hydromor/ketamine bolus from current pca,,
bupivacaine liposome,,not_reviewed
pertuzumab,,antineoplastics
trastuzumab,,antineoplastics
fibrinogen,,anticoagulants
conivaptan,,other
pegaspargase,,antineoplastics
ramucirumab,,antineoplastics
morphine bolus from current pca,,
epinephrine-lidocaine,,not_reviewed
eribulin,,antineoplastics
pentostatin,,antineoplastics
panitumumab,,antineoplastics
calcium glubionate,,not_reviewed
ALPRAZolam,hypnotics,
bendamustine,,antineoplastics
sirolimus,,antineoplastics
deferoxamine,,not_reviewed
dicyclomine,,not_reviewed
cetuximab,,antineoplastics
Al hydroxide/Mg hydroxide/simethicone,,not_reviewed
zinc sulfate,,not_reviewed
fentanyl bolus from current pca,,
calcium carbonate,,not_reviewed
edrophonium,,not_reviewed
caffeine-sodium benzoate,,not_reviewed
Hexaminolevulinate 100mg kit inj,,antineoplastics
alprostadil,bp_lowering,other
cloNIDine,bp_lowering,other
sugammadex,,not_reviewed
ethanol,,not_reviewed
trabectedin,,antineoplastics
"dextran, high molecular weight",,not_reviewed
clofarabine,,antineoplastics
tbo-filgrastim,,other
"dextran, low molecular weight",,not_reviewed
palifermin,,antineoplastics
thiotepa,,antineoplastics
peramivir,anti-infective,antiviral
buprenorphine,,not_reviewed
indomethacin,,not_reviewed
idaruCIZUmab,,anticoagulants
polymyxin B sulfate,,other
bacitracin,,other
sargramostim,,other
phenol topical,,other
ANES Bupivicaine 0.15%/NS 250 mL Epidural,,
antivenin (Crotalidae) polyvalent,,other
Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe,,
iohexol,,not_reviewed
Neonate Starter Hyperal,,
Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe,,
insulin pump patient - regular,,
clopidogrel,,anticoagulants
OLANZapine,,not_reviewed
azaTHIOprine,,not_reviewed
dexrazoxane,,not_reviewed
filgrastim,,other
sodium tetradecyl sulfate,,other
ado-trastuzumab emtansine,,antineoplastics
ropivacaine,,not_reviewed
iodixanol,,not_reviewed
amifostine,,antineoplastics
Amino Acid 3% UAC Line Fluid,,
"influenza virus vaccine, inactivated",,not_reviewed
eculizumab,,antineoplastics
loratadine,,not_reviewed
"bag, sterile",,
nelarabine,,antineoplastics
thrombin topical,,anticoagulants
topotecan,,antineoplastics
magnesium citrate,,not_reviewed
copper sulfate,,not_reviewed
hydrOXYzine,,not_reviewed
Anticoagulant Citrate Soln,,not_reviewed
calcitonin,,not_reviewed
topiramate,,not_reviewed
"C1 esterase inhibitor, human",,anticoagulants
NS Continuous Bladder Irrigation 3000mL,,not_reviewed
secretin,,other
sodium citrate,,not_reviewed
carboprost,,not_reviewed
SUMAtriptan,,not_reviewed
insulin lispro,,not_reviewed
Amino Acids 15% (Clinisol Sulfite-Free),,not_reviewed
parenteral nutrition solution,,not_reviewed
abatacept,,not_reviewed
divalproex sodium,,not_reviewed
hemin,,not_reviewed
fentanyl-ropivacaine,,not_reviewed
intravenous electrolyte solution,,not_reviewed
dalbavancin,anti-infective,glycopeptide
cytarabine liposomal-daunorubicin liposomal,,antineoplastics
corticorelin,,not_reviewed
protein C,,anticoagulants
glucose,,not_reviewed
"bottle, sterile",,
pneumococcal 23-polyvalent vaccine,,not_reviewed
prismasate dialysate,,not_reviewed
chloramphenicol,anti-infective,other
Methylnaltrexone 12mg inj.,,not_reviewed
Vancomycin Intermittent Dosing by Pharmacist,anti-infective,glycopeptide
Nafcillin 2gm Desensitization Rx Protocol- initiate,anti-infective,penicillins
levalbuterol,,not_reviewed
procaine penicillin,anti-infective,penicillins
alfentanil,,not_reviewed
hyaluronidase,,not_reviewed
methyldopa,bp_lowering,other
PCA IV Syringe,,
penicillin G benzathine,anti-infective,penicillins
insulin detemir,,not_reviewed
Epoprostenol CADD Conc-Dose-Rate Confirm,,
Angiotensin II,bp_lowering,other
PCA Reservoir & Syringe Volume Confirm,,
sodium thiosulfate,,not_reviewed
trace elements with selenium,,not_reviewed
meropenem-vaborbactam,anti-infective,carbapenems
mitoMYcin,,antineoplastics
Meropenem 2gm Desensitization Rx Protocol- initiate,anti-infective,carbapenems
Prismasate BK4/0 w/o Calcium,,not_reviewed
gemtuzumab ozogamicin,,antineoplastics
epoprostenol diluent,,other
tocilizumab,,not_reviewed
liothyronine,,not_reviewed
predniSONE,,not_reviewed
Fentanyl Patch Removal,,
ustekinumab,,not_reviewed
Dianeal PD-2 with 1.5% Dextrose,,not_reviewed
insulin pump patient - lispro,,
carbidopa-levodopa,,not_reviewed
Amino Acid Injection 50gm/1000ml,,not_reviewed
eravacycline,anti-infective,tetracyclines
imdevimab,,
Dianeal Low Calcium with 1.5% Dextrose,,not_reviewed
defibrotide,,anticoagulants
ravulizumab-cwvz 300 mg/30mL inj,,not_reviewed
coagulation factor Xa,,anticoagulants
