o2_device,count,mapping
"Other: pt being bagged with ambu, 15L O2",1,
Other: ventilator; 30% fiO2,1,
"O2 not needed, Other: ETT",1,
"Room air, Other: pt intubated, 50% fio2",1,
Other: intubated 50 fio2,1,
Other: pt intubated .,1,
Other: Vent 20 450 6 50 AV,1,
Other: 4 liters,1,
Other: Trach,1,
Other: Ventilator ASV 100 mv- 40% fio2- 5 peep,1,
Other: I-vent,1,
"Nasal cannula, High-flow nasal cannula, Cool mist aerosol",1,
Other: bipaP,1,
"Room air, Other: on vent, see respiratory note for details.",1,
Other: Ventilstor,1,
Other: vent ASV 30%,1,
"Room air, Other: home c-pap",1,
"Trach collar, Trach collar with heater, Simple mask",1,
Other: ON vent.,1,
Other: bagging ET,1,
Other: BVM  ET,1,
Other: BVM ET,1,
"Nasal cannula, Other: may need BIPAP at night",1,
"Room air, Other: Mechanical Ventilations",1,
"Room air, Other: Bag Mask",1,
"Trach collar, O2 not needed, Room air",1,
"Room air, Other: albuterol tx",1,
"Trach collar, Room air, Other: O2 over trach",1,
Other: et & vent,1,
"High-flow nasal cannula, Other: Vent",1,
"Trach interface, Other: Vent",1,
"Other: Trach in place, capped. Patient is currently on room air.",1,
Other: Pt being ambu bagged,1,
"Bag mask, Other: LMA",1,
Other: R neck crieck,1,
Other: VENT/ETT,1,
"Other: Vt 400, PEEP 8, FiO2 60, flowtrigger 3.0, I:E 1:2.0",1,
"Other: PEEP 8, FiO2 60%",1,
"Other: Vt 400, PEEP 6, FiO2 50%",1,
"Other: ventilated (S)CMV+, Vt 400, PEEP 6, O2 50%",1,
Other: HUMIDIFIED NASAL CANNULA,1,
"High-flow mask, Cool mist aerosol, Bag mask",1,
"CPAP/BiPAP Device, Other: fio2 .60%",1,
Other: Trilogy,1,
"Other: intubatioin size 7.5 , placement 21cm at the lip",1,
"Room air, Other: bagging through trach",1,
"Room air, Other: Vent-intubated",1,
"Room air, Other: neb treatmentr",1,
"Room air, Other: neb treatmetn",1,
Other: Vent APV/CMV,1,
"Room air, Other: AirVO2 55%",1,
Other: Trach/Vent,1,
"Trach collar, Other: Ventilator",1,
Other: breathing tx to 8L O2,1,
Other: Intubated/Ventilated,1,
"Room air, Other: pt on vapo therm at 40L/min and NRB at 15L/min",1,
Other: mech ventilator,1,
"Room air, Other: RA. nc 4 liters at 78%, NRB 94%",1,
"Heated high-flow oxygen, High-flow nasal cannula, Other: 15L non rebreather",1,
"Non-rebreather mask, Other: Heliox",1,
"High-flow nasal cannula, Room air, Other: pt is also on 15L  non rebreather at this time",1,
Other: intubated 6 PEEP 100% o2,1,
"Non-rebreather mask, Other: vent",1,
"Room air, Other: INTUBATED. 8.0 ET Tube, Fio2 80% Vt 460, PEEP 8",1,
"Room air, Other: NRM",1,
Other: Ventilator with Flolan running at 1 million,1,
"Room air, Other: on vent.",1,
Other: Home ventilator,1,
"High-flow nasal cannula, Other: pt additionally on 15L non rebreather",1,
"Room air, Other: BiPAP settings = 12 over 6, rate of 14, 40% oxygen",1,
Other: vented patient,1,
"Trach collar, T-Piece, O2 not needed, Room air",1,
"High-flow mask, Other: Pt is ventilated",1,
Other: Pt is on the vent - see RT notes for settings.,1,
Other: Pt is on the vent,1,
"Room air, Other: Pt on vent -see RT settings.",1,
Other: Intubated - mechanical ventilation,1,
Other: per ventilator via trach,1,
Other: ventilator; BV during transport,1,
"Room air, Other: pt intubated : ventilator settings 6 PEEP 50% 02",1,
Other: NEBULIZER,1,
Other: intubated and ventilated on SCMV mode,1,
"High-flow nasal cannula, Other: Humidified per Respiratory Therapist, Sharon Young.",1,
"Partial-rebreather mask, Room air, Other: Vent",1,
Other: vapotherm .35 and 40L/min,1,
"Room air, Other: NRB",1,
Other: 3L NC,1,
"Other: 30% fio2, ventilator",1,
"Room air, Other: high flow o2",1,
Other: patient is veent,1,
Other: ET to vent,1,
"CPAP/BiPAP Device, Other: triology",1,
"Non-rebreather mask, Other: heliox",1,
"Room air, Other: heliox+ albuterol+ levalbuterol",1,
"Nasal cannula, Other: heliox",1,
Other: Patient on vent AC mode.,1,
"Room air, Other: Heliox",1,
Other: on ventilator 70% oxygen peep 6,1,
"Other: intubated 70% oxygen, peep 6",1,
Other: 0.7% oxygen peep 6,1,
Other: intubated 70% oxygen peep 6,1,
"Room air, Other: intubated 80% oxygen peep 6",1,
"Room air, Other: intubated size 8 ET tube",1,
Other: Heliox,1,
"Non-rebreather mask, Other: heleiox",1,
Other: pt on vent at bedside.,1,
"Room air, Other: ET 7.5  24at the lip",1,
Other: nasal trumpet with BVM,1,
"Non-rebreather mask, Other: neb tx",1,
"Trach collar, Oxymizer, Room air",1,
"Trach collar, Room air, Other: optic flow",1,
Other: home oxygen,1,
Other: 8 F ET TUBE; 26 at the lip,1,
"Room air, Other: BPAP",1,
Other: Trached and Vented,1,
Other: airvo2,1,
Other: Vented. ETT.,1,
"Other: Intubated, AC mode",1,
"Room air, Other: Vent.",1,
Other: ET tube/ventilator,1,
"CPAP/BiPAP Device, Other: 70% O2",1,
"Nasal cannula, Face shield, Cool mist aerosol",1,
"Simple mask, Other: Breathing treatment",1,
"Room air, Other: ventilator, see respiratory settings",1,
"High-flow nasal cannula, Other: BVM",1,
"Room air, Other: nonrebreather",1,
"Simple mask, Cool mist aerosol, Room air",1,
"Room air, Other: Et tube",1,
Other: Et tube,1,
Other: NIPPD,1,
"Other: Vented on PCV 30%  PEEP 6, PC 30",1,
Other: IGEL,1,
"Room air, Other: trach and vent",1,
Other: intubated and ventilated,1,
"Home CPAP/BiPAP Device, Other: BIPAP",1,
"Room air, Other: at home 2 L via NC",1,
"High-flow nasal cannula, High-flow mask, CPAP/BiPAP Device",1,
Other: intubated 100% O2,1,
"Other: intubated, 100% O2",1,
"Other: Intubated, 100% O2",1,
"Room air, Other: Vent vis trach",1,
"Other: on BIPAP setting: BIPAP 16/6; Rate 18, FIO2 45%.",1,
"Nasal cannula, High-flow mask, Other: Intubated",1,
Other: NC and intubated with bag assist,1,
Other: Bag mask,1,
"Room air, Other: Pt using vent from home, arrived by EMS with vent in use.",1,
Other: DuoNeb breathing treatment,1,
Other: 5Liters,1,
Other: Ventilator Pressure support,1,
"Room air, Other: nebulizer treatment @ 8L",1,
"Simple mask, Bag mask",1,
"Simple mask, High-flow mask, Room air",1,
"Room air, Other: pt on vent",1,
Other: breathing tx going,1,
"Aerosol mask, High-flow nasal cannula, Room air",1,
"Other: trach, ventilator",1,
"Room air, Other: OETT",1,
Other: Intubated vent,1,
Other: vent',1,
"Room air, Other: home vent via trach",1,
"Other: home ventilator settings Assist control, 420 tidal volume, 20 respirations, 6 PEEP, 2L supplemental O2",1,
Other: Trach to vent,1,
"Trach collar, Room air, Other: on ventilator",1,
Other: Nebulizer,1,
"Trach collar, Other: Trach collar",1,
"Nasal cannula, Trach collar, Cool mist aerosol",1,
Other: Ventilator- see ventilator settings,1,
"Other: intubated, 100% oxygen",1,
Other: venbt,1,
"Nasal cannula, Other:",1,
"Room air, Other: PEEP 5 on vent",1,
Other: ventilator 30% O2,1,
Other: ventilator FIO2 30%,1,
"Trach collar, Other: VENT",1,
"Simple mask, Other: Ventilator  PEEP 5 FIO2 28 PSV 15 Rate 20 Tidal volume 5",1,
"Aerosol mask, Other: pt is on albuterol and atrovent treatment",1,
"Trach collar, Trach interface, T-Piece",1,
"Non-rebreather mask, Cool mist aerosol, Room air",1,
Other: orally intubated,1,
Other: pt. intubated at this time; pt. being bagged at this time,1,
Other: Vent with 35% FiO2,1,
"Trach collar, Other: Vented",1,
"Nasal cannula, Room air, Other:",1,
Other: bipap 14/6,1,
"Room air, Other: bipap/cpap",1,
"Other: trach, chronic vent",1,
"Room air, Other: bipap-c/pap",1,
"Room air, Other: bi-pap/cpap per ED RT",1,
Other: bi-pap/cpap,1,
Other: Bi-pap/cpap,1,
"Room air, Other: ambubag",1,
"Room air, Other: vent from home (RT at bedside)",1,
"Room air, Other: trach on home vent",1,
Other: trilogy home vent,1,
"Room air, Other: Bi-pap/cpap from ED RT",1,
"Trach collar, Other: 50% Trach collar",1,
"CPAP/BiPAP Device, Other: ipap 12 epap 8 rate 8  fi02%35%",1,
Other: intbuated and vented,1,
"Other: non rebreather, 15 l",1,
"Other: fio2 100% peep 8, et to vent",1,
"Room air, Other: to vent at fio2 100%",1,
Other: hospital Bipap,1,
Other: vent AC/CMV 20 FIo2 .40 TV 450 peep 6,1,
Other: AirVo 45%,1,
Other: vent AC/CMV 20 FIO2 .40 tv 450 peep 6,1,
Other: vent AC/CMV 20 TV 450 FIOS .40 peep 6,1,
"Other: vent - AC/CMV 20, TV 450, FIO2 .40 peep 6",1,
"Room air, Other: vent AC/CMV 20 TV 450, FIO2 .40, peep 6",1,
Other: Non-rebreather,1,
"High-flow nasal cannula, Other: Nocturnal bipap",1,
Other: Breathing treatment in progress.,1,
Other: intubated on a vent,1,
Other: vent AC/CMV 20 FIO2 .40 TV 450 peep 6,1,
"High-flow nasal cannula, Home CPAP/BiPAP Device, Room air",1,
"Nasal cannula, Trach collar, Face shield",1,
Other: Pt placed on vent,1,
Other: pt ventilator,1,
"Other: vent VT 450 rate 16/min, Fio2 100%, Peep 5",1,
"Aerosol mask, Non-rebreather mask, Room air",1,
Other: Patient intubated,1,
"Room air, Other: ambulatory o2 sat, pt did well while ambulating lowest sat 94% RA, when pt sat down, sats dropped to lowest 84%. pt placed on 2L o2 and sats returned to pre desat condition",1,
Other: alb neb with 8L/min O2,1,
Other: air vo,1,
"Room air, Other: Encouraged to deep breathe",1,
Other: PT ET TUBE IN PLACE. PT ON VENT.,1,
"Room air, Other: 100% ETT",1,
Other: trach with vent,1,
Other: patient intubated,1,
"High-flow nasal cannula, O2 not needed",1,
Other: Igel,1,
Other: ventede,1,
Other: pt received on ambu bag,1,
Other: trach via vent,1,
"Venturi mask, Other: intubated",1,
Other: intubatred,1,
"Room air, Other: iGel, ambu bag",1,
"Heated high-flow oxygen, Other: trach-20%, 10 L",1,
Other: nebs,1,
Other: ECMO cannulated/ on vent,1,
"Bag mask, Other: vent settings:  Rate 28, TV 420, Peep 16 and FiO2 70%.",1,
Other: pt Vented,1,
Other: Pt was placed on continuous nebulizer by RT - flow rate is 3 l per min,1,
"Non-rebreather mask, High-flow mask, Room air",1,
Other: on Trach- Venti,1,
Other: NRB,1,
"Heated high-flow oxygen, Other: AirVo",1,
Other: AirVO FiO2 45%,1,
"Other: on AIRVO, Fio2 45%",1,
"Room air, Other: fio2 40%",1,
Other: Ambnu Bag,1,
Other: ETT.Vent,1,
Other: being bagged by RT at bedside,1,
Other: bagged by RT at bedside,1,
Other: bipap machine,1,
"Partial-rebreather mask, Other: bipap",1,
"Room air, Other: Pt own Cipap",1,
"CPAP/BiPAP Device, Other: Pts Own Cipap",1,
Other: Bipap 100,1,
Other: Patient on the vent.,1,
"Room air, Other: et tube/vent",1,
Other: ambu-mask,1,
"Room air, Other: trache on vent",1,
"Trach collar, Other: Ventilator.",1,
"Room air, Other: Ventilator FIO2 50%",1,
Other: intubated. Vented,1,
Other: AC rate 20 50% TV  450 Peep 7,1,
"Other: intubated, SCMV 10/60%",1,
