o2_device,count,mapping
"Face shield, High-flow nasal cannula",3,
"Trach collar, Home CPAP/BiPAP Device",3,
Other: ventilator.,3,
"Trach collar, Other: Vent",3,
Other: BAGGED,3,
"Trach collar with heater, Trach interface, T-Piece",3,
"Room air, Other: bag valve mask",3,
"Room air, Other: Vent CMV",3,
Other: venti,3,
Other: On Vent.,3,
Other: TUBED AND VENTED,3,
Other: Hospital BiPAP,2,
Other: NRBM,2,
"Trach collar, Trach interface",2,
Other: manual bagging,2,
Other: Neb treatment,2,
"High-flow mask, Home CPAP/BiPAP Device",2,
Other: Vent/ETT,2,
Other: AMBU BAG PER RESIDENT MD,2,
Other: high flow NC at 4,2,
"Room air, Other: vent.",2,
"Simple mask, O2 standby, equipment at bedside",2,
"Room air, Other: Intubated/ET Tube",2,
Other: intubated with o2,2,
Other: Home Vent,2,
"T-Piece, Venturi mask",2,
"Non-rebreather mask, Other: 15L",2,
"Room air, Other: during ambulation",2,
"Other: Intubated, ET tube on vent",2,
Other: ventilatory via trach,2,
Other: intub,2,
"Room air, Other: with ambulation",2,
"Room air, Other: ventilated through trach",2,
Other: vent fio2 100,2,
"Non-rebreather mask, Partial-rebreather mask",2,
Other: on Bipap,2,
"Other: vent, 100% FiO2, PEEP 8",2,
"Trach collar with heater, O2 standby, equipment at bedside",2,
Other: humidified,2,
"Room air, Other: vent,",2,
"Trach collar, Room air, Other: ventilator",2,
"Aerosol mask, O2 standby, equipment at bedside",2,
"Room air, Other: pt being bagged at bedside by RT",2,
"Room air, Other: Endotracheal Intubation",2,
Other: pt intuabted,2,
"Room air, Other: trach to vent",2,
Other: On Vent,2,
"Room air, Other: pt on ventilator, PCV mode, Peep5, o2 40%",2,
Other: ETT/ventilator,2,
"Heated high-flow oxygen, Oxyhood",2,
"High-flow nasal cannula, Other: vent",2,
"Nasal cannula, High-flow nasal cannula, High-flow mask",2,
"Trach collar, Other: Home vent",2,
"High-flow mask, Bag mask",2,
"Room air, Other: Trach",2,
Other: ETT/ vented,2,
Other: ent,2,
Other: Pt placed on ventilator,2,
Other: bipap 50% O2,2,
Other: BI PAP,2,
Other: bagged by rt,2,
"Room air, Other: Vent Rate 22, 370 TV , 6 Peep, 60 %",2,
Other: Vent 100%,2,
"High-flow nasal cannula, Bag mask",2,
"O2 standby, equipment at bedside, Other: 35%O2 ventilator",2,
Other: V,2,
"Trach collar, Room air, Other: pt on Vent",2,
"Trach interface, Heated high-flow oxygen, High-flow nasal cannula",2,
Other: ET tube bagging.,2,
Other: nebulizer mask,2,
"Room air, Other: Mechanical Ventilation",2,
"T-Piece, Cool mist aerosol",2,
"Home CPAP/BiPAP Device, Cool mist aerosol",2,
"CPAP/BiPAP Device, O2 standby, equipment at bedside, Cool mist aerosol",2,
"Room air, Other: bvm",2,
Other: oral ETT by anesthesia,2,
Other: Ventalator,2,
"Trach collar, Other: Venti-",2,
"Trach collar with heater, Cool mist aerosol",2,
Other: Mechanical Ventialtor,2,
"Venturi mask, Other: venturi 50%",2,
"Trach collar, Bag mask, Room air",2,
"Other: VENT VT-450, R-12, peep, 60%",2,
Other: nebulizer,2,
"Room air, Other: O2 placed on sat. now 93-94%.",2,
Other: trach/vented,2,
"Room air, Other: ambu bag/man vent",2,
"Room air, Other: conintuous nebulizer @ 3 l per min",2,
