,med_name,is_fluids,fluid_type,med_class,med_subclass,formulary_name,med_action_dose_unit,volume_given,count,rate_per_hour,concentration,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,med_name_generic,,color
455,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation Factor 7a (VIIa) 2000 mcg,Not Recorded,none,231,,,2000.0 mcg,mcg,2000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
456,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation Factor 7a (VIIa) 5000 mcg,Not Recorded,none,42,,,5000.0 mcg,mcg,5000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
457,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation factor 7a (VIIa) 1000 mcg,Not Recorded,none,49,,,1000.0 mcg,mcg,1000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
458,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation factor 7a (VIIa) 2000 mcg,Not Recorded,none,642,,,2000.0 mcg,mcg,2000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
459,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation factor 7a (VIIa) 5000 mcg,Not Recorded,none,14,,,5000.0 mcg,mcg,5000,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
460,coagulation factor VIIa,FALSE,Medication,other,other,Coagulation factor 7a (VIIa) 8000 mcg,Not Recorded,none,8,,,8000.0 mcg,mcg,8000,none,TRUE,FALSE,coagulation factor VIIa,,
552,DOXOrubicin,FALSE,Medication,other,other,DOXOrubicin  LYOPH 50mg for orderset only,Not Recorded,none,2,,,50.0 mg,mg,50,none,TRUE,FALSE,DOXOrubicin LYOPH,,
557,DOXOrubicin liposomal,FALSE,Medication,other,other,DOXOrubicin liposomal 2 mg/mL (Lipodox),Not Recorded,none,11,,,2.0 mg,mg,2,none,TRUE,FALSE,DOXOrubicin liposomal,,
565,DAPTOmycin,FALSE,Medication,anti-infective,lipopeptide,Daptomycin 500mg for IVPB,Not Recorded,none,15274,,50 mg / mL,500.0 mg,mg,500,none,TRUE,FALSE,daptomycin,,
590,dexamethasone,FALSE,Medication,corticosteroids,other,Dexamethasone 10mg/NS IVPB,Not Recorded,none,11,,?,10.0 mg,mg,10,none,TRUE,FALSE,dexamethasone/ns,,
591,dexamethasone,FALSE,Medication,corticosteroids,other,Dexamethasone 12mg/NS IVPB,Not Recorded,none,23,,?,12.0 mg,mg,12,none,TRUE,FALSE,dexamethasone/ns,,
594,dexamethasone,FALSE,Medication,corticosteroids,other,Dexamethasone 20mg/NS IVPB,Not Recorded,none,69,,?,20.0 mg,mg,20,none,TRUE,FALSE,dexamethasone/ns,,
598,dexamethasone,FALSE,Medication,corticosteroids,other,Dexamethasone 8 mg/NS IVPB,Not Recorded,none,14,,?,8.0 mg,mg,8,none,TRUE,FALSE,dexamethasone/ns,,
619,digoxin immune FAB,FALSE,Medication,other,other,Digoxin Immune Fab 40mg (Digifab),Not Recorded,none,49,,9.5 mg / mL,40.0 mg,mg,40,none,TRUE,FALSE,digoxin immune fab,,
621,diltiazem,FALSE,Medication,bp_lowering,other,Diltiazem 100 mg ADD-Vantage,Milligram/Hour,none,31,,,100.0 mg,mg,100,none,TRUE,FALSE,diltiazem,,
629,diphenhydrAMINE,FALSE,Medication,antihistamine,other,DiphenhydrAMINE 25mg/NS IVPB,Not Recorded,none,40,,,25.0 mg,mg,25,none,TRUE,FALSE,diphenhydrAMINE/ns,,
632,diphenhydrAMINE,FALSE,Medication,antihistamine,other,DiphenhydrAMINE 50mg/NS IVPB,Not Recorded,none,202,,,50.0 mg,mg,50,none,TRUE,FALSE,diphenhydrAMINE/ns,,
633,,,,,,Disposable elastomeric pump,Not Recorded,none,1,,,none,,,none,TRUE,FALSE,,,
642,doxycycline,FALSE,Medication,anti-infective,tetracyclines,Doxycycline 100mg IVPB,Not Recorded,none,13361,,100 mg / 100 mL,100.0 mg,mg,100,none,TRUE,FALSE,doxycycline in ns,,
648,calcium gluconate,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,ED-Calcium Gluconate 2gm IVPB for ED use only,Not Recorded,none,49,,,2.0 gm,gm,2,none,TRUE,FALSE,calcium gluconate/ns,,
661,edrophonium,FALSE,Medication,other,other,Edrophonium 10 mg/mL per mL,Not Recorded,none,8,,10 mg / mL,10.0 mg,mg,10,none,TRUE,FALSE,edrophonium,,
713,ethiodized oil,FALSE,Medication,other,other,Ethiodized Oil 480mg/mL,Not Recorded,none,1,,?,480.0 mg,mg,480,none,TRUE,FALSE,ethiodized oil,,
719,coagulation factor VIIa,FALSE,Medication,other,other,Factor 7a (VIIa),Not Recorded,none,952,,?,none,,,none,TRUE,FALSE,coagulation factor 7a (VIIa),,
720,Factor VIII injection,FALSE,Medication,other,other,Factor 8 (VIII) bolus,Not Recorded,none,205,,?,none,,,none,TRUE,FALSE,Factor 8 (VIII) in syringe,,
724,antihemophilic factor,FALSE,Medication,other,other,"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",Not Recorded,none,42,,?,none,,,none,TRUE,FALSE,factor 8 porcine,,
725,antihemophilic factor,FALSE,Medication,other,other,"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",Not Recorded,none,1,,?,none,,,none,TRUE,FALSE,factor 8 porcine,,
726,Factor VIII injection,FALSE,Medication,other,other,"Factor VIII (Antihemophilic Factor, Recomb Porcine) (Obizur)",Not Recorded,none,24,,?,none,,,none,TRUE,FALSE,factor 8 porcine,,
727,coagulation factor VIIa,FALSE,Medication,other,other,Factor7a (VIIa) 2000 mcg (OR CHARGE),Not Recorded,none,3,,?,2000.0 mcg,mcg,2000,none,TRUE,FALSE,coagulation factor VIIa,,
728,famotidine,FALSE,Medication,antihistamine,acid_suppressant,Famotidine 20 mg for Hyperal only,Not Recorded,none,486069,,,20.0 mg,mg,20,none,TRUE,FALSE,famotidine,,
774,fibrinogen,FALSE,Medication,other,other,Fibrinogen concentrate (Human),Not Recorded,none,8,,?,none,,,none,TRUE,FALSE,fibrinogen,,
789,fluorescein ophthalmic,FALSE,Medication,other,other,Fluorescein 1mg ophth strip,Not Recorded,none,2,,,1.0 mg,mg,1,none,TRUE,FALSE,fluorescein,,
901,HYDROmorphone,FALSE,Medication,analgesic,opioids,Hydromorphone 0.4mg/mL+Ketamine 1mg/mL PCA (ortho OR),Not Recorded,none,49,,?,0.4 mg,mg,0.4,none,TRUE,FALSE,hydromorphone  0.4mg+ ketamine 1mg pca,,
931,hydroxocobalamin,FALSE,Medication,other,other,Hydroxocobalamin 5 gm Kit,Not Recorded,none,368,,,5.0 gm,gm,5,none,TRUE,FALSE,hydroxocobalamin,,
933,Hyperalimentation for charging,TRUE,Parenteral Nutrition,other,other,Hyperalimentation for charging,Not Recorded,none,6,,?,none,,,none,TRUE,FALSE,hyperalimentation,,
937,sodium chloride,FALSE,Medication,other,other,Hypertonic NaCl 23.4% 240meq IVPB for Neuro,Not Recorded,none,1506,,?,240.0 mEq,mEq,240,none,TRUE,FALSE,"na chloride 23.4% in Bag, sterile",,
946,ifosfamide,FALSE,Medication,other,other,Ifosfamide 3 gm,Not Recorded,none,196,,0.6 mg / mL,3.0 gm,gm,3,none,TRUE,FALSE,ifosfamide,,
948,immune globulin intravenous,FALSE,Medication,other,other,Immune Glob 6gm (Carimune) sucr.contng.,Not Recorded,none,40,,50 mg / mL,6.0 gm,gm,6,none,TRUE,FALSE,immune globulin human (sucrose contng.),,
949,"lymphocyte immune globulin, anti-thy (equine)",FALSE,Medication,other,other,Immune Glob. Lymphocyte (Atgam),Not Recorded,none,367,,4 mg / mL,none,,,none,TRUE,FALSE,"lymphocyte, immune globulin",,
950,immune globulin intravenous,FALSE,Medication,other,other,Immune Glob.12gm (Carimune) sucrose contng.,Not Recorded,none,282,,50 mg / mL,12.0 gm,gm,12,none,TRUE,FALSE,immune glob. (hum) sucrose contng.,,
969,insulin glargine,FALSE,Medication,insulin,other,Insulin Glargine (Human),Not Recorded,none,5,,,none,,,none,TRUE,FALSE,"insulin, glargine",,
972,insulin isophane (NPH),FALSE,Medication,insulin,other,Insulin NPH (Human),Not Recorded,none,3,,,none,,,none,TRUE,FALSE,"insulin, nph human",,
973,,,,,,Insulin Reg Hum.,Not Recorded,none,62,,,none,,,none,TRUE,FALSE,,,
974,insulin regular,FALSE,Medication,insulin,other,Insulin Reg Hum. (WW),Not Recorded,none,6,,,none,,,none,TRUE,FALSE,insulin reg human,,
975,,,,,,Insulin Reg Hum.-BG-formula,Not Recorded,none,18,,,none,,,none,TRUE,FALSE,,,
977,insulin aspart,FALSE,Medication,insulin,other,Insulin aspart  (NovoLOG),Not Recorded,none,46,,,none,,,none,TRUE,FALSE,insulin aspart,,
978,insulin aspart,FALSE,Medication,insulin,other,Insulin aspart (NovoLOG).,Not Recorded,none,87,,,none,,,none,TRUE,FALSE,insulin aspart,,
979,insulin regular,FALSE,Medication,insulin,other,Insulin regular COMPOUNDING USE,Not Recorded,none,203074,,,none,,,none,TRUE,FALSE,insulin reg human,,
980,insulin regular,FALSE,Medication,insulin,other,Insulin regular COMPOUNDING USE,Not Recorded,none,203074,,,none,,,none,TRUE,FALSE,insulin regular COMPOUNDING,,
981,insulin regular,FALSE,Medication,insulin,other,Insulin regular COMPOUNDING USE,Not Recorded,none,203074,,,none,,,none,TRUE,FALSE,insulin regular CMPD,,
982,insulin regular,FALSE,Medication,insulin,other,Insulin regular COMPOUNDING USE,Not Recorded,none,51140,,,none,,,none,TRUE,FALSE,insulin reg human,,
983,insulin regular,FALSE,Medication,insulin,other,Insulin regular COMPOUNDING USE,Not Recorded,none,51140,,,none,,,none,TRUE,FALSE,insulin regular COMPOUNDING,,
984,insulin regular,FALSE,Medication,insulin,other,Insulin regular COMPOUNDING USE,Not Recorded,none,51140,,,none,,,none,TRUE,FALSE,insulin regular CMPD,,
985,insulin regular,FALSE,Medication,insulin,other,Insulin regular COMPOUNDING USE,Not Recorded,none,1681,,,none,,,none,TRUE,FALSE,insulin reg human,,
986,insulin regular,FALSE,Medication,insulin,other,Insulin regular COMPOUNDING USE,Not Recorded,none,1681,,,none,,,none,TRUE,FALSE,insulin regular COMPOUNDING,,
987,insulin regular,FALSE,Medication,insulin,other,Insulin regular COMPOUNDING USE,Not Recorded,none,1681,,,none,,,none,TRUE,FALSE,insulin regular CMPD,,
988,Insulin/PBO for Shine Study,FALSE,Medication,insulin,other,Insulin/PBO for Shine Study,U/Hr,none,451,,,none,,,none,TRUE,FALSE,insulin/PBO-P# Shine study,,
990,ganciclovir,FALSE,Medication,anti-infective,antiviral,Invest ganciclovir 500 mg for study,Not Recorded,none,1,,2 mg / 2 mL,500.0 mg,mg,500,none,TRUE,FALSE,ganciclovir p#val038,,
1014,potassium chloride,TRUE,Electrolyte Solution (Potassium),fluid_electrolyte,other,KCl 20 mEq packet,Not Recorded,none,23,,20 mEq / 250 mL,20.0 mEq,mEq,20,none,TRUE,FALSE,potassium chloride,,
1038,,,,,,LEVOleucovorin 50 mg,Not Recorded,none,3,,,50.0 mg,mg,50,none,TRUE,FALSE,,,
1160,meropenem,FALSE,Medication,anti-infective,carbapenems,Meropenem 0.04mg/mL for Desensitization,Not Recorded,none,3,,,0.04 mg,mg,0.04,none,TRUE,FALSE,meropenem/ns,,
1162,meropenem,FALSE,Medication,anti-infective,carbapenems,Meropenem 1000mg/NS IVPB,Not Recorded,none,71792,,500 mg / 50 mL,1000.0 mg,mg,1000,none,TRUE,FALSE,meropenem in NS,,
1163,meropenem,FALSE,Medication,anti-infective,carbapenems,Meropenem 10mg/mL for Desensitization,Not Recorded,none,4,,,10.0 mg,mg,10,none,TRUE,FALSE,meropenem/ns,,
1164,meropenem,FALSE,Medication,anti-infective,carbapenems,Meropenem 1mg/mL for Desensitization,Not Recorded,none,1199,,,1.0 mg,mg,1,none,TRUE,FALSE,meropenem/ns,,
1165,meropenem,FALSE,Medication,anti-infective,carbapenems,Meropenem 20mg/mL for Desensitization,Not Recorded,none,9,,,20.0 mg,mg,20,none,TRUE,FALSE,meropenem/ns,,
1166,Meropenem 2gm Desensitization Rx Protocol- initiate,FALSE,Medication,anti-infective,carbapenems,Meropenem 2gm Desensitization Rx Protocol- initiate,Not Recorded,none,29,,,2.0 gm,gm,2,none,TRUE,FALSE,Meropenem 2gm Desensitization Rx Protocol- initiate,,
1185,methotrexate,FALSE,Medication,other,other,Methotrexate Int Dose,Not Recorded,none,4,,?,none,,,none,TRUE,FALSE,methotrexate sodium,,
1270,,,,,,NICU 10% Starter TPN,Not Recorded,none,13,,,none,,,none,TRUE,FALSE,,,
1271,hyperal neonate,TRUE,Parenteral Nutrition,other,other,NICU Starter TPN,Not Recorded,none,78,,,none,,,none,TRUE,FALSE,NICU Starter TPN,,
1309,Sodium Chloride 0.9% intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other,NS PCA,Not Recorded,none,59082,,?,none,,,none,TRUE,FALSE,nacl 0.9%,,
1324,nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 0.01mg/mL for Desensitization,Not Recorded,none,7,,,0.01 mg,mg,0.01,none,TRUE,FALSE,nafcillin/ns for desensitization,,
1325,nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 0.1mg/mL for Desensitization,Not Recorded,none,7,,,0.1 mg,mg,0.1,none,TRUE,FALSE,nafcillin/ns for desensitization,,
1327,nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 10mg/mL for Desensitization,Not Recorded,none,8,,,10.0 mg,mg,10,none,TRUE,FALSE,nafcillin/ns for desensitization,,
1332,Nafcillin 2gm Desensitization Rx Protocol- initiate,FALSE,Medication,anti-infective,penicillins,Nafcillin 2gm Desensitization Rx Protocol- initiate,Not Recorded,none,1,,,2.0 gm,gm,2,none,TRUE,FALSE,Nafcillin 2gm Desensitization Rx Protocol- initiate,,
1336,nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 50mg/mL for Desensitization,Not Recorded,none,8,,,50.0 mg,mg,50,none,TRUE,FALSE,nafcillin/ns for desensitization,,
1342,hyperal neonate,TRUE,Parenteral Nutrition,other,other,Neonatal TPN,Not Recorded,none,1633,,,none,,,none,TRUE,FALSE,Neonatal TPN,,
1343,hyperal neonate,TRUE,Parenteral Nutrition,other,other,Neonate Hyperalimentation,Not Recorded,none,938,,,none,,,none,TRUE,FALSE,Hyperalimentation neonate,,
1354,nitroglycerin,FALSE,Medication,bp_lowering,other,Nitroglycerin 100mcg/mL for Cath Lab,Not Recorded,none,1348,,50 mg / 250 mL,100.0 mcg,mcg,100,none,TRUE,FALSE,nitroglycerin,,
1628,ondansetron,FALSE,Medication,antiemetic,other,Ondansetron 8mg/NS IVPB,Not Recorded,none,29,,80 mg / 100 mL,8.0 mg,mg,8,none,TRUE,FALSE,ondansetron/ns,,
1667,alteplase,FALSE,Medication,other,other,PRMX Alteplase 25 mg ADD for LVAD,Milligram/Hour,none,1051,,5 mg / 500 mL,25.0 mg,mg,25,none,TRUE,FALSE,alteplase,,
1675,DOBUTamine,FALSE,Medication,pressor,inotrope,PRMX DOBUTamine 500 mg Drip Std*,Microgram/Kilogram/Minute,none,655741,,500 mg / 250 mL,500.0 mg,mg,500,none,TRUE,FALSE,DOBUTamine/d5w,,
