Unnamed: 0,med_name,med_class,super_table_col_name
576,granisetron,antiemetic,other
580,ethacrynic acid,other,other
581,copper chloride,other,other
587,telavancin,anti-infective,glycopeptide
592,amikacin,anti-infective,aminoglycosides
598,hyperal neonate,other,other
608,procainamide,antiarrhythmics,other
610,PACLitaxel,other,other
614,antihemophilic factor,other,other
615,indocyanine green,other,other
621,zoledronic acid,other,other
622,voriconazole,anti-infective,antifungals
623,pentamidine,anti-infective,antiparasitic
624,verapamil,bp_lowering,other
633,indigo carmine,other,other
634,coagulation factor IX,other,other
647,gabapentin,neurologic,anticonvulsant
649,ascorbic acid,vitamin_supplement,other
650,iron dextran,fluid_electrolyte,other
651,prothrombin complex conc human,other,other
656,PENTobarbital,other,other
674,arsenic trioxide,other,other
681,cyanocobalamin,vitamin_supplement,other
689,azaCITIDine,other,other
691,bevacizumab,other,other
692,fluorouracil,other,other
704,terbutaline,other,other
706,DOXOrubicin liposomal,other,other
708,prasugrel,other,other
717,chlorproMAZINE,other,other
721,oxacillin,anti-infective,penicillins
726,alemtuzumab,other,other
728,sodium acetate,other,other
730,vinorelbine,other,other
731,moxifloxacin,anti-infective,fluoroquinolones
737,antihemophilic factor-von Willebrand factor inj,other,other
741,albuterol,other,other
742,cytomegalovirus immune globulin,other,other
744,oxaliplatin,other,other
746,oxymetazoline nasal,other,other
748,irinotecan,other,other
750,clevidipine,bp_lowering,other
751,aprepitant,other,other
762,caffeine,other,other
765,Standard PAL Line IV fluid,other,other
773,cefotaxime,other,other
775,allopurinol,other,other
779,antithrombin III,other,other
782,minocycline,anti-infective,tetracyclines
789,abciximab,other,other
792,DOCEtaxel,other,other
802,mitoXANTRONE,other,other
804,Dextrose 70% in Water intravenous solution,fluid_electrolyte,other
810,calcitriol,other,other
814,propranolol,bp_lowering,other
816,bupivacaine-epinephrine,other,other
817,raNITIdine,gastrointestinal,acid_suppressant
818,Dextrose 5% in Lactated Ringers with KCl 20 mEq/l intravenous solution,fluid_electrolyte,other
819,"Bag, PCA  Infusion",other,other
821,phenytoin,neurologic,anticonvulsant
826,vedolizumab,other,other
835,bupivacaine,other,other
836,heparin flush,anticoagulant,other
840,fomepizole,other,other
841,phenylephrine nasal,vasopressor,phenylephrine
842,dalfopristin-quinupristin,other,other
845,penicillin G sodium,anti-infective,penicillins
846,Dextrose 10% with 0.2% NaCl intravenous solution,fluid_electrolyte,other
848,palonosetron,antiemetic,other
849,PEMEtrexed,other,other
850,gemcitabine,other,other
864,Standard UAC Line IV fluid,other,other
869,"Premix Water, Sterile",other,other
875,prothrombin complex concentrate,other,other
876,blinatumomab,other,other
877,IV Stabilizer Solution inj,other,other
880,hydroxocobalamin,other,other
896,aminophylline,other,other
899,"lymphocyte immune globulin, anti-thy (equine)",other,other
908,dofetilide,other,other
909,treprostinil,other,other
913,sildenafil,other,other
918,dantrolene,other,other
922,hepatitis B immune globulin,other,other
930,amphotericin B,anti-infective,antifungals
932,vinBLAStine,other,other
944,DAUNOrubicin,other,other
945,dacarbazine,other,other
956,benztropine,other,other
964,streptomycin,anti-infective,aminoglycosides
965,methohexital,other,other
967,citric acid-sodium citrate,other,other
968,bortezomib,other,other
971,pyridostigmine,other,other
973,Insulin/PBO for Shine Study,endocrine,diabetes
975,tetanus-diphth toxoids (Td) adult/adol,other,other
977,perflutren,other,other
983,papaverine,other,other
986,sodium benzoate-sodium phenylacetate,other,other
992,streptozocin,other,other
997,aspirin,analgesic,nsaid
999,ticagrelor,other,other
1000,pregabalin,neurologic,anticonvulsant
1003,trimethobenzamide,other,other
1004,insulin glargine,endocrine,diabetes
1008,bleomycin,other,other
1009,Vancomycin Trough Reminder,anti-infective,glycopeptide
1010,quinidine,antiarrhythmics,other
1012,cidofovir,anti-infective,antiviral
1015,RHo (D) immune globulin,other,other
1018,digoxin immune FAB,other,other
1019,selenium,other,other
1025,ziprasidone,other,other
1037,traMADol,analgesic,opioids
1045,Standard UVC Line IV fluid,other,other
1052,Al hydroxide/ASA/Ca carbonate/Mg hydroxide,other,other
1054,methylergonovine,other,other
1057,lidocaine topical,antiarrhythmics,other
1058,celecoxib,analgesic,nsaid
1060,Flolan Cassette,other,other
1065,cladribine,other,other
1077,cocaine topical,other,other
1080,ticarcillin-clavulanate,anti-infective,penicillins
1082,benzocaine topical,other,other
1084,PACLitaxel protein-bound,other,other
1088,isosulfan blue,other,other
1089,mepivacaine,other,other
1096,insulin isophane (NPH),endocrine,diabetes
1105,hydromor/ketamine bolus from current pca,sedative,anesthetic
1115,bupivacaine liposome,other,other
1116,pertuzumab,other,other
1117,trastuzumab,other,other
1121,fibrinogen,other,other
1122,conivaptan,other,other
1126,pegaspargase,other,other
1138,ramucirumab,other,other
1142,morphine bolus from current pca,analgesic,opioids
1146,epinephrine-lidocaine,antiarrhythmics,other
1163,eribulin,other,other
1166,pentostatin,other,other
1176,panitumumab,other,other
1183,calcium glubionate,fluid_electrolyte,other
1188,ALPRAZolam,sedative,benzodiazepine
1190,bendamustine,other,other
1200,sirolimus,other,other
1218,deferoxamine,other,other
1224,dicyclomine,other,other
1240,cetuximab,other,other
1241,Al hydroxide/Mg hydroxide/simethicone,other,other
1247,zinc sulfate,other,other
1249,fentanyl bolus from current pca,analgesic,opioids
1261,calcium carbonate,fluid_electrolyte,other
1262,edrophonium,other,other
1263,caffeine-sodium benzoate,other,other
1266,Hexaminolevulinate 100mg kit inj,other,other
1271,alprostadil,other,other
1658,cloNIDine,other,other
1680,sugammadex,reversal_agent,other
1828,ethanol,other,other
1829,trabectedin,other,other
1873,"dextran, high molecular weight",fluid_electrolyte,other
1909,clofarabine,other,other
2030,tbo-filgrastim,other,other
2034,"dextran, low molecular weight",fluid_electrolyte,other
2079,palifermin,other,other
2116,thiotepa,other,other
2123,peramivir,other,other
2131,buprenorphine,analgesic,opioids
2133,indomethacin,analgesic,nsaid
2163,idaruCIZUmab,other,other
2168,polymyxin B sulfate,other,other
2169,bacitracin,other,other
2202,sargramostim,other,other
2212,phenol topical,other,other
2237,ANES Bupivicaine 0.15%/NS 250 mL Epidural,other,other
2247,antivenin (Crotalidae) polyvalent,other,other
2257,Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe,other,other
2266,iohexol,other,other
2267,Neonate Starter Hyperal,other,other
2277,Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe,other,other
2286,insulin pump patient - regular,endocrine,diabetes
2299,clopidogrel,other,other
2317,OLANZapine,other,other
2330,azaTHIOprine,other,other
2335,dexrazoxane,other,other
2337,filgrastim,other,other
2340,sodium tetradecyl sulfate,other,other
2365,ado-trastuzumab emtansine,other,other
2382,ropivacaine,other,other
2391,iodixanol,other,other
2407,amifostine,other,other
2411,Amino Acid 3% UAC Line Fluid,other,other
2437,"influenza virus vaccine, inactivated",other,other
2439,eculizumab,other,other
2448,loratadine,antihistamine,other
2453,"bag, sterile",other,other
2461,nelarabine,other,other
2466,thrombin topical,other,other
2469,topotecan,other,other
2474,magnesium citrate,other,other
2478,copper sulfate,other,other
2534,hydrOXYzine,antihistamine,other
2554,Anticoagulant Citrate Soln,other,other
2557,calcitonin,other,other
2558,topiramate,neurologic,anticonvulsant
2566,"C1 esterase inhibitor, human",other,other
2580,NS Continuous Bladder Irrigation 3000mL,other,other
2584,secretin,other,other
2594,sodium citrate,other,other
2596,carboprost,other,other
2602,SUMAtriptan,other,other
3295,insulin lispro,endocrine,diabetes
3344,Amino Acids 15% (Clinisol Sulfite-Free),other,other
3359,parenteral nutrition solution,other,other
3372,abatacept,other,other
3384,divalproex sodium,other,other
3408,hemin,other,other
3445,fentanyl-ropivacaine,analgesic,opioids
3479,intravenous electrolyte solution,other,other
3502,dalbavancin,anti-infective,glycopeptide
3529,cytarabine liposomal-daunorubicin liposomal,other,other
3536,corticorelin,other,other
3553,protein C,other,other
3559,glucose,other,other
3587,"bottle, sterile",other,other
3681,pneumococcal 23-polyvalent vaccine,other,other
3698,prismasate dialysate,other,other
3757,chloramphenicol,other,other
3764,Methylnaltrexone 12mg inj.,other,other
3778,Vancomycin Intermittent Dosing by Pharmacist,anti-infective,glycopeptide
3779,Nafcillin 2gm Desensitization Rx Protocol- initiate,anti-infective,penicillins
3781,levalbuterol,other,other
3815,procaine penicillin,anti-infective,penicillins
3816,alfentanil,analgesic,opioids
3827,hyaluronidase,other,other
3861,methyldopa,other,other
3888,PCA IV Syringe,other,other
3892,penicillin G benzathine,anti-infective,penicillins
3922,insulin detemir,endocrine,diabetes
3941,Epoprostenol CADD Conc-Dose-Rate Confirm,other,other
4318,Angiotensin II,other,other
4386,PCA Reservoir & Syringe Volume Confirm,other,other
4644,sodium thiosulfate,other,other
4723,trace elements with selenium,other,other
4828,meropenem-vaborbactam,anti-infective,carbapenems
4838,mitoMYcin,other,other
4881,Meropenem 2gm Desensitization Rx Protocol- initiate,anti-infective,carbapenems
4898,Prismasate BK4/0 w/o Calcium,fluid_electrolyte,other
4964,gemtuzumab ozogamicin,other,other
4988,epoprostenol diluent,other,other
5021,tocilizumab,other,other
5051,liothyronine,other,other
5130,predniSONE,endocrine,corticosteroids
5177,Fentanyl Patch Removal,analgesic,opioids
5187,ustekinumab,other,other
5213,Dianeal PD-2 with 1.5% Dextrose,other,other
5217,insulin pump patient - lispro,endocrine,diabetes
5234,carbidopa-levodopa,other,other
5776,Amino Acid Injection 50gm/1000ml,other,other
5939,eravacycline,other,other
5949,imdevimab,other,other
6062,Dianeal Low Calcium with 1.5% Dextrose,fluid_electrolyte,other
6077,defibrotide,other,other
6136,ravulizumab-cwvz 300 mg/30mL inj,other,other
6204,coagulation factor Xa,other,other
6231,Hyperalimentation for charging,other,other
6234,Tagraxofusp-erzs 1000 mcg / 10 mL inj,other,other
6258,Epidural Infusion,other,other
6309,Cefepime 2gm Desensitization Rx Protocol- initiate,anti-infective,cephalosporins
6375,sincalide,other,other
6431,casirivimab,other,other
6453,inotuzumab ozogamicin,other,other
6499,Dextrose 30% in Water,other,other
6522,Potassium Level Recheck Reminder,other,other
6544,estradiol,other,other
6561,triamcinolone,endocrine,corticosteroids
6808,PrismaSol B22GK4/0 w/o Calcium,fluid_electrolyte,other
6877,remdesivir.,anti-infective,antiviral
6883,remdesivir,anti-infective,antiviral
7101,sodium ferric gluconate complex,other,other
7104,regadenoson,other,other
7210,phenylephrine ophthalmic,vasopressor,phenylephrine
7250,droperidol,antiemetic,other
7316,chromic chloride hexahydrate,other,other
7446,omadacycline,other,other
7455,DACTINomycin,other,other
7464,tetracaine,other,other
7500,siltuximab,other,other
7551,nivolumab,other,other
7565,carvedilol,other,other
7590,obinutuzumab,other,other
7663,midodrine,other,other
7709,miSOPROStol,other,other
7724,chloroprocaine,other,other
7736,daratumumab,other,other
7761,insulin isophane-insulin regular,endocrine,diabetes
7765,pembrolizumab,other,other
7787,atropine-diphenoxylate,reversal_agent,other
7814,docusate,other,other
7822,ocular lubricant,other,other
7831,brentuximab vedotin,other,other
8084,cangrelor,other,other
8289,casirivimab-imdevimab,other,other
8333,cefiderocol,anti-infective,cephalosporins
8432,glucarpidase,other,other
8581,D12.5W 0.2%NS,other,other
8637,Lorazepam IV Therapy,sedative,benzodiazepine
8673,amobarbital,other,other
8675,D20W,other,other
8689,D12.5W 0.45%NS,other,other
8713,D25W 250mL,other,other
8769,"diphtheria/pertussis, acel/tetanus adult (Tdap)",other,other
8804,carfilzomib,other,other
8818,betamethasone,other,other
8844,von Willebrand factor,other,other
8876,D20W 0.2%NS,other,other
8948,immune globulin intravenous and subcutaneous,other,other
8958,D10W 0.45%NS,other,other
8975,patisiran,other,other
9000,D15%W 250 ml,other,other
9050,D12.5%W,other,other
9076,Description Missing,other,other
9082,tamsulosin,other,other
