,med_name
6883,remdesivir
7101,sodium ferric gluconate complex
7104,regadenoson
7210,phenylephrine ophthalmic
7250,droperidol
7316,chromic chloride hexahydrate
7446,omadacycline
7455,DACTINomycin
7464,tetracaine
7500,siltuximab
7551,nivolumab
7565,carvedilol
7590,obinutuzumab
7663,midodrine
7709,miSOPROStol
7724,chloroprocaine
7736,daratumumab
7761,insulin isophane-insulin regular
7765,pembrolizumab
7787,atropine-diphenoxylate
7814,docusate
7822,ocular lubricant
7831,brentuximab vedotin
8084,cangrelor
8289,casirivimab-imdevimab
8333,cefiderocol
8432,glucarpidase
8581,D12.5W 0.2%NS
8637,Lorazepam IV Therapy
8673,amobarbital
8675,D20W
8689,D12.5W 0.45%NS
8713,D25W 250mL
8769,"diphtheria/pertussis, acel/tetanus adult (Tdap)"
8804,carfilzomib
8818,betamethasone
8844,von Willebrand factor
8876,D20W 0.2%NS
8948,immune globulin intravenous and subcutaneous
8958,D10W 0.45%NS
8975,patisiran
9000,D15%W 250 ml
9050,D12.5%W
9076,Description Missing
9082,tamsulosin
