Unnamed: 0,med_name,is_fluids,fluid_type,med_class,med_subclass
206,fludarabine,FALSE,Medication,other,other
305,flumazenil,FALSE,Medication,benzodiazepine antagonist,other
484,fluorescein ophthalmic,FALSE,Medication,other,other
692,fluorouracil,FALSE,Medication,other,other
194,folic acid,FALSE,Medication,vitamin_supplement,other
840,fomepizole,FALSE,Medication,other,other
470,fosaprepitant,FALSE,Medication,other,other
491,foscarnet,FALSE,Medication,anti-infective,antiviral
287,fosphenytoin,FALSE,Medication,anticonvulsant,other
38,furosemide,FALSE,Medication,diuretic,other
647,gabapentin,FALSE,Medication,gabapentinoid,other
238,ganciclovir,FALSE,Medication,anti-infective,antiviral
850,gemcitabine,FALSE,Medication,other,other
4964,gemtuzumab ozogamicin,FALSE,Medication,other,other
5,gentamicin,FALSE,Medication,anti-infective,aminoglycosides
518,glucagon,FALSE,Medication,hypoglycemia,other
8432,glucarpidase,FALSE,Medication,other,other
3559,glucose,FALSE,Medication,other,other
115,glycopyrrolate,FALSE,Medication,reversal_agent,other
576,granisetron,FALSE,Medication,antiemetic,other
249,haloperidol,FALSE,Medication,other,other
3408,hemin,FALSE,Medication,other,other
47,heparin,FALSE,Medication,anticoagulant,other
836,heparin flush,FALSE,Medication,flush,other
922,hepatitis B immune globulin,FALSE,Medication,other,other
505,hetastarch,TRUE,Synthetic Colloid,fluid_electrolyte,other
1266,Hexaminolevulinate 100mg kit inj,FALSE,Medication,other,other
3827,hyaluronidase,FALSE,Medication,other,other
37,hydrALAZINE,FALSE,Medication,bp_lowering,other
65,hydrocortisone,FALSE,Medication,corticosteroids,other
1105,hydromor/ketamine bolus from current pca,FALSE,Medication,analgesic,other
39,HYDROmorphone,FALSE,Medication,analgesic,opioids
278,hydromorphone bolus from current pca,FALSE,Medication,analgesic,opioids
880,hydroxocobalamin,FALSE,Medication,other,other
2534,hydrOXYzine,FALSE,Medication,antihistamine,other
598,hyperal neonate,TRUE,Parenteral Nutrition,other,other
239,hyperal peripheral,TRUE,Parenteral Nutrition,other,other
6231,Hyperalimentation for charging,TRUE,Parenteral Nutrition,other,other
256,"hyperalimentation, adult",TRUE,Parenteral Nutrition,other,other
538,ibutilide,FALSE,Medication,antiarrhythmics,other
568,IDArubicin,FALSE,Medication,other,other
2163,idaruCIZUmab,FALSE,Medication,other,other
535,ifosfamide,FALSE,Medication,other,other
5949,imdevimab,FALSE,Medication,other,other
405,imipenem-cilastatin,FALSE,Medication,anti-infective,carbapenems
481,immune globulin intravenous,FALSE,Medication,other,other
8948,immune globulin intravenous and subcutaneous,FALSE,Medication,other,other
633,indigo carmine,FALSE,Medication,other,other
615,indocyanine green,FALSE,Medication,other,other
2133,indomethacin,FALSE,Medication,analgesic,nsaid
418,inFLIXimab,FALSE,Medication,other,other
2437,"influenza virus vaccine, inactivated",FALSE,Medication,other,other
6453,inotuzumab ozogamicin,FALSE,Medication,other,other
431,insulin aspart,FALSE,Medication,insulin,other
3922,insulin detemir,FALSE,Medication,insulin,other
1004,insulin glargine,FALSE,Medication,insulin,other
1096,insulin isophane (NPH),FALSE,Medication,insulin,other
7761,insulin isophane-insulin regular,FALSE,Medication,insulin,other
3295,insulin lispro,FALSE,Medication,insulin,other
5217,insulin pump patient - lispro,FALSE,Medication,insulin,other
2286,insulin pump patient - regular,FALSE,Medication,insulin,other
30,insulin regular,FALSE,Medication,insulin,other
973,Insulin/PBO for Shine Study,FALSE,Medication,insulin,other
3479,intravenous electrolyte solution,TRUE,Electrolyte Solution,other,other
2391,iodixanol,FALSE,Medication,other,other
2266,iohexol,FALSE,Medication,other,other
748,irinotecan,FALSE,Medication,other,other
650,iron dextran,FALSE,Medication,nutritional_supplement,mineral
345,iron sucrose,FALSE,Medication,other,other
