"quan_deyo","ICD10"
"Stroke","I63441"
"Stroke","I63442"
"Stroke","I63443"
"Stroke","I63449"
"Stroke","I6349"
"Stroke","I635"
"Stroke","I6350"
"Stroke","I6351"
"Stroke","I63511"
"Stroke","I63512"
"Stroke","I63513"
"Stroke","I63519"
"Stroke","I6352"
"Stroke","I63521"
"Stroke","I63522"
"Stroke","I63523"
"Stroke","I63529"
"Stroke","I6353"
"Stroke","I63531"
"Stroke","I63532"
"Stroke","I63533"
"Stroke","I63539"
"Stroke","I6354"
"Stroke","I63541"
"Stroke","I63542"
"Stroke","I63543"
"Stroke","I63549"
"Stroke","I6359"
"Stroke","I636"
"Stroke","I638"
"Stroke","I6381"
"Stroke","I6389"
"Stroke","I639"
"Stroke","I64"
"Stroke","I65"
"Stroke","I650"
"Stroke","I6501"
"Stroke","I6502"
"Stroke","I6503"
"Stroke","I6509"
"Stroke","I651"
"Stroke","I652"
"Stroke","I6521"
"Stroke","I6522"
"Stroke","I6523"
"Stroke","I6529"
"Stroke","I658"
"Stroke","I659"
"Stroke","I66"
"Stroke","I660"
"Stroke","I6601"
"Stroke","I6602"
"Stroke","I6603"
"Stroke","I6609"
"Stroke","I661"
"Stroke","I6611"
"Stroke","I6612"
"Stroke","I6613"
"Stroke","I6619"
"Stroke","I662"
"Stroke","I6621"
"Stroke","I6622"
"Stroke","I6623"
"Stroke","I6629"
"Stroke","I663"
"Stroke","I668"
"Stroke","I669"
"Stroke","I67"
"Stroke","I670"
"Stroke","I671"
"Stroke","I672"
"Stroke","I673"
"Stroke","I674"
"Stroke","I675"
"Stroke","I676"
"Stroke","I677"
"Stroke","I678"
"Stroke","I6781"
"Stroke","I6782"
"Stroke","I6783"
"Stroke","I6784"
"Stroke","I67841"
"Stroke","I67848"
"Stroke","I6785"
"Stroke","I67850"
"Stroke","I67858"
"Stroke","I6789"
"Stroke","I679"
"Stroke","I68"
"Stroke","I680"
"Stroke","I682"
"Stroke","I688"
"Stroke","I69"
"Stroke","I690"
"Stroke","I6900"
"Stroke","I6901"
"Stroke","I69010"
"Stroke","I69011"
"Stroke","I69012"
"Stroke","I69013"
"Stroke","I69014"
"Stroke","I69015"
"Stroke","I69018"
"Stroke","I69019"
"Stroke","I6902"
"Stroke","I69020"
"Stroke","I69021"
"Stroke","I69022"
"Stroke","I69023"
"Stroke","I69028"
"Stroke","I6903"
"Stroke","I69031"
"Stroke","I69032"
"Stroke","I69033"
"Stroke","I69034"
"Stroke","I69039"
"Stroke","I6904"
"Stroke","I69041"
"Stroke","I69042"
"Stroke","I69043"
"Stroke","I69044"
"Stroke","I69049"
"Stroke","I6905"
"Stroke","I69051"
"Stroke","I69052"
"Stroke","I69053"
"Stroke","I69054"
"Stroke","I69059"
"Stroke","I6906"
"Stroke","I69061"
"Stroke","I69062"
"Stroke","I69063"
"Stroke","I69064"
"Stroke","I69065"
"Stroke","I69069"
"Stroke","I6909"
"Stroke","I69090"
"Stroke","I69091"
"Stroke","I69092"
"Stroke","I69093"
"Stroke","I69098"
"Stroke","I691"
"Stroke","I6910"
"Stroke","I6911"
"Stroke","I69110"
"Stroke","I69111"
"Stroke","I69112"
"Stroke","I69113"
"Stroke","I69114"
"Stroke","I69115"
"Stroke","I69118"
"Stroke","I69119"
"Stroke","I6912"
"Stroke","I69120"
"Stroke","I69121"
"Stroke","I69122"
"Stroke","I69123"
"Stroke","I69128"
"Stroke","I6913"
"Stroke","I69131"
"Stroke","I69132"
"Stroke","I69133"
"Stroke","I69134"
"Stroke","I69139"
"Stroke","I6914"
"Stroke","I69141"
"Stroke","I69142"
"Stroke","I69143"
"Stroke","I69144"
"Stroke","I69149"
"Stroke","I6915"
"Stroke","I69151"
"Stroke","I69152"
"Stroke","I69153"
"Stroke","I69154"
"Stroke","I69159"
"Stroke","I6916"
"Stroke","I69161"
"Stroke","I69162"
"Stroke","I69163"
"Stroke","I69164"
"Stroke","I69165"
"Stroke","I69169"
"Stroke","I6919"
"Stroke","I69190"
"Stroke","I69191"
"Stroke","I69192"
"Stroke","I69193"
"Stroke","I69198"
"Stroke","I692"
"Stroke","I6920"
"Stroke","I6921"
"Stroke","I69210"
"Stroke","I69211"
"Stroke","I69212"
"Stroke","I69213"
"Stroke","I69214"
"Stroke","I69215"
"Stroke","I69218"
"Stroke","I69219"
"Stroke","I6922"
"Stroke","I69220"
"Stroke","I69221"
"Stroke","I69222"
"Stroke","I69223"
"Stroke","I69228"
"Stroke","I6923"
"Stroke","I69231"
"Stroke","I69232"
"Stroke","I69233"
"Stroke","I69234"
"Stroke","I69239"
"Stroke","I6924"
"Stroke","I69241"
"Stroke","I69242"
"Stroke","I69243"
"Stroke","I69244"
"Stroke","I69249"
"Stroke","I6925"
"Stroke","I69251"
"Stroke","I69252"
"Stroke","I69253"
"Stroke","I69254"
"Stroke","I69259"
"Stroke","I6926"
"Stroke","I69261"
"Stroke","I69262"
"Stroke","I69263"
"Stroke","I69264"
"Stroke","I69265"
"Stroke","I69269"
"Stroke","I6929"
"Stroke","I69290"
"Stroke","I69291"
"Stroke","I69292"
"Stroke","I69293"
"Stroke","I69298"
"Stroke","I693"
"Stroke","I6930"
"Stroke","I6931"
"Stroke","I69310"
"Stroke","I69311"
"Stroke","I69312"
"Stroke","I69313"
"Stroke","I69314"
"Stroke","I69315"
"Stroke","I69318"
"Stroke","I69319"
"Stroke","I6932"
"Stroke","I69320"
"Stroke","I69321"
"Stroke","I69322"
"Stroke","I69323"
"Stroke","I69328"
"Stroke","I6933"
"Stroke","I69331"
"Stroke","I69332"
"Stroke","I69333"
"Stroke","I69334"
"Stroke","I69339"
"Stroke","I6934"
"Stroke","I69341"
"Stroke","I69342"
"Stroke","I69343"
"Stroke","I69344"
"Stroke","I69349"
"Stroke","I6935"
"Stroke","I69351"
"Stroke","I69352"
"Stroke","I69353"
"Stroke","I69354"
"Stroke","I69359"
"Stroke","I6936"
"Stroke","I69361"
"Stroke","I69362"
"Stroke","I69363"
"Stroke","I69364"
"Stroke","I69365"
"Stroke","I69369"
"Stroke","I6939"
"Stroke","I69390"
"Stroke","I69391"
"Stroke","I69392"
"Stroke","I69393"
"Stroke","I69398"
"Stroke","I698"
"Stroke","I6980"
"Stroke","I6981"
"Stroke","I69810"
"Stroke","I69811"
"Stroke","I69812"
"Stroke","I69813"
"Stroke","I69814"
"Stroke","I69815"
"Stroke","I69818"
"Stroke","I69819"
"Stroke","I6982"
"Stroke","I69820"
"Stroke","I69821"
"Stroke","I69822"
"Stroke","I69823"
"Stroke","I69828"
"Stroke","I6983"
"Stroke","I69831"
"Stroke","I69832"
"Stroke","I69833"
"Stroke","I69834"
"Stroke","I69839"
"Stroke","I6984"
"Stroke","I69841"
"Stroke","I69842"
"Stroke","I69843"
"Stroke","I69844"
"Stroke","I69849"
"Stroke","I6985"
"Stroke","I69851"
"Stroke","I69852"
"Stroke","I69853"
"Stroke","I69854"
"Stroke","I69859"
"Stroke","I6986"
"Stroke","I69861"
"Stroke","I69862"
"Stroke","I69863"
"Stroke","I69864"
"Stroke","I69865"
"Stroke","I69869"
"Stroke","I6989"
"Stroke","I69890"
"Stroke","I69891"
"Stroke","I69892"
"Stroke","I69893"
"Stroke","I69898"
"Stroke","I699"
"Stroke","I6990"
"Stroke","I6991"
"Stroke","I69910"
"Stroke","I69911"
"Stroke","I69912"
"Stroke","I69913"
"Stroke","I69914"
"Stroke","I69915"
"Stroke","I69918"
"Stroke","I69919"
"Stroke","I6992"
"Stroke","I69920"
"Stroke","I69921"
"Stroke","I69922"
"Stroke","I69923"
"Stroke","I69928"
"Stroke","I6993"
"Stroke","I69931"
"Stroke","I69932"
"Stroke","I69933"
"Stroke","I69934"
"Stroke","I69939"
"Stroke","I6994"
"Stroke","I69941"
"Stroke","I69942"
"Stroke","I69943"
"Stroke","I69944"
"Stroke","I69949"
"Stroke","I6995"
"Stroke","I69951"
"Stroke","I69952"
"Stroke","I69953"
"Stroke","I69954"
"Stroke","I69959"
"Stroke","I6996"
"Stroke","I69961"
"Stroke","I69962"
"Stroke","I69963"
"Stroke","I69964"
"Stroke","I69965"
"Stroke","I69969"
"Stroke","I6999"
"Stroke","I69990"
"Stroke","I69991"
"Stroke","I69992"
"Stroke","I69993"
"Stroke","I69998"
"Dementia","F00"
"Dementia","F01"
"Dementia","F015"
"Dementia","F0150"
"Dementia","F0151"
"Dementia","F02"
"Dementia","F028"
"Dementia","F0280"
"Dementia","F0281"
"Dementia","F03"
"Dementia","F039"
"Dementia","F0390"
"Dementia","F0391"
"Dementia","F051"
"Dementia","G30"
"Dementia","G300"
"Dementia","G301"
"Dementia","G308"
"Dementia","G309"
"Dementia","G311"
"Pulmonary","I278"
"Pulmonary","I2781"
"Pulmonary","I2782"
"Pulmonary","I2783"
"Pulmonary","I2789"
"Pulmonary","I279"
"Pulmonary","J40"
"Pulmonary","J41"
"Pulmonary","J410"
"Pulmonary","J411"
"Pulmonary","J418"
"Pulmonary","J42"
"Pulmonary","J43"
"Pulmonary","J430"
"Pulmonary","J431"
"Pulmonary","J432"
"Pulmonary","J438"
"Pulmonary","J439"
"Pulmonary","J44"
"Pulmonary","J440"
"Pulmonary","J441"
"Pulmonary","J449"
"Pulmonary","J45"
"Pulmonary","J452"
"Pulmonary","J4520"
"Pulmonary","J4521"
"Pulmonary","J4522"
"Pulmonary","J453"
"Pulmonary","J4530"
"Pulmonary","J4531"
"Pulmonary","J4532"
"Pulmonary","J454"
"Pulmonary","J4540"
"Pulmonary","J4541"
"Pulmonary","J4542"
"Pulmonary","J455"
"Pulmonary","J4550"
"Pulmonary","J4551"
"Pulmonary","J4552"
"Pulmonary","J459"
"Pulmonary","J4590"
"Pulmonary","J45901"
"Pulmonary","J45902"
"Pulmonary","J45909"
"Pulmonary","J4599"
"Pulmonary","J45990"
"Pulmonary","J45991"
"Pulmonary","J45998"
"Pulmonary","J46"
"Pulmonary","J47"
"Pulmonary","J470"
"Pulmonary","J471"
"Pulmonary","J479"
"Pulmonary","J60"
"Pulmonary","J61"
"Pulmonary","J62"
"Pulmonary","J620"
"Pulmonary","J628"
"Pulmonary","J63"
"Pulmonary","J630"
"Pulmonary","J631"
"Pulmonary","J632"
"Pulmonary","J633"
"Pulmonary","J634"
"Pulmonary","J635"
"Pulmonary","J636"
"Pulmonary","J64"
"Pulmonary","J65"
"Pulmonary","J66"
"Pulmonary","J660"
"Pulmonary","J661"
"Pulmonary","J662"
"Pulmonary","J668"
"Pulmonary","J67"
"Pulmonary","J670"
"Pulmonary","J671"
"Pulmonary","J672"
"Pulmonary","J673"
"Pulmonary","J674"
"Pulmonary","J675"
"Pulmonary","J676"
"Pulmonary","J677"
"Pulmonary","J678"
"Pulmonary","J679"
"Pulmonary","J684"
"Pulmonary","J701"
"Pulmonary","J703"
"Rheumatic","M05"
"Rheumatic","M050"
"Rheumatic","M0500"
"Rheumatic","M0501"
"Rheumatic","M05011"
"Rheumatic","M05012"
"Rheumatic","M05019"
"Rheumatic","M0502"
"Rheumatic","M05021"
"Rheumatic","M05022"
"Rheumatic","M05029"
"Rheumatic","M0503"
"Rheumatic","M05031"
"Rheumatic","M05032"
"Rheumatic","M05039"
"Rheumatic","M0504"
"Rheumatic","M05041"
"Rheumatic","M05042"
"Rheumatic","M05049"
"Rheumatic","M0505"
"Rheumatic","M05051"
"Rheumatic","M05052"
"Rheumatic","M05059"
"Rheumatic","M0506"
"Rheumatic","M05061"
"Rheumatic","M05062"
"Rheumatic","M05069"
"Rheumatic","M0507"
"Rheumatic","M05071"
"Rheumatic","M05072"
"Rheumatic","M05079"
"Rheumatic","M0509"
"Rheumatic","M051"
"Rheumatic","M0510"
"Rheumatic","M0511"
"Rheumatic","M05111"
"Rheumatic","M05112"
"Rheumatic","M05119"
"Rheumatic","M0512"
"Rheumatic","M05121"
"Rheumatic","M05122"
"Rheumatic","M05129"
"Rheumatic","M0513"
"Rheumatic","M05131"
"Rheumatic","M05132"
"Rheumatic","M05139"
"Rheumatic","M0514"
"Rheumatic","M05141"
"Rheumatic","M05142"
"Rheumatic","M05149"
"Rheumatic","M0515"
"Rheumatic","M05151"
"Rheumatic","M05152"
"Rheumatic","M05159"
"Rheumatic","M0516"
"Rheumatic","M05161"
"Rheumatic","M05162"
"Rheumatic","M05169"
"Rheumatic","M0517"
"Rheumatic","M05171"
"Rheumatic","M05172"
"Rheumatic","M05179"
"Rheumatic","M0519"
"Rheumatic","M052"
"Rheumatic","M0520"
"Rheumatic","M0521"
"Rheumatic","M05211"
"Rheumatic","M05212"
"Rheumatic","M05219"
"Rheumatic","M0522"
"Rheumatic","M05221"
"Rheumatic","M05222"
"Rheumatic","M05229"
"Rheumatic","M0523"
"Rheumatic","M05231"
"Rheumatic","M05232"
"Rheumatic","M05239"
"Rheumatic","M0524"
"Rheumatic","M05241"
"Rheumatic","M05242"
"Rheumatic","M05249"
"Rheumatic","M0525"
"Rheumatic","M05251"
"Rheumatic","M05252"
"Rheumatic","M05259"
"Rheumatic","M0526"
"Rheumatic","M05261"
"Rheumatic","M05262"
"Rheumatic","M05269"
"Rheumatic","M0527"
"Rheumatic","M05271"
"Rheumatic","M05272"
"Rheumatic","M05279"
"Rheumatic","M0529"
"Rheumatic","M053"
"Rheumatic","M0530"
"Rheumatic","M0531"
"Rheumatic","M05311"
"Rheumatic","M05312"
"Rheumatic","M05319"
"Rheumatic","M0532"
"Rheumatic","M05321"
"Rheumatic","M05322"
"Rheumatic","M05329"
"Rheumatic","M0533"
"Rheumatic","M05331"
"Rheumatic","M05332"
"Rheumatic","M05339"
"Rheumatic","M0534"
"Rheumatic","M05341"
"Rheumatic","M05342"
"Rheumatic","M05349"
"Rheumatic","M0535"
"Rheumatic","M05351"
"Rheumatic","M05352"
"Rheumatic","M05359"
"Rheumatic","M0536"
"Rheumatic","M05361"
"Rheumatic","M05362"
"Rheumatic","M05369"
"Rheumatic","M0537"
"Rheumatic","M05371"
"Rheumatic","M05372"
"Rheumatic","M05379"
"Rheumatic","M0539"
"Rheumatic","M054"
"Rheumatic","M0540"
"Rheumatic","M0541"
"Rheumatic","M05411"
"Rheumatic","M05412"
"Rheumatic","M05419"
"Rheumatic","M0542"
"Rheumatic","M05421"
"Rheumatic","M05422"
"Rheumatic","M05429"
"Rheumatic","M0543"
"Rheumatic","M05431"
"Rheumatic","M05432"
"Rheumatic","M05439"
"Rheumatic","M0544"
"Rheumatic","M05441"
"Rheumatic","M05442"
"Rheumatic","M05449"
"Rheumatic","M0545"
"Rheumatic","M05451"
"Rheumatic","M05452"
"Rheumatic","M05459"
"Rheumatic","M0546"
"Rheumatic","M05461"
"Rheumatic","M05462"
"Rheumatic","M05469"
"Rheumatic","M0547"
"Rheumatic","M05471"
"Rheumatic","M05472"
"Rheumatic","M05479"
"Rheumatic","M0549"
"Rheumatic","M055"
"Rheumatic","M0550"
"Rheumatic","M0551"
"Rheumatic","M05511"
"Rheumatic","M05512"
"Rheumatic","M05519"
"Rheumatic","M0552"
"Rheumatic","M05521"
"Rheumatic","M05522"
"Rheumatic","M05529"
"Rheumatic","M0553"
"Rheumatic","M05531"
"Rheumatic","M05532"
"Rheumatic","M05539"
"Rheumatic","M0554"
"Rheumatic","M05541"
"Rheumatic","M05542"
"Rheumatic","M05549"
"Rheumatic","M0555"
"Rheumatic","M05551"
"Rheumatic","M05552"
"Rheumatic","M05559"
"Rheumatic","M0556"
"Rheumatic","M05561"
"Rheumatic","M05562"
"Rheumatic","M05569"
"Rheumatic","M0557"
"Rheumatic","M05571"
"Rheumatic","M05572"
"Rheumatic","M05579"
"Rheumatic","M0559"
"Rheumatic","M056"
"Rheumatic","M0560"
