formulary_name,med_name_generic,med_name
MetoCLOPRAMIDE 10 mg/2 mL inj,metoCLOPRAMIDE,metoclopramide
Oxytocin 10 units/ 1 mL inj,oxytocin,oxytocin
Mag Sulfate 20gm/ 500ml Water inj,magnesium sulfate/water,magnesium sulfate
Oxytocin 20 unit(s)/LR 1000mL (Infusion),oxytocin/LR,oxytocin
ANES Labetalol 5 mg/1 mL inj,labetalol,labetalol
D20W 500 mL IV bag,dextrose 20%,Dextrose 20% in Water intravenous solution
"ANES HePARIN 1,000 units/mL 30 mL inj",hePARIN,heparin
D5NS+20 mEq KCl 1000 mL IV bag,d5ns + kcl,Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution
PRMX sodium bicarbonate 150 mEq D5W 1000 mL,sodium bicarbonate/d5w,sodium bicarbonate
Not Recorded,Not Recorded,Premix Diluent
Vancomycin 1500mg/NS ivpb (EUOSH ONLY),vancomycin in ns,vancomycin
"PRMX Fentanyl  2,500 mcg / 50 mL Premix Drip",fentanyl citrate,fentaNYL
Acyclovir 1gm inj,acyclovir,acyclovir
NS 250 mL IV bag,nacl 0.9%,Sodium Chloride 0.9% intravenous solution
LevETIRAcetam 1000 mg/100 mL NACL IVPB,levETIRAcetam in NACL,levETIRAcetam
CefEPIME 1 gm/D5W 50mL IVPB,cefepime in D5W,cefepime
PotassPhosphate 3mmol/mL 15mL inj,potassium phosphate,potassium phosphate
Piperacillin-Tazobactam 3.375gm inj,piperacillin-tazobact,piperacillin-tazobactam
Oxytocin 20 units/1000 mL NS for infusion,oxytocin in NS,oxytocin
Hypertonic NACL 3% 500 mL IV bag,nacl 3%,Sodium Chloride 3%
"Water, Sterile 1000 mL IV bag","water, sterile bag",sterile water
EPInephrine 1 mg/ 1 mL inj,EPInephrine,epinephrine
levothyroxine 100 mcg (0.1 mg) inj.,levothyroxine,levothyroxine
NS 500mL (Polyolefin),nacl 0.9% (polyolefin),Sodium Chloride 0.9% intravenous solution
Meropenem 1000 mg inj,meropenem,meropenem
Mannitol 20% 250 mL IV bag,mannitol 20%,mannitol
ANES cisatracurium 2 mg/mL 10 mL inj,cisatracurium,cisatracurium
ANES ketamine 10 mg/1 mL,ketamine,ketamine
MethylPREDNISolone 1000mg inj,methylPREDNISolone,methylPREDNISolone
HePARIN 1000 units/1 mL inj,hePARIN,heparin
NS 250 mL IV bag for chemo,nacl 0.9%,Sodium Chloride 0.9% intravenous solution
LACOSamide 200 mg/20 mL inj,LACOSamide,lacosamide
Not Recorded,Not Recorded,dexmedetomidine
Not Recorded,Not Recorded,sterile water
D5NS 1000 mL IV bag,d5ns,Dextrose 5% with 0.9% NaCl intravenous solution
Diltiazem 125 mg vial,diltiazem,diltiazem
Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr.,HYDROmorphone
Albumin Human 25% 50mL,albumin 25%,albumin human
Fluconazole 400mg/200mL NS premix,fluconazole in ns,fluconazole
Acyclovir 500mg/10mL inj,acyclovir,acyclovir
Sodium Phosphat 3 mm/mL 50 mL inj,sodium phosphate,sodium phosphate
MethylPREDNISolone 40 mg inj,methylPREDNISolone,methylPREDNISolone
Clindamycin 900 mg/50 mL D5W,clindamycin in d5w,clindamycin
LR 500 mL IV bag,lactated ringers,Lactated Ringers Injection intravenous solution
Labetalol 100 mg/20 mL inj ADD,labetalol,labetalol
Empty Container,Empty Container,Empty Container
Not Recorded,Not Recorded,HYDROmorphone
LevoFLOXACIN 750 mg/D5W 150 mL,LevoFLOXACIN in d5w,levoFLOXacin
CefEPIME 2gm/D5W 50mL IVPB,cefEPIME in d5W,cefepime
Vancomycin 1gm/NS 250mL IVPB,vancomycin in NS,vancomycin
KCl 2 mEq/ml  20 mL inj.,potassium chloride,potassium chloride
D5.45NS 1000 mL for chemo,d5.45ns,Dextrose 5% with 0.45% NaCl intravenous solution
Leucovorin 100 mg inj,leucovorin,leucovorin
Not Recorded,Not Recorded,Sodium Chloride 0.45% intravenous solution
D5W 100 mL IV bag,d5w,Dextrose 5% in Water intravenous solution
"Alteplase,Cathflo 2 mg inj",alteplase,alteplase
Tromethamine 500 mL  Btl,tromethamine,tromethamine
NACL 0.45% 500 mL IV bag,nacl 0.45%,Sodium Chloride 0.45% intravenous solution
Acetylcysteine 20% IV injection,acetylcysteine,acetylcysteine
Folic Acid 50 mg/10 mL inj,folic acid,folic acid
Nalbuphine 20 mg/1 mL inj,nalbuphine,nalbuphine
Potassium Chlor 2 meq/ml 10mL inj,potassium chloride,potassium chloride
cefOXiitin 1 gm inj,cefoxitin,cefOXitin
NiCARdipine 100mcg/mL 10 mL-OR syringe,niCARdipine,niCARdipine
Diazepam 10 mg/2 mL inj,diazepam,diazePAM
Not Recorded,Not Recorded,Premix Dextrose 5%
Not Recorded,Not Recorded,milrinone
ANES MetoPROLOL 1 mg/mL inj,metoPROLOL,metoprolol
Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr,HYDROmorphone
Nafcillin 2gm/100mL NS IVPB,nafcillin/ns,nafcillin
Daptomycin 500mg for IVPB,daptomycin,DAPTOmycin
Fludarabine 50  mg inj,fludarabine,fludarabine
NS 50 mL IV bag for chemo,nacl 0.9%,Sodium Chloride 0.9% intravenous solution
TACRolimus 5mg inj,TACRolimus,tacrolimus
D5W 100 mL (Polyolefin),d5w (polyolefin),Dextrose 5% in Water intravenous solution
Micafungin 50 mg inj,micafungin,micafungin
Acetaminophen 1000mg/100mL IVPB,acetaminophen,acetaminophen
Ethiodized Oil 480mg/mL,ethiodized oil,ethiodized oil
NS 1000 mL (Polyolefin) for chemo,ns (polyolefin),Sodium Chloride 0.9% intravenous solution
Not Recorded,Not Recorded,norepinephrine
Not Recorded,Not Recorded,vasopressin
Not Recorded,Not Recorded,calcium chloride
Bumetanide 0.25 mg/mL 10 mL inj,bumetanide,bumetanide
Vancomycin 750 mg/150 mL Iso-Dex,vancomycin in iso-dex,vancomycin
Pyridoxine 100 mg/1 mL inj,pyridoxine,pyridoxine
Midazolam 1mg/mL inj 5 mL,midazolam,midazolam
Hypertonic NaCl 23.4% 120meq IVPB for Neuro (30mL),"na chloride 23.4% in Bag, sterile",sodium chloride
PRMX DOBUTamine 1gm/D5W 250 mL (dbl),DOBUTamine-d5w,DOBUTamine
Calcium Gluconate 1 gm/10 mL inj,calcium gluconate,calcium gluconate
Central Parenteral Nutrition,Central Parenteral Nutrition (hyperal),central hyperalimentation (TPN)
Sodium Glycerophosphate 20mmol/20mL inj,sodium glycerophosphate,sodium glycerophosphate
Erythromycin 500 mg inj,erythromycin,erythromycin
ANES Vecuronium 1 mg/mL inj,vecuronium,vecuronium
Not Recorded,Not Recorded,epinephrine
Atropine Sulfate 1 mg/10 mL inj,atropine sulfate,atropine
Dihydroergotamine 1 mg/1 mL inj,dihydroergotamine,dihydroergotamine
Clindamycin 900 mg/50mL NS IVPB,clindamycin in ns,clindamycin
Clindamycin 600 mg/50 mL D5W,clindamycin in d5w,clindamycin
D5W + 20 mEq KCl 1000 mL IV bag,d5w + kcl,Dextrose 5% in Water with KCl 20 mEq/l intravenous solution
Cefoxitin 2gm in Iso Dex,cefoxitin in iso dex,cefOXitin
TIGEcycline 50 mg inj,TIGEcycline,tigecycline
Not Recorded,Not Recorded,morphine
Octreotide  500  mcg/1 mL  inj ADD,octreotide add,octreotide
Ganciclovir 500 mg inj,ganciclovir sodium,ganciclovir
Peripheral Parenteral Nutrition,Peripheral Parenteral Nutrition (hyperal),hyperal peripheral
Famotidine 20 mg for Hyperal only,famotidine,famotidine
Mycophenolate 500 mg inj,mycophenolate,mycophenolate mofetil
Not Recorded,Not Recorded,famotidine
Piperacillin-Tazobactam 3.375 gm/50 mL iso-dex,piperacillin-tazobac in iso-dex,piperacillin-tazobactam
PRMX Midazolam 100mg Drip Std*,midazolam in ns,midazolam
LeveTIRACETAM 500mg inj.,leveTIRACETAM,levETIRAcetam
Not Recorded,Not Recorded,levETIRAcetam
LevETIRAcetam 1500 mg/100 mL NACL IVPB,levETIRAcetam in NACL,levETIRAcetam
Succinylcholine 200 mg/10 mL inj,succinylcholine,succinylcholine
Haloperidol 5 mg/1 mL inj,haloperidol,haloperidol
NOREPInephrine 16mcg/mL OR syringe,NOREPInephrine,norepinephrine
"Penicillin G K 5,000,000 unit(s)/ns IVPB",penicillin g k in ns,penicillin G potassium
Penicillin G K 5 million unit inj,penicillin g k,penicillin G potassium
Octreotide  100 mcg/1mL inj,octreotide,octreotide
cefaZOLIN 1 gm inj,cefaZOLIN,ceFAZolin
PRMX fentaNYL 2500 mcg/250 mL NS,PRMX fentaNYL,fentaNYL
SJH hyperalimentation 1200-2200mL,hyperalimentation 1200-2200mL,"hyperalimentation, adult"
Vancomycin 1gm inj,vancomycin,vancomycin
Cisatracurium 10 mg/mL  20 mL inj,cisatracurium,cisatracurium
Oxytocin 15 unit(s)/NS 250mL (Induction),oxytocin/ns,oxytocin
Not Recorded,Not Recorded,DOBUTamine
Methocarbamol 1gm inj,methocarbamol,methocarbamol
LevETIRAcetam 500 mg/100 mL NACL IVPB,levETIRAcetam in NACL,levETIRAcetam
Morphine 10 mg/1 mL inj vial,morphine,morphine
Oxytocin 30 units/NS 500 mL,oxytocin/NS,oxytocin
Morphine PCA/NCA 50 mg/50 mL,morphine PCA,morphine
Phenobarbital 65 mg/1 mL inj,PHENobarbital,PHENobarbital
cefTRIAXone 2 gm inj,ceftriaxone,cefTRIAXone
Carmustine 100 mg inj,carmustine,carmustine
Midazolam 5 mg/mL inj 10 mL,midazolam,midazolam
PRMX diltiazem 100 mg drip,diltiazem,diltiazem
Promethazine 25 mg/1 mL inj,promethazine inj,promethazine
Naloxone 0.4 mg/ 1 mL inj,naloxone,naloxone
Scopolamine patch,scopolamine,scopolamine
Fat Emulsion 20% 250 mL (Intralipid),fat emulsion 20%,"fat emulsion, intravenous"
Ampicillin 1gm IVPB,ampicillin in ns,ampicillin
Gentamicin 80 mg/50 mL NS premix,gentamicin in ns,gentamicin
Brand necessary-Ciprofloxacin 400mg/200mL D5W premix ivpb,ciprofloxacin in D5W,ciprofloxacin
Not Recorded,Not Recorded,hydromorphone bolus from current pca
Busulfan 6mg/mL 10 mL inj,busulfan,busulfan
Mesna 1000 mg/10 mL inj,mesna,mesna
Not Recorded,Not Recorded,esmolol
D5.45NS + 40 mEq KCl 1000 mL IV,d5.45ns + kcl,Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution
Digoxin 0.5 mg/2 mL inj,digoxin,digoxin
ANES Ondansetron 2 mg/1 mL inj,ondansetron,ondansetron
MVI-12 (2X5mL) inj,multiple vitamins,multivitamin
Amiodarone 150 mg/100 mL iso-dex Bolus,amiodarone in iso-dex,amiodarone
Fosphenytoin 500 mgpe/10 mL inj,fosphenytoin,fosphenytoin
cefaZOLIN 500 mg inj,cefaZOLIN,ceFAZolin
