med_name,is_fluids,fluid_type,med_class,med_subclass,formulary_name,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,med_name_generic
Sodium Chloride 0.9% intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other,NS inj (Preservative Free),Not Recorded,none,147,,,none,,,none,FALSE,FALSE,ns pf.
sodium chloride,FALSE,Medication,other,other,NS inj (Preservative Free),Not Recorded,none,56,,,none,,,none,FALSE,FALSE,ns pf
Sodium Chloride 0.9% intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other,NS inj (Preservative Free),Not Recorded,none,56,,,none,,,none,FALSE,FALSE,ns pf
Sodium Chloride 0.9% intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other,NS inj (Preservative Free),Not Recorded,none,56,,,none,,,none,FALSE,FALSE,ns pf.
potassium chloride-sodium chloride,TRUE,Electrolyte Solution (Potassium),fluid_electrolyte,other,NS+20 mEq KCl 1000 mL IV bag,Not Recorded,1000.0 mL,77705,mL,1000,20.0 mEq,mEq,20,none,TRUE,FALSE,ns + kcl
potassium chloride-sodium chloride,TRUE,Electrolyte Solution (Potassium),fluid_electrolyte,other,NS+40 mEq KCl 1000 mL,Not Recorded,1000.0 mL,17456,mL,1000,40.0 mEq,mEq,40,none,TRUE,FALSE,ns + kcl
nitroglycerin,FALSE,Medication,bp_lowering,other,NTG 0.3 mg=1/200Gr SL tab,Not Recorded,none,1,,,0.3 mg,mg,0.3,none,FALSE,FALSE,nitroglycerin
nitroglycerin,FALSE,Medication,bp_lowering,other,NTG 0.4 mg=1/150Gr SL tab,Not Recorded,none,149,,,0.4 mg,mg,0.4,none,FALSE,FALSE,nitroglycerin
nitroglycerin,FALSE,Medication,bp_lowering,other,NTG Aerosol Spray,Not Recorded,none,45,,,none,,,none,FALSE,FALSE,nitroglycerin
sodium chloride,FALSE,Medication,other,other,NaCl conc 23.4% (4meq/mL) for compounding,Not Recorded,none,11938,,,4.0 mEq,mEq,4,none,FALSE,FALSE,na chloride conc(23.4%)
sodium chloride,FALSE,Medication,other,other,NaCl conc 23.4% 5mL syr,Not Recorded,5.0 mL,5,mL,5,none,,,none,FALSE,FALSE,na chloride conc(23.4%)
sodium chloride,FALSE,Medication,other,other,NaCl conc 23.4% 5mL syr (Dialysis),Not Recorded,5.0 mL,5,mL,5,none,,,none,FALSE,FALSE,na chloride conc(23.4%)
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 0.01mg/mL for Desensitization,Not Recorded,none,7,,,0.01 mg,mg,0.01,none,TRUE,FALSE,nafcillin/ns for desensitization
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 0.1mg/mL for Desensitization,Not Recorded,none,7,,,0.1 mg,mg,0.1,none,TRUE,FALSE,nafcillin/ns for desensitization
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 10 gm inj,Not Recorded,none,6300,,,10.0 gm,gm,10,none,FALSE,FALSE,nafcillin
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 10mg/mL for Desensitization,Not Recorded,none,8,,,10.0 mg,mg,10,none,TRUE,FALSE,nafcillin/ns for desensitization
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 1gm inj,Not Recorded,none,72,,,1.0 gm,gm,1,none,FALSE,FALSE,nafcillin
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 1gm/50 mL Iso-Dex,Not Recorded,50.0 mL,5,mL,50,1.0 gm,gm,1,none,TRUE,FALSE,nafcillin in Iso-Dex
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 1gm/50mL NS,Not Recorded,50.0 mL,265,mL,50,1.0 gm,gm,1,none,TRUE,FALSE,nafcillin/ns
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 20mg/mL neonate syringe,Not Recorded,none,32,,,20.0 mg,mg,20,none,FALSE,FALSE,nafcillin/ns in syringe
Nafcillin 2gm Desensitization Rx Protocol- initiate,FALSE,Medication,anti-infective,penicillins,Nafcillin 2gm Desensitization Rx Protocol- initiate,Not Recorded,none,1,,,2.0 gm,gm,2,none,TRUE,FALSE,Nafcillin 2gm Desensitization Rx Protocol- initiate
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 2gm inj,Not Recorded,none,1714,,,2.0 gm,gm,2,none,FALSE,FALSE,nafcillin
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 2gm/100 mL Iso-Dex,Not Recorded,100.0 mL,853,mL,100,2.0 gm,gm,2,none,TRUE,FALSE,nafcillin in Iso-Dex
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 2gm/100mL NS IVPB,Not Recorded,100.0 mL,15681,mL,100,2.0 gm,gm,2,none,TRUE,FALSE,nafcillin/ns
nafcillin,FALSE,Medication,anti-infective,penicillins,Nafcillin 50mg/mL for Desensitization,Not Recorded,none,8,,,50.0 mg,mg,50,none,TRUE,FALSE,nafcillin/ns for desensitization
nalbuphine,FALSE,Medication,analgesic,opioids,Nalbuphine 10 mg/1 mL inj,Not Recorded,1.0 mL,11403,mL,1,10.0 mg,mg,10,10.0 mg/1.0 ML,FALSE,FALSE,nalbuphine
nalbuphine,FALSE,Medication,analgesic,opioids,Nalbuphine 20 mg/1 mL inj,Not Recorded,1.0 mL,2168,mL,1,20.0 mg,mg,20,20.0 mg/1.0 ML,FALSE,FALSE,nalbuphine
naloxone,FALSE,Medication,analgesic,opioids,Naloxone (HIGH CONCENTRATION)  2 mg/2 mL syringe,Not Recorded,2.0 mL,769,mL,2,2.0 mg,mg,2,2.0 mg/2.0 ML,FALSE,FALSE,naloxone
naloxone,FALSE,Medication,analgesic,opioids,Naloxone 0.4 mg/ 1 mL inj,Not Recorded,1.0 mL,23004,mL,1,0.4 mg,mg,0.4,0.4 mg/1.0 ML,FALSE,FALSE,naloxone
nelarabine,FALSE,Medication,other,other,Nelarabine 250 mg/ 50mL inj,Not Recorded,50.0 mL,81,mL,50,250.0 mg,mg,250,250.0 mg/50.0 ML,FALSE,FALSE,nelarabine
hyperal neonate,TRUE,Parenteral Nutrition,other,other,Neonatal TPN,Not Recorded,none,1633,,,none,,,none,TRUE,FALSE,Neonatal TPN
hyperal neonate,TRUE,Parenteral Nutrition,other,other,Neonate Hyperalimentation,Not Recorded,none,938,,,none,,,none,TRUE,FALSE,Hyperalimentation neonate
Neonate Starter Hyperal,TRUE,Parenteral Nutrition,other,other,Neonate Starter Hyperal 250mL,Not Recorded,250.0 mL,50,mL,250,none,,,none,TRUE,FALSE,neonate starter hyperal
neostigmine,FALSE,Medication,reversal_agent,other,Neostigmine 1 mg/mL 10 mL inj,Not Recorded,10.0 mL,317,mL,10,1.0 mg,mg,1,none,FALSE,FALSE,neostigmine
neostigmine,FALSE,Medication,reversal_agent,other,Neostigmine 1 mg/mL inj,Not Recorded,none,12,,,1.0 mg,mg,1,none,FALSE,FALSE,neostigmine
neostigmine,FALSE,Medication,reversal_agent,other,Neostigmine 3mg/3mL inj,Not Recorded,3.0 mL,1,mL,3,3.0 mg,mg,3,3.0 mg/3.0 ML,FALSE,FALSE,neostimine
neostigmine,FALSE,Medication,reversal_agent,other,Neostigmine 3mg/3mL inj,Not Recorded,3.0 mL,18,mL,3,3.0 mg,mg,3,3.0 mg/3.0 ML,FALSE,FALSE,neostimine
neostigmine,FALSE,Medication,reversal_agent,other,Neostigmine 5mg/5mL Syr for Pyxis,Not Recorded,5.0 mL,1,mL,5,5.0 mg,mg,5,5.0 mg/5.0 ML,FALSE,FALSE,neostigmine
niCARdipine,FALSE,Medication,bp_lowering,other,NiCARdipine 100mcg/mL 10 mL-OR syringe,Not Recorded,10.0 mL,13424,mL,10,100.0 mcg,mcg,100,none,FALSE,FALSE,niCARdipine
niCARdipine,FALSE,Medication,bp_lowering,other,NiCARdipine 25mg/10mL inj,Milligram/Hour,10.0 mL,13873,mL,10,25.0 mg,mg,25,25.0 mg/10.0 ML,FALSE,FALSE,niCARdipine
niCARdipine,FALSE,Medication,bp_lowering,other,NiCARdipine 30 mg cap,Not Recorded,none,6,,,30.0 mg,mg,30,none,FALSE,FALSE,niCARdipine
,,,,,Nicardipine 1.25mg/6.25mL ECT syringe,Not Recorded,6.25 mL,2,mL,6.25,1.25 mg,mg,1.25,1.25 mg/6.25 ML,FALSE,FALSE,
nitroglycerin,FALSE,Medication,bp_lowering,other,Nitroglycerin 100mcg/mL for Cath Lab,Not Recorded,none,1348,,,100.0 mcg,mcg,100,none,TRUE,FALSE,nitroglycerin
nitroglycerin,FALSE,Medication,bp_lowering,other,Nitroglycerin 2% Oint 1 gm,Not Recorded,none,19,,,1.0 gm,gm,1,none,FALSE,FALSE,nitroglycerin 2% 1 gm
nitroglycerin,FALSE,Medication,bp_lowering,other,Nitroglycerin 200mcg/mL 10mL OR syringe,Not Recorded,10.0 mL,8,mL,10,200.0 mcg,mcg,200,none,FALSE,FALSE,nitroglycerin
nitroglycerin,FALSE,Medication,bp_lowering,other,Nitroglycerin 25 mg/5 mL inj,Not Recorded,5.0 mL,4,mL,5,25.0 mg,mg,25,25.0 mg/5.0 ML,FALSE,FALSE,nitroglycerin
nitroglycerin,FALSE,Medication,bp_lowering,other,Nitroglycerin 50 mg/ 10 mL inj,Not Recorded,10.0 mL,3558,mL,10,50.0 mg,mg,50,50.0 mg/10.0 ML,FALSE,FALSE,nitroglycerin
nitroglycerin,FALSE,Medication,bp_lowering,other,Nitroglycerin 50mcg/mL 10mL OR syringe,Not Recorded,10.0 mL,11540,mL,10,50.0 mcg,mcg,50,none,FALSE,FALSE,nitroglycerin
sodium nitroprusside,FALSE,Medication,bp_lowering,other,Nitroprusside 50 mg/ 2 mL inj,Not Recorded,2.0 mL,6338,mL,2,50.0 mg,mg,50,50.0 mg/2.0 ML,FALSE,FALSE,nitroprusside
intravenous electrolyte solution,TRUE,Electrolyte Solution,other,other,Normosol-R Ph 7.4 1000mL bag,Not Recorded,1000.0 mL,4,mL,1000,none,,,none,TRUE,FALSE,electrolytes
Premix NS,TRUE,Premix,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Sodium Chloride 0.9% intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Dextrose 50% in Water intravenous solution,TRUE,Hypertonic Crystalloid,endocrine,diabetes,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Premix Diluent,TRUE,Premix,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
dexmedetomidine,FALSE,Medication,sedative,anesthetic,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
sterile water,TRUE,Sterile Water,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
HYDROmorphone,FALSE,Medication,analgesic,opioids,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Sodium Chloride 0.45% intravenous solution,TRUE,Hypotonic Crystalloid,fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Premix Dextrose 5%,TRUE,Premix,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
milrinone,FALSE,Medication,bp_lowering,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
norepinephrine,FALSE,Medication,pressor,vasopressor,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
vasopressin,FALSE,Medication,pressor,vasopressor,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
calcium chloride,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
epinephrine,FALSE,Medication,pressor,inotrope,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
morphine,FALSE,Medication,analgesic,opioids,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
famotidine,FALSE,Medication,antihistamine,acid_suppressant,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
levETIRAcetam,FALSE,Medication,anticonvulsant,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
DOBUTamine,FALSE,Medication,pressor,inotrope,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
hydromorphone bolus from current pca,FALSE,Medication,analgesic,opioids,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
esmolol,FALSE,Medication,bp_lowering,beta_blocker,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
propofol,FALSE,Medication,sedative,anesthetic,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
fentaNYL,FALSE,Medication,analgesic,opioids,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
midazolam,FALSE,Medication,sedative,benzodiazepine,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
nafcillin,FALSE,Medication,anti-infective,penicillins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
heparin,FALSE,Medication,anticoagulant,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
sodium chloride,FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
nitroglycerin,FALSE,Medication,bp_lowering,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
sodium bicarbonate,TRUE,Electrolyte Solution (Bicarbonate),fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
succinylcholine,FALSE,Medication,neuromuscular_blocker,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Dextrose 5% in Water intravenous solution,TRUE,Hypotonic Crystalloid,fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
phenylephrine,FALSE,Medication,pressor,vasopressor,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
acetaminophen,FALSE,Medication,analgesic,non-opioid,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
amiodarone,FALSE,Medication,antiarrhythmics,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
metroNIDAZOLE,FALSE,Medication,anti-infective,metronidazole,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
micafungin,FALSE,Medication,anti-infective,antifungals,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
insulin regular,FALSE,Medication,insulin,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
levoFLOXacin,FALSE,Medication,anti-infective,fluoroquinolones,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
central hyperalimentation (TPN),TRUE,Parenteral Nutrition,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
cefepime,FALSE,Medication,anti-infective,cephalosporins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Dextrose 5% with 0.45% NaCl intravenous solution,TRUE,Hypotonic Crystalloid,fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
meropenem,FALSE,Medication,anti-infective,carbapenems,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
hyperal peripheral,TRUE,Parenteral Nutrition,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
niCARdipine,FALSE,Medication,bp_lowering,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
methylPREDNISolone,FALSE,Medication,corticosteroids,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Lactated Ringers Injection intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
"hyperalimentation, adult",TRUE,Parenteral Nutrition,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
argatroban,FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
piperacillin-tazobactam,FALSE,Medication,anti-infective,penicillins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
DOPamine,FALSE,Medication,pressor,inotrope,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
diltiazem,FALSE,Medication,bp_lowering,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
acyclovir,FALSE,Medication,anti-infective,antiviral,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
LORazepam,FALSE,Medication,sedative,benzodiazepine,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
DAPTOmycin,FALSE,Medication,anti-infective,lipopeptide,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
ceftaroline,FALSE,Medication,anti-infective,cephalosporins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Dextrose 5% with 0.9% NaCl intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
albumin human,TRUE,Natural Colloid,fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
vancomycin,FALSE,Medication,anti-infective,glycopeptide,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
hydrocortisone,FALSE,Medication,corticosteroids,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
anti-thymocyte globulin (rabbit),FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
tirofiban,FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Electrolyte (Plasma-Lyte) intravenous solution,TRUE,Electrolyte Solution,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
thiamine,FALSE,Medication,vitamin_supplement,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
aztreonam,FALSE,Medication,anti-infective,monobactams,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
ampicillin-sulbactam,FALSE,Medication,anti-infective,penicillins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
furosemide,FALSE,Medication,diuretic,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
bivalirudin,FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
potassium chloride,TRUE,Electrolyte Solution (Potassium),fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
oxytocin,FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution,TRUE,Hypotonic Crystalloid,fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
zidovudine,FALSE,Medication,anti-infective,antiviral,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
ampicillin,FALSE,Medication,anti-infective,penicillins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
magnesium sulfate,TRUE,Electrolyte Solution (Magnesium),fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
lidocaine,FALSE,Medication,antiarrhythmics,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
calcium gluconate,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Sodium Chloride 3%,TRUE,Hypertonic Crystalloid,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Dextrose 5% in Lactated Ringers intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
acetylcysteine,FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
ketamine,FALSE,Medication,analgesic,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
cisatracurium,FALSE,Medication,neuromuscular_blocker,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
colistimethate,FALSE,Medication,anti-infective,polymixin,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
fluconazole,FALSE,Medication,anti-infective,antifungals,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
gentamicin,FALSE,Medication,anti-infective,aminoglycosides,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
clindamycin,FALSE,Medication,anti-infective,lincosamides,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
pantoprazole,FALSE,Medication,proton_pump_inhibitor,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
folic acid,FALSE,Medication,vitamin_supplement,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
prochlorperazine,FALSE,Medication,antiemetic,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
cefOXitin,FALSE,Medication,anti-infective,cephalosporins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
valproic acid,FALSE,Medication,anticonvulsant,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
tobramycin,FALSE,Medication,anti-infective,aminoglycosides,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
metoclopramide,FALSE,Medication,antiemetic,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
dexamethasone,FALSE,Medication,corticosteroids,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
naloxone,FALSE,Medication,analgesic,opioids,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
sulfamethoxazole-trimethoprim,FALSE,Medication,anti-infective,sulphonamides,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
penicillin G potassium,FALSE,Medication,anti-infective,penicillins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
vecuronium,FALSE,Medication,neuromuscular_blocker,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Empty Container,FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
labetalol,FALSE,Medication,bp_lowering,beta_blocker,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
sodium nitroprusside,FALSE,Medication,bp_lowering,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
diphenhydrAMINE,FALSE,Medication,antihistamine,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
potassium chloride-sodium chloride,TRUE,Electrolyte Solution (Potassium),fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
linezolid,FALSE,Medication,anti-infective,oxazolidinones,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
azithromycin,FALSE,Medication,anti-infective,macrolide antibiotics,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Dextrose 10% in Water intravenous solution,TRUE,Hypertonic Crystalloid,fluid_electrolyte,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
atropine,FALSE,Medication,anticholinergic,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
fosphenytoin,FALSE,Medication,anticonvulsant,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
isoproterenol,FALSE,Medication,pressor,vasopressor,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
alteplase,FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
Factor VIII injection,FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
epoprostenol,FALSE,Medication,bp_lowering,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
tromethamine,FALSE,Medication,other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
sodium phosphate,TRUE,Electrolyte Solution (Phosphate),other,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
cefuroxime,FALSE,Medication,anti-infective,cephalosporins,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
bumetanide,FALSE,Medication,diuretic,other,Not Recorded,Micrograms/Minute,none,993111,,,none,,,none,TRUE,FALSE,Not Recorded
