med_name,is_fluids,fluid_type,med_class,med_subclass,formulary_name,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,med_name_generic
ANES vasopressin 200 unit/500 mL NS drip,FALSE,Medication,pressor,vasopressor,ANES vasopressin 20 unit/50 mL NS drip,Not Recorded,50.0 mL,6369,mL,50,20.0 unit,unit,20,20.0 unit/50.0 ML,TRUE,TRUE,vasopression 20 unit drip
vasopressin,FALSE,Medication,pressor,vasopressor,ANES vasopressin 20 unit/50 mL NS drip,Not Recorded,50.0 mL,6369,mL,50,20.0 unit,unit,20,20.0 unit/50.0 ML,TRUE,TRUE,vasopression 20 unit drip
ANES vasopressin 200 unit/500 mL NS drip,FALSE,Medication,pressor,vasopressor,ANES vasopressin 20 unit/50 mL NS drip,Not Recorded,50.0 mL,215,mL,50,20.0 unit,unit,20,20.0 unit/50.0 ML,TRUE,TRUE,vasopressin 100 drip
ANES vasopressin 200 unit/500 mL NS drip,FALSE,Medication,pressor,vasopressor,ANES vasopressin 20 unit/50 mL NS drip,Not Recorded,50.0 mL,215,mL,50,20.0 unit,unit,20,20.0 unit/50.0 ML,TRUE,TRUE,vasopression 20 unit drip
vasopressin,FALSE,Medication,pressor,vasopressor,ANES vasopressin 20 unit/50 mL NS drip,Not Recorded,50.0 mL,215,mL,50,20.0 unit,unit,20,20.0 unit/50.0 ML,TRUE,TRUE,vasopression 20 unit drip
ANES vasopressin 200 unit/500 mL NS drip,FALSE,Medication,pressor,vasopressor,ANES vasopressin 20 unit/50 mL NS drip,Not Recorded,50.0 mL,12614,mL,50,20.0 unit,unit,20,20.0 unit/50.0 ML,TRUE,TRUE,vasopressin 100 drip
ANES vasopressin 200 unit/500 mL NS drip,FALSE,Medication,pressor,vasopressor,ANES vasopressin 20 unit/50 mL NS drip,Not Recorded,50.0 mL,12614,mL,50,20.0 unit,unit,20,20.0 unit/50.0 ML,TRUE,TRUE,vasopression 20 unit drip
vasopressin,FALSE,Medication,pressor,vasopressor,ANES vasopressin 20 unit/50 mL NS drip,Not Recorded,50.0 mL,12614,mL,50,20.0 unit,unit,20,20.0 unit/50.0 ML,TRUE,TRUE,vasopression 20 unit drip
verapamil,FALSE,Medication,bp_lowering,other,ANES verapamil 100 mcg/mL CATH LAB,Not Recorded,none,1,,,100.0 mcg,mcg,100,none,TRUE,TRUE,verapamil
mycophenolate mofetil,FALSE,Medication,other,other,ANESMycophenolate 500 mg inj,Not Recorded,none,2,,,500.0 mg,mg,500,none,FALSE,TRUE,mycophenolate
abatacept,FALSE,Medication,other,other,Abatacept 250 mg inj,Not Recorded,none,124,,,250.0 mg,mg,250,none,FALSE,FALSE,abatacept
abciximab,FALSE,Medication,other,other,Abciximab 10 mg/5 mL inj,Not Recorded,5.0 mL,70,mL,5,10.0 mg,mg,10,10.0 mg/5.0 ML,FALSE,FALSE,abciximab
abciximab,FALSE,Medication,other,other,Abciximab 10 mg/5 mL inj ADD,Micrograms/Minute,5.0 mL,292,mL,5,10.0 mg,mg,10,10.0 mg/5.0 ML,FALSE,FALSE,abciximab ADD
