Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,Unnamed: 8,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,is_fluids
506,D5W 250 mL IV bag for chemo,d5w,Not Recorded,250.0 mL,350,mL,250.0,,none,,,none,True,False,False
507,D5W 250mL (Polyolefin),d5w (polyolefin),Not Recorded,250.0 mL,639400,mL,250.0,,none,,,none,True,False,False
508,D5W 250mL (Polyolefin) for chemo,d5w (polyolefin),Not Recorded,250.0 mL,223,mL,250.0,,none,,,none,True,False,False
509,D5W 50 mL IV bag,d5w,Not Recorded,50.0 mL,30895,mL,50.0,,none,,,none,True,False,False
510,D5W 50 mL IV bag for chemo,d5w,Not Recorded,50.0 mL,584,mL,50.0,,none,,,none,True,False,False
511,D5W 50 mL IV bottle,d5w btl,Not Recorded,50.0 mL,3,mL,50.0,,none,,,none,True,False,False
512,D5W 500 mL (Polyolefin),d5w (polyolefin),Not Recorded,500.0 mL,557952,mL,500.0,,none,,,none,True,False,False
513,D5W 500 mL (Polyolefin) for chemo,d5w (polyolefin) for chemo,Not Recorded,500.0 mL,782,mL,500.0,,none,,,none,True,False,False
514,D5W 500 mL IV bag,d5w,Not Recorded,500.0 mL,29085,mL,500.0,,none,,,none,True,False,False
515,D5W 500 mL IV bag for chemo,d5w,Not Recorded,500.0 mL,483,mL,500.0,,none,,,none,True,False,False
516,D5W 50mL (Polyolefin),d5w (polyolefin),Not Recorded,50.0 mL,7,mL,50.0,,none,,,none,True,False,False
517,D70W 1000mL IV bag,d70w,Not Recorded,1000.0 mL,264,mL,1000.0,,none,,,none,True,False,False
518,D70W 2000 mL IV bag,d70w,Not Recorded,2000.0 mL,419,mL,2000.0,,none,,,none,True,False,False
519,D70W 500 mL IV bag,d70w,Not Recorded,500.0 mL,118,mL,500.0,,none,,,none,True,False,False
520,DACTINOmycin 0.5 mg inj,DACTINOmycin,Not Recorded,none,44,,,,0.5 mg,mg,0.5,none,False,False,False
521,DAPTOmycin 350 mg inj,DAPTOmycin,Not Recorded,none,16976,,,,350.0 mg,mg,350.0,none,False,False,False
522,DAPTOmycin 50 mg/mL inj,DAPTOmycin,Not Recorded,none,2526,,,,50.0 mg,mg,50.0,none,False,False,False
523,DAUNOrubicin 20 mg inj,DAUNOrubicin,Not Recorded,none,240,,,,20.0 mg,mg,20.0,none,False,False,False
524,DAUNOrubicin 5 mg/ml injection,DAUNOrubicin,Not Recorded,none,94,,,,5.0 mg,mg,5.0,none,False,False,False
525,DOBUTamine 250 mg/20 mL inj,DOBUTamine,Microgram/Kilogram/Minute,20.0 mL,27450,mL,20.0,,250.0 mg,mg,250.0,250.0 mg/20.0 ML,False,False,False
526,DOBUTamine 250 mg/20 mL inj ADD,DOBUTamine,Not Recorded,20.0 mL,54,mL,20.0,,250.0 mg,mg,250.0,250.0 mg/20.0 ML,False,False,False
527,DOCEtaxel 10 mg/mL inj,DOCEtaxel,Not Recorded,none,8,,,,10.0 mg,mg,10.0,none,False,False,False
