Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,Unnamed: 8,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,is_fluids
387,Ceftriaxone 1gm/50 mL NS,ceftriaxone in NS,Not Recorded,50.0 mL,20410,mL,50.0,,1.0 gm,gm,1.0,none,True,False,False
388,Ceftriaxone 250 mg for neonate,ceftriaxone,Not Recorded,none,2,,,,250.0 mg,mg,250.0,none,True,False,False
389,Ceftriaxone 250 mg inj,ceftriaxone,Not Recorded,none,208,,,,250.0 mg,mg,250.0,none,False,False,False
390,Ceftriaxone 250mg/mL IM neonate syringe,ceftriaxone,Not Recorded,none,9,,,,250.0 mg,mg,250.0,none,False,False,False
391,Ceftriaxone 2gm/50 mL Iso-Dex,ceftriaxone in Iso-Dex,Not Recorded,50.0 mL,47463,mL,50.0,,2.0 gm,gm,2.0,none,True,False,False
392,Ceftriaxone 2gm/50 mL NS,ceftriaxone in NS,Not Recorded,50.0 mL,11746,mL,50.0,,2.0 gm,gm,2.0,none,True,False,False
393,Ceftriaxone 40mg/mL/ neonate syringe,ceftriaxone in syringe,Not Recorded,none,2,,,,40.0 mg,mg,40.0,none,False,False,False
394,Ceftriaxone 40mg/mL/NS neonate syringe,ceftriaxone in NS syringe,Not Recorded,none,1,,,,40.0 mg,mg,40.0,none,False,False,False
395,Cefuroxime 1500 mg inj,cefuroxime,Not Recorded,none,10250,,,,1500.0 mg,mg,1500.0,none,False,False,False
396,Cefuroxime 1500mg/NS 100mL IVPB,cefuroxime in ns,Not Recorded,100.0 mL,35271,mL,100.0,,1500.0 mg,mg,1500.0,none,True,False,False
397,Cefuroxime 750 mg inj,cefuroxime,Not Recorded,none,23,,,,750.0 mg,mg,750.0,none,False,False,False
398,Cefuroxme 1.5 gm/50 mL Iso-Dex,cefuroxime in iso-dex,Not Recorded,50.0 mL,1946,mL,50.0,,1.5 gm,gm,1.5,none,True,False,False
399,Celecoxib 100 mg cap,celecoxib,Not Recorded,none,3,,,,100.0 mg,mg,100.0,none,False,False,False
400,Celecoxib 200 mg cap,celecoxib,Not Recorded,none,32,,,,200.0 mg,mg,200.0,none,False,False,False
401,Central Parenteral Nutrition,Central Parenteral Nutrition (hyperal),Not Recorded,none,1352817,,,imputed,none,,,none,True,False,False
402,Central TPN,Central TPN,Not Recorded,none,127859,,,,none,,,none,True,False,False
403,Cetuximab 2 mg/mL 100mL,cetuximab,Not Recorded,100.0 mL,3,mL,100.0,,2.0 mg,mg,2.0,none,True,False,False
404,Chloramphenicol 1gm inj,chloramphenicol,Not Recorded,none,9,,,,1.0 gm,gm,1.0,none,False,False,False
405,Chloraseptic throat spray,chloraseptic,Not Recorded,none,1,,,,none,,,none,False,False,False
406,Chloroprocane-MPF 3% inj,chloroprocaine 3%,Not Recorded,none,2,,,,none,,,none,False,False,False
407,Chlorothiazide 125 mg in syringe,chlorothiazide syringe,Not Recorded,none,841,,,,125.0 mg,mg,125.0,none,False,False,False
408,Chlorothiazide 250 mg in syringe,chlorothiazide syringe,Not Recorded,none,3396,,,,250.0 mg,mg,250.0,none,False,False,False
409,Chlorothiazide 250 mg tab,chlorothiazide,Not Recorded,none,1,,,,250.0 mg,mg,250.0,none,False,False,False
410,Chlorothiazide 50 mg/1 mL liq Extemp,chlorothiazide,Not Recorded,1.0 mL,5,mL,1.0,,50.0 mg,mg,50.0,50.0 mg/1.0 ML,True,False,False
411,Chlorothiazide 500 mg inj,chlorothiazide,Not Recorded,none,29588,,,,500.0 mg,mg,500.0,none,False,False,False
412,Chlorothiazide 500 mg injection,chlorothiazide,Not Recorded,none,3087,,,,500.0 mg,mg,500.0,none,False,False,False
413,ChlorproMAZINE 25 mg/1 mL inj,chlorproMAZINE,Not Recorded,1.0 mL,197,mL,1.0,,25.0 mg,mg,25.0,25.0 mg/1.0 ML,False,False,False
414,Chromic 4 mcg/ml Inj,chromic chloride,Not Recorded,none,114,,,,4.0 mcg,mcg,4.0,none,False,False,False
415,Cidofovir 375 mg/ 5mL inj,cidofovir,Not Recorded,5.0 mL,45,mL,5.0,,375.0 mg,mg,375.0,375.0 mg/5.0 ML,False,False,False
416,Ciprofloxacin 200 mg/20 mL inj,ciprofloxacin,Not Recorded,20.0 mL,12,mL,20.0,,200.0 mg,mg,200.0,200.0 mg/20.0 ML,False,False,False
417,Ciprofloxacin 400 mg/40 mL inj,ciprofloxacin,Not Recorded,40.0 mL,33,mL,40.0,,400.0 mg,mg,400.0,400.0 mg/40.0 ML,False,False,False
418,Ciprofloxacin 500 mg tab,ciprofloxacin,Not Recorded,none,1,,,,500.0 mg,mg,500.0,none,False,False,False
419,Cisatracurium 10 mg/mL  20 mL inj,cisatracurium,Microgram/Kilogram/Minute,20.0 mL,135832,mL,20.0,,10.0 mg,mg,10.0,none,False,False,False
420,Cisatracurium 2 mg/mL 10 mL inj,cisatracurium,Not Recorded,10.0 mL,714,mL,10.0,,2.0 mg,mg,2.0,none,False,False,False
421,Cisatracurium 2mg/mL 10mL syringe,cisatracurium,Not Recorded,10.0 mL,5,mL,10.0,,2.0 mg,mg,2.0,none,False,False,False
422,Citric Acid-Na Citrate (Bicitra)30 mL,citric acid-na citrate,Not Recorded,30.0 mL,19,mL,30.0,,none,,,none,True,False,False
423,Cladribine 10 mg/10 mL inj,cladribine,Not Recorded,10.0 mL,10,mL,10.0,,10.0 mg,mg,10.0,10.0 mg/10.0 ML,False,False,False
424,Clindamycin 15 mg/mL 100mL susp,clindamycin,Not Recorded,100.0 mL,1,mL,100.0,,15.0 mg,mg,15.0,none,True,False,False
425,Clindamycin 600 mg inj,clindamycin,Not Recorded,none,578,,,,600.0 mg,mg,600.0,none,False,False,False
426,Clindamycin 600 mg/50 mL D5W,clindamycin in d5w,Not Recorded,50.0 mL,28328,mL,50.0,,600.0 mg,mg,600.0,600.0 mg/50.0 ML,True,False,False
427,Clindamycin 900 mg inj,clindamycin,Not Recorded,none,747,,,,900.0 mg,mg,900.0,none,False,False,False
428,Clindamycin 900 mg/50 mL D5W,clindamycin in d5w,Not Recorded,50.0 mL,40914,mL,50.0,,900.0 mg,mg,900.0,900.0 mg/50.0 ML,True,False,False
429,Clindamycin 900 mg/50mL NS IVPB,clindamycin in ns,Not Recorded,50.0 mL,7960,mL,50.0,,900.0 mg,mg,900.0,900.0 mg/50.0 ML,True,False,False
430,ClonIDINE 0.3 mg/24 hr patch,clonIDINE,Not Recorded,none,1,,,,0.3 mg,mg,0.3,none,False,False,False
431,ClonIDINE HCl 0.1 mg tab,clonIDINE,Not Recorded,none,3,,,,0.1 mg,mg,0.1,none,False,False,False
432,ClonIDINE HCl 0.2 mg tab,clonIDINE,Not Recorded,none,2,,,,0.2 mg,mg,0.2,none,False,False,False
433,Clopidogrel 300mg tablet,clopidogrel,Not Recorded,none,1,,,,300.0 mg,mg,300.0,none,False,False,False
434,Clopidogrel 75 mg tab,clopidogrel,Not Recorded,none,2,,,,75.0 mg,mg,75.0,none,False,False,False
435,Coagulation Factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,215,,,,1000.0 mcg,mcg,1000.0,none,True,False,False
436,Coagulation Factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,231,,,,2000.0 mcg,mcg,2000.0,none,True,False,False
437,Coagulation Factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,42,,,,5000.0 mcg,mcg,5000.0,none,True,False,False
438,Coagulation factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,49,,,,1000.0 mcg,mcg,1000.0,none,True,False,False
439,Coagulation factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,642,,,,2000.0 mcg,mcg,2000.0,none,True,False,False
440,Coagulation factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,14,,,,5000.0 mcg,mcg,5000.0,none,True,False,False
441,Coagulation factor 7a (VIIa) 8000 mcg,coagulation factor VIIa,Not Recorded,none,8,,,,8000.0 mcg,mcg,8000.0,none,True,False,False
442,Cocaine 4% 4 mL top solution,cocaine 4%,Not Recorded,4.0 mL,14,mL,4.0,,none,,,none,True,False,False
443,Colistimethate 150 mg for Inhalation syringe,colistimethate inhalation in syringe,Not Recorded,none,1,,,,150.0 mg,mg,150.0,none,False,False,False
444,Colistimethate 150 mg inj,colistimethate,Not Recorded,none,12062,,,,150.0 mg,mg,150.0,none,False,False,False
445,Conivaptan 20mg/D5W 100mL,conivaptan/d5w,Not Recorded,100.0 mL,64,mL,100.0,,20.0 mg,mg,20.0,none,True,False,False
446,Copper chloride 0.4mg/mL 10mL inj,copper chloride,Not Recorded,10.0 mL,1186,mL,10.0,,0.4 mg,mg,0.4,none,False,False,False
447,Copper sulfate 0.4 mg/mL inj,copper sulfate,Not Recorded,none,5,,,,0.4 mg,mg,0.4,none,False,False,False
448,Corticorelin 100 mcg/2 mL  inj,corticorelin,Not Recorded,2.0 mL,2,mL,2.0,,100.0 mcg,mcg,100.0,100.0 mcg/2.0 ML,False,False,False
449,Cosyntropin 0.25 mg inj,cosyntropin,Not Recorded,none,3176,,,,0.25 mg,mg,0.25,none,False,False,False
450,Cosyntropin 1mcg/mL/NS neonate syringe,cosyntropin in NS syringe,Not Recorded,none,2,,,,1.0 mcg,mcg,1.0,none,False,False,False
451,Cyanide Antidote Kit,sod thio-sod-amyl-nitr,Not Recorded,none,1,,,,none,,,none,True,False,False
452,"Cyanocobalamin 1,000 mcg/1 mL inj",cyanocobalamin,Not Recorded,1.0 mL,94,mL,1.0,,1000.0 mcg,mcg,1000.0,0.0 mcg/1.0 ML,False,False,False
453,Cyanocobalamin 100 mcg tab,cyanocobalamin,Not Recorded,none,1,,,,100.0 mcg,mcg,100.0,none,False,False,False
454,Cyanocobalamin 1000 mcg tab,cyanocobalamin,Not Recorded,none,4,,,,1000.0 mcg,mcg,1000.0,none,False,False,False
455,CycloPHOSphamide 1gm/50 mL inj,cycloPHOSphamide,Not Recorded,50.0 mL,11472,mL,50.0,,1.0 gm,gm,1.0,none,False,False,False
456,CycloPHOSphamide 2 gm inj,cycloPHOSphamide,Not Recorded,none,2,,,,2.0 gm,gm,2.0,none,False,False,False
457,CycloSPORINE 100 mg/mL Sol(Sandimmune) 50 mL,cycloSPORINE,Not Recorded,50.0 mL,1,mL,50.0,,100.0 mg,mg,100.0,none,True,False,False
458,CycloSPORINE 250 mg/5 mL inj,cycloSPORINE,Not Recorded,5.0 mL,3077,mL,5.0,,250.0 mg,mg,250.0,250.0 mg/5.0 ML,False,False,False
459,Cyclophosphamide 500 mg inj,cyclophosphamide,Not Recorded,none,418,,,,500.0 mg,mg,500.0,none,False,False,False
460,Cyclophosphamide 500mg/25mL inj,cyclophosphamide,Not Recorded,25.0 mL,11,mL,25.0,,500.0 mg,mg,500.0,500.0 mg/25.0 ML,False,False,False
461,Cytarabine 100 mg / 5 mL inj,cytarabine,Not Recorded,5.0 mL,388,mL,5.0,,100.0 mg,mg,100.0,100.0 mg/5.0 ML,False,False,False
462,Cytarabine 2000 mg/20 mL inj,cytarabine,Not Recorded,20.0 mL,10392,mL,20.0,,2000.0 mg,mg,2000.0,2000.0 mg/20.0 ML,False,False,False
463,Cytarabine 500 mg / 5 mL  inj,cytarabine,Not Recorded,5.0 mL,49,mL,5.0,,500.0 mg,mg,500.0,500.0 mg/5.0 ML,False,False,False
464,Cytomegalvirus Glob 2.5gm/50mL IV,cytomegalovirus globulin,Not Recorded,50.0 mL,345,mL,50.0,,2.5 gm,gm,2.5,none,True,False,False
465,D10W 0.2%NS 250  mL bag,d10.2ns,Not Recorded,250.0 mL,293,mL,250.0,,0.2 %,%,0.2,none,True,False,False
466,D10W 0.45%NS 250mL,D10W 0.45%NS,Not Recorded,250.0 mL,1,mL,250.0,,0.45 %,%,0.45,none,True,False,False
467,D10W 1000 mL IV bag,d10w,Not Recorded,1000.0 mL,202556,mL,1000.0,,none,,,none,True,False,False
468,D10W 25 gm/250 mL inj,D10W,Not Recorded,250.0 mL,7683,mL,250.0,,25.0 gm,gm,25.0,none,False,False,False
469,D10W 500 mL iv bag,d10w,Not Recorded,500.0 mL,9212,mL,500.0,,none,,,none,True,False,False
470,D12.5W 0.2%NS 250mL,D12.5W 0.2%NS,Not Recorded,250.0 mL,16,mL,250.0,,0.2 %,%,0.2,none,True,False,False
471,D12.5W 0.45%NS 250mL,D12.5W 0.45%NS,Not Recorded,250.0 mL,20,mL,250.0,,0.45 %,%,0.45,none,True,False,False
472,D12.5W 250ml,D12.5W,Not Recorded,250.0 mL,1,mL,250.0,,none,,,none,True,False,False
473,D15%W 250 ml,D15W,Not Recorded,250.0 mL,1,mL,250.0,,15.0 %,%,15.0,none,True,False,False
474,D20W 0.2%NS 250mL,D20W 0.2%NS,Not Recorded,250.0 mL,6,mL,250.0,,0.2 %,%,0.2,none,True,False,False
475,D20W 250mL,D20W,Not Recorded,250.0 mL,218,mL,250.0,,none,,,none,True,False,False
476,D20W 500 mL IV bag,dextrose 20%,Not Recorded,500.0 mL,51454,mL,500.0,,none,,,none,True,False,False
477,D25W 250mL,D25W,Not Recorded,250.0 mL,2,mL,250.0,,none,,,none,True,False,False
478,D5.2NS + 20 mEq KCl 1000 mL IV,d5w.2ns + kcl,Not Recorded,1000.0 mL,745,mL,1000.0,,20.0 mEq,mEq,20.0,none,True,False,False
479,D5.2NS + 40 mEq KCl 1000 mL IV,d5w.2ns + kcl,Not Recorded,1000.0 mL,116,mL,1000.0,,40.0 mEq,mEq,40.0,none,True,False,False
480,D5.2NS 1000 mL IV bag,d5.2ns,Not Recorded,1000.0 mL,11363,mL,1000.0,,none,,,none,True,False,False
481,D5.2NS 500 mL IV bag,d5.2ns,Not Recorded,500.0 mL,55,mL,500.0,,none,,,none,True,False,False
482,D5.45NS + 10 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded,1000.0 mL,45322,mL,1000.0,,10.0 mEq,mEq,10.0,none,True,False,False
483,D5.45NS + 20 mEq KCl 1000 ml  IV,d5.45ns + kcl,Not Recorded,1000.0 mL,806311,mL,1000.0,,20.0 mEq,mEq,20.0,none,True,False,False
484,D5.45NS + 30 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded,1000.0 mL,1609,mL,1000.0,,30.0 mEq,mEq,30.0,none,True,False,False
485,D5.45NS + 40 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded,1000.0 mL,20045,mL,1000.0,,40.0 mEq,mEq,40.0,none,True,False,False
486,D5.45NS 1000 mL IV bag,d5.45ns,Not Recorded,1000.0 mL,1151341,mL,1000.0,,none,,,none,True,False,False
487,D5.45NS 1000 mL for chemo,d5.45ns,Not Recorded,1000.0 mL,1510,mL,1000.0,,none,,,none,True,False,False
488,D5.45NS 500 mL IV bag,d5.45ns,Not Recorded,500.0 mL,1915,mL,500.0,,none,,,none,True,False,False
489,D5LR + 20 mEq KCl 1000mL,d5lr + kcl,Not Recorded,1000.0 mL,2985,mL,1000.0,,20.0 mEq,mEq,20.0,none,True,False,False
490,D5LR 1000 mL IV bag,d5lr,Not Recorded,1000.0 mL,170271,mL,1000.0,,none,,,none,True,False,False
491,D5LR 500 mL iv bag,D5LR,Not Recorded,500.0 mL,115,mL,500.0,,none,,,none,True,False,False
492,D5NS 1000 mL IV bag,d5ns,Not Recorded,1000.0 mL,448514,mL,1000.0,,none,,,none,True,False,False
493,D5NS 500 mL IV bag,d5ns,Not Recorded,500.0 mL,1043,mL,500.0,,none,,,none,True,False,False
494,D5NS+20 mEq KCl 1000 mL IV bag,d5ns + kcl,Not Recorded,1000.0 mL,63122,mL,1000.0,,20.0 mEq,mEq,20.0,none,True,False,False
495,D5W + 20 mEq KCl 1000 mL IV bag,d5w + kcl,Not Recorded,1000.0 mL,10295,mL,1000.0,,20.0 mEq,mEq,20.0,none,True,False,False
496,D5W 100 mL (Polyolefin),d5w (polyolefin),Not Recorded,100.0 mL,23702,mL,100.0,,none,,,none,True,False,False
497,D5W 100 mL IV bag,d5w,Not Recorded,100.0 mL,34853,mL,100.0,,none,,,none,True,False,False
498,D5W 100 mL IV bag chemo,d5w,Not Recorded,100.0 mL,114,mL,100.0,,none,,,none,True,False,False
499,D5W 1000 mL (Polyolefin),d5w (polyolefin),Not Recorded,1000.0 mL,160,mL,1000.0,,none,,,none,True,False,False
500,D5W 1000 mL (Polyolefin) for chemo,d5w (polyolefin),Not Recorded,1000.0 mL,15,mL,1000.0,,none,,,none,True,False,False
501,D5W 1000 mL IV bag,d5w,Not Recorded,1000.0 mL,711070,mL,1000.0,,none,,,none,True,False,False
502,D5W 1000 mL IV bag for chemo,d5w,Not Recorded,1000.0 mL,221,mL,1000.0,,none,,,none,True,False,False
503,D5W 150 mL IV bag,d5w,Not Recorded,150.0 mL,2668,mL,150.0,,none,,,none,True,False,False
504,D5W 150 mL IV bag for chemo,d5w,Not Recorded,150.0 mL,58,mL,150.0,,none,,,none,True,False,False
505,D5W 250 mL IV bag,d5w,Not Recorded,250.0 mL,195577,mL,250.0,,none,,,none,True,False,False
